medcodeid	desc	snomedctconceptid	coding_system	cancertype	blood_cancertype	ca_of_interest	recurrent_ca	secondary_ca	history_ca	aurum_stage_grade
8457381000006110	Recurrent primary malignant neoplasm of left female breast 	1081551000119106	Aurum	breast		1	1			
8457401000006110	Recurrent primary malignant neoplasm of right female breast 	16260631000119100	Aurum	breast		1	1			
9900601000006117	Secondary malignant neoplasm of lymph node from neoplasm of female breast 	16260631000119101	Aurum	breast		1		1		
289029012	Malignant melanoma of breast	188050009	Aurum	breast		1				
289137018	Malignant neoplasm of nipple and areola of female breast	188147009	Aurum	breast		1				
289141019	Malignant neoplasm of central part of female breast	188151006	Aurum	breast		1				
289142014	Malignant neoplasm of upper-inner quadrant of female breast	188152004	Aurum	breast		1				
289143016	Malignant neoplasm of lower-inner quadrant of female breast	188153009	Aurum	breast		1				
289144010	Malignant neoplasm of upper-outer quadrant of female breast	188154003	Aurum	breast		1				
289145011	Malignant neoplasm of lower-outer quadrant of female breast	188155002	Aurum	breast		1				
289146012	Malignant neoplasm of axillary tail of female breast	188156001	Aurum	breast		1				
289147015	Malignant neoplasm, overlapping lesion of breast	188157005	Aurum	breast		1				
289149017	Malignant neoplasm of ectopic site of female breast	188159008	Aurum	breast		1				
289153015	Malignant neoplasm of nipple and areola of male breast	188163001	Aurum	breast		1				
289158012	Malignant neoplasm of ectopic site of male breast	188168005	Aurum	breast		1				
5351501000006117	Malignant tumor of breast	254837009	Aurum	breast		1				
5351541000006115	Carcinoma of breast 	254838004	Aurum	breast		1				
5351561000006116	Scirrhous carcinoma of breast 	254839007	Aurum	breast		1				
5351571000006111	Inflammatory carcinoma of breast 	254840009	Aurum	breast		1				
5351601000006116	Familial cancer of breast 	254843006	Aurum	breast		1				
5351621000006114	Malignant phyllodes tumor of breast 	254844000	Aurum	breast		1				
380094018	Carcinoma of bone, connective tissue, skin and breast	255068000	Aurum	breast		1				
729331000006116	Malignant neoplasm of bone, connective tissue, skin and breast	271467005	Aurum	breast		1				
5608031000006112	Sarcoma of breast 	278050001	Aurum	breast		1				
5608061000006115	Intraductal carcinoma of breast 	278053004	Aurum	breast		1				
5608081000006113	Lobular carcinoma of breast 	278054005	Aurum	breast		1				
5703981000006113	Metastasis to breast of unknown primary 	285634003	Aurum	breast		1				
5720861000006112	Carcinoma of breast - upper, inner quadrant 	286893002	Aurum	breast		1				
5720871000006117	Carcinoma of breast - lower, inner quadrant 	286894008	Aurum	breast		1				
5720881000006119	Carcinoma of breast - upper, outer quadrant 	286895009	Aurum	breast		1				
5720891000006116	Carcinoma breast - lower, outer quadrant 	286896005	Aurum	breast		1				
5720901000006117	Carcinoma of breast - axillary tail 	286897001	Aurum	breast		1				
6051931000006117	Local recurrence of malignant tumor of breast 	314955001	Aurum	breast		1	1			
6052741000006116	Metastasis from malignant tumor of breast 	315004001	Aurum	breast		1				
1210642019	Malignant neoplasm of female breast 	372064008	Aurum	breast		1				
6364001000006119	Malignant neoplasm of axillary tail of breast 	372094002	Aurum	breast		1				
155364013	Malignant neoplasm of male breast 	372095001	Aurum	breast		1				
6364041000006117	Carcinoma of male breast 	372096000	Aurum	breast		1				
6364661000006112	Primary malignant neoplasm of breast 	372137005	Aurum	breast		1				
6376181000006114	Malignant neoplasm of breast lower inner quadrant 	373080008	Aurum	breast		1				
6376201000006110	Malignant neoplasm of breast upper inner quadrant 	373082000	Aurum	breast		1				
6376211000006113	Malignant neoplasm of breast upper outer quadrant 	373083005	Aurum	breast		1				
7136971000006118	Human epidermal growth factor 2 negative carcinoma of breast 	431396003	Aurum	breast		1				
7287391000006111	Invasive carcinoma with ductal and lobular features (Mixed type carcinoma)	444057000	Aurum	breast		1				
7362291000006114	Infiltrating duct carcinoma of female breast 	448952004	Aurum	breast		1				
8017201000006114	Primary invasive malignant neoplasm of female breast 	45221000119105	Aurum	breast		1				
7610921000006113	Triple negative malignant neoplasm of breast 	706970001	Aurum	breast		1				
7706551000006117	Invasive carcinoma of breast 	713609000	Aurum	breast		1				
7832841000006112	Primary invasive pleomorphic lobular carcinoma of breast 	722524005	Aurum	breast		1				
155089014	Malignant neoplasm of areola of female breast	93680004	Aurum	breast		1				
155090017	Malignant neoplasm of areola of male breast	93681000	Aurum	breast		1				
4025281000006117	Primary malignant neoplasm of central portion of female breast 	93745008	Aurum	breast		1				
4025821000006115	Primary malignant neoplasm of female breast 	93796005	Aurum	breast		1				
880341000006113	Ca breast - maleCa breast - male	93884005	Aurum	breast		1				
155417012	Malignant neoplasm of nipple of female breast	93924008	Aurum	breast		1				
155418019	Malignant neoplasm of nipple of male breast	93925009	Aurum	breast		1				
4032901000006112	Secondary malignant neoplasm of female breast	94297009	Aurum	breast		1		1		
8029981000006114	Breast cancer detected by national screening programme 	94361000000105	Aurum	breast		1				
156699010	Secondary malignant neoplasm of skin of breast	94544002	Aurum	breast		1		1		
4030181000006117	Secondary malignant neoplasm of axillary tail of female breast	94182000	Aurum	breast		1		1		
1231363012	[M]Paget's disease and intraductal carcinoma of breast	54666007	Aurum	breast		1				
314671000006116	Paget's disease and infiltrating duct carcinoma of breast	82591005	Aurum	breast		1				
3387071000006114	Paget's disease and intraductal carcinoma of breast	54666007	Aurum	breast		1				
4756261000006118	Non-invasive carcinoma of breast	189336000	Aurum	breast		1				
5351551000006118	CA - Carcinoma of breast	254838004	Aurum	breast		1				
5608071000006110	Infiltrating lobular carcinoma of breast	278054005	Aurum	breast		1				
6765091000006112	Infiltrating duct carcinoma of breast	408643008	Aurum	breast		1				
6765101000006118	Invasive duct carcinoma of breast	408643008	Aurum	breast		1				
6765111000006115	Infiltrating ductal carcinoma of breast	408643008	Aurum	breast		1				
6765121000006111	Invasive ductal carcinoma of breast	408643008	Aurum	breast		1				
6989101000006112	Infiltrating ductal carcinoma of breast, stage 1	422399001	Aurum	breast		1				1
6990601000006110	Infiltrating ductal carcinoma of breast, stage 2	422479008	Aurum	breast		1				1
7001961000006115	Infiltrating ductal carcinoma of breast, stage 3	423114009	Aurum	breast		1				1
7077551000006111	HER2-positive carcinoma of breast	427685000	Aurum	breast		1				
7136981000006115	Human epidermal growth factor 2 (HER2) negative carcinoma of breast	431396003	Aurum	breast		1				
7295111000006113	Mixed ductal and lobular carcinoma of breast	444604002	Aurum	breast		1				
7296771000006112	Mucinous carcinoma of breast	444712000	Aurum	breast		1				
7578171000006114	Invasive micropapillary carcinoma of breast	703578005	Aurum	breast		1				
12005541000006114	Metaplastic carcinoma of breast	763479005	Aurum	breast		1				
13955951000006110	Adenocarcinoma of breast	865954003	Aurum	breast		1				
7819741000006119	Primary angiosarcoma of breast	721576006	Aurum	breast		1				
289151018	Malignant neoplasm of female breast NOS	372064008	Aurum	breast		1				
14869751000006110	Metastatic malignant neoplasm to lymph node from primary malignant neoplasm of female breast	16260631000119101	Aurum	breast		1				
6363981000006113	Primary malignant neoplasm of axillary tail of breast	372092003	Aurum	breast		1				
6363991000006111	Secondary malignant neoplasm of axillary tail of breast	372093008	Aurum	breast		1		1		
289159016	Malignant neoplasm of male breast NOS	372095001	Aurum	breast		1				
4026641000006116	Primary malignant neoplasm of male breast	93884005	Aurum	breast		1				
4035521000006115	Secondary malignant neoplasm of male breast	94401004	Aurum	breast		1		1		
808151000006111	Personal history of primary malignant neoplasm of breast	415076002	Aurum	breast		1			1	
6376281000006118	Primary malignant neoplasm of breast lower inner quadrant	373090000	Aurum	breast		1				
13995451000006110	Primary malignant neoplasm of breast with axillary lymph node invasion	1082901000112103	Aurum	breast		1				
4024671000006119	Primary malignant neoplasm of areola of female breast	93680004	Aurum	breast		1				
4027021000006119	Primary malignant neoplasm of nipple of female breast	93924008	Aurum	breast		1				
