MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
116189017	300000	8BAD	8BAD.00	Chemotherapy	367336001	490919014	32
251896017	4000	14P7	14P7.00	H/O: chemotherapy	161653008	251896017	32
262871015	100	5A7	5A7..00	Radiomimetic chemotherapy	169396008	262871015	32
264301012	1000	65NZ	65NZ.00	Prophylactic chemotherapy NOS	268500004	401505010	32
283786017	10000	8HB7	8HB7.00	Chemotherapy follow-up	183651009	283786017	40
394636013	30000	7L161	7L16100	Intravenous chemotherapy	265760000	394636013	32
394637016	50000	7L182	7L18200	Intramuscular chemotherapy	265761001	394637016	32
394638014	6000	7L193	7L19300	Subcutaneous chemotherapy	265762008	394638014	32
397167015	20000	8BA5	8BA5.00	Oral chemotherapy	266719004	397167015	32
401505010	10000	65N	65N..00	Prophylactic chemotherapy	268500004	401505010	32
453168018	1000	7L102	7L10200	Continuous infusion of chemotherapy	309698005	453168018	32
460119017	400	8BAI	8BAI.00	Ambulatory chemotherapy	315601005	460119017	32
460252017	3000	ZV073	ZV07300	[V]Other prophylactic chemotherapy	268500004	401505010	32
460935013	700	ZV581	ZV58100	[V]Maintenance chemotherapy	469981000000107	895731000000118	32
460942013	4000	ZV588	ZV58800	Chemotherapy cycle	399042005	1778510013	32
461053010	100	ZV662	ZV66200	Convalescence after chemotherapy	183373009	283430016	32
461062012	2000	ZV672	ZV67200	[V]Chemotherapy follow-up	452971000000105	895951000000110	32
461426018	2000	ZVu3L	ZVu3L00	[X]Other chemotherapy	468111000000107	1028581000000112	32
501450016	90000	8BAD0	8BAD000	Antineoplastic chemotherapy regimen	716872004	3307849019	32
1216381019	20	ZV678-1	ZV67811	[V] Follow-up examination after chemotherapy for leukaemia	183651009	283786017	40
1488598017	700	8BAJ	8BAJ.00	Pre-operative chemotherapy	394894008	1488598017	32
1488599013	2000	8BAK	8BAK.00	Postoperative chemotherapy	394895009	2532691015	32
1488636014	300	8BAL	8BAL.00	Combined pre-operative chemotherapy and radiotherapy	394934009	1488636014	32
1488637017	600	8BAM	8BAM.00	Combined post-operative chemotherapy and radiotherapy	394935005	1488637017	32
2534072015	20000	8BAa	8BAa.00	Date chemotherapy completed	413943001	2534072015	32
2534095012	3000	8BAY	8BAY.00	Date chemotherapy stopped	413944007	2534095012	32
190111000006116	400	5A7Z	5A7Z.00	Radio-chemotherapy NOS	169396008	262871015	32
299381000000111	60000	8CV1	8CV1.00	Chemotherapy started	722480002	3332417018	32
340491000006117	100	ZV678	ZV67800	[V]Follow-up examination after chemotherapy for malignant neoplasm	183651009	283786017	40
380141000000118	100	7L1e	7L1e.00	Delivery of oral chemotherapy for neoplasm	235331000000103	380141000000118	32
380261000000112	700	7L1d	7L1d.00	Delivery of chemotherapy for neoplasm	235391000000102	380261000000112	32
387331000000112	8	7L1ez	7L1ez00	Delivery of oral chemotherapy for neoplasm NOS	235331000000103	380141000000118	32
387371000000114	4	7L1e0	7L1e000	Delivery of exclusively oral chemotherapy for neoplasm	238831000000103	387371000000114	32
387451000000112	40	7L1dz	7L1dz00	Delivery of chemotherapy for neoplasm NOS	235391000000102	380261000000112	32
387871000000117	200	7L1dy	7L1dy00	Other specified delivery of chemotherapy for neoplasm	235391000000102	380261000000112	32
387891000000118	4	7L1ey	7L1ey00	Other specified delivery of oral chemotherapy for neoplasm	235331000000103	380141000000118	32
593611000006110	100	8F84	8F84.00	Convalescence after chemother.	183373009	283430016	32
657671000006110	200	5975	5975.00	Ext.beam + chemotherapy	169336005	262804010	32
657691000006111	10	5974	5974.00	Ext.beam-surgery+chemotherapy	169335009	262803016	32
768011000006114	800	70462	7046200	Intrathecal chemotherapy	171765004	266037013	32
907311000006115	300	HNG0187		[RFC] Chemotherapy or radiotherapy	907311000006104	907311000006115	12
925031000006110	1	PCNQPR10		Prophylactic chemotherapy	925031000006106	925031000006110	42
1554871000006110	8	7L1b	7L1b.00	Procurement of drugs for chemotherapy for neoplasm in bands 1-5	221681000000107	352121000000117	32
1554881000006113	10	7L1b0	7L1b000	Procurement of drugs for chemotherapy for neoplasm for regimens in band 1	841341000000102	2182901000000111	32
1554891000006111	1	7L1b1	7L1b100	Procurement of drugs for chemotherapy for neoplasm for regimens in band 2	841361000000101	2182951000000112	32
1554901000006110	1	7L1b2	7L1b200	Procurement of drugs for chemotherapy for neoplasm for regimens in band 3	841371000000108	2182971000000115	32
1554911000006113	1	7L1b3	7L1b300	Procurement of drugs for chemotherapy for neoplasm for regimens in band 4	841381000000105	2182991000000116	32
1554921000006117	2	7L1b4	7L1b400	Procurement of drugs for chemotherapy for neoplasm for regimens in band 5	841391000000107	2183011000000115	32
1554931000006119	3	7L1by	7L1by00	Other specified procurement of drugs for chemotherapy for neoplasm in bands 1-5	221701000000109	352161000000113	32
1554941000006112	4	7L1bz	7L1bz00	Procurement of drugs for chemotherapy for neoplasm in bands 1-5 NOS	221761000000108	352281000000110	32
1554951000006114	2	7L1c	7L1c.00	Procurement of drugs for chemotherapy for neoplasm in bands 6-10	221691000000109	352141000000112	32
1554961000006111	2	7L1c0	7L1c000	Procurement of drugs for chemotherapy for neoplasm for regimens in band 6	841401000000105	2183031000000111	32
1554971000006116	1	7L1c1	7L1c100	Procurement of drugs for chemotherapy for neoplasm for regimens in band 7	841411000000107	2183051000000116	32
1554981000006118	1	7L1c2	7L1c200	Procurement of drugs for chemotherapy for neoplasm for regimens in band 8	841421000000101	2183071000000113	32
1554991000006115	1	7L1c3	7L1c300	Procurement of drugs for chemotherapy for neoplasm for regimens in band 9	841431000000104	2183091000000112	32
1555001000006110	1	7L1c4	7L1c400	Procurement of drugs for chemotherapy for neoplasm for regimens in band 10	841441000000108	2183111000000119	32
1555011000006113	1	7L1cy	7L1cy00	Other specified procurement of drugs for chemotherapy for neoplasm in bands 6-10	221771000000101	352301000000111	32
1555021000006117	1	7L1cz	7L1cz00	Procurement of drugs for chemotherapy for neoplasm in bands 6-10 NOS	221831000000109	352421000000110	32
1555041000006112	4	7L1d0	7L1d000	Delivery of complex chemotherapy for neoplasm including prolonged infusional treatment at first attendance	238841000000107	387391000000113	32
1555061000006111	20	7L1d1	7L1d100	Delivery of complex parenteral chemotherapy for neoplasm at first attendance	238851000000105	387411000000113	32
1555071000006116	8	7L1d2	7L1d200	Delivery of simple parenteral chemotherapy for neoplasm at first attendance	238861000000108	387431000000117	32
1555081000006118	300	7L1d3	7L1d300	Delivery of subsequent element of cycle of chemotherapy for neoplasm	239071000000100	387851000000114	32
1588601000006116	40	7G0E2	7G0E200	Combined photochemotherapy and ultraviolet A light therapy to skin	428908000	2695937013	32
1588611000006118	100	7G0E3	7G0E300	Combined photochemotherapy and ultraviolet B light therapy to skin	428083009	2694691017	32
1817421000006114	30	ZV1C3	ZV1C300	[V]Personal history of chemotherapy for neoplastic disease	161653008	251896017	32
1877461000006110	8	EMISNQCA1044		Cancer chemotherapy management plan no longer in place	1877461000006106	1877461000006110	32
1877541000006112	1000	EMISNQCH223		Chemotherapy stopped	1877541000006108	1877541000006112	32
1906641000006111	50	7Q0J	7Q0J.00	High cost chemotherapy drugs	897661000000105	2309331000000117	32
