MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
283785018	3000	8HB6	8HB6.00	Radiotherapy follow-up	183650005	283785018	40
461061017	500	ZV671	ZV67100	[V]Radiotherapy follow-up	468601000000104	943541000000119	32
340471000006118	200	ZV677	ZV67700	[V]Follow-up examination after radiotherapy for malignant neoplasm	720006006	3318841012	32
340481000006115	30	ZV6B0	ZV6B000	[V]Follow-up examination after radiotherapy for other conditions	412201000000102	917451000000117	32
387161000006111	4	ZVu0C	ZVu0C00	[X]Follow-up examination after radiotherapy for other conditions	183649005	283784019	40
12460301000006119	1	^ESCT1246030		[V]Radiotherapy follow-up	468601000000104	951691000000110	32
189731000006115	7000	863-2	863..12	Radiation oncology AND/OR radiotherapy	108290001	172729010	32
5957921000006119	20	^ESCTDI595792		Discharge from radiotherapy service	306566007	449633015	31
5952061000006114	200	^ESCTRE595206		Referral to radiotherapy service	306141003	449039015	40
7095651000006113	60	^ESCTRA709565		Radiotherapy to breast	428923005	2692176019	31
6943531000006118	800	^ESCTRA694353		Radiotherapy	419815003	2579750017	31
4614671000006117	1000	^ESCTPA461467		Palliative course of radiotherapy	168528006	261691011	41
4621471000006110	20	^ESCTXR462147		XRT - Radiotherapy	169291001	1784774011	32
3762781000006111	200	^ESCTTE376278		Teleradiotherapy with iodine-125	77613002	128826017	31
3034301000006118	200	^ESCTTE303430		Teleradiotherapy procedure	33195004	55396018	32
1822101000006117	1000	EMISNQRA9		Radical radiotherapy	1822101000006101	1822101000006117	32
907311000006115	300	HNG0187		[RFC] Chemotherapy or radiotherapy	907311000006104	907311000006115	12
787791000006118	1000	5A16-1	5A16.11	I131 radiotherapy	169346007	262819011	32
905141000006113	700	EMISSPR800		Radiotherapy referral	905141000006109	905141000006113	40
658421000006110	30000	59	59...00	External beam radiotherapy	33195004	485444010	32
490611000000119	200	7L1Z3	7L1Z300	Delivery of a fraction of external beam radiotherapy NEC	231711000000108	372601000000117	32
385801000000117	40	7L1Zy	7L1Zy00	Other specified radiotherapy delivery	231711000000108	372601000000117	32
381941000000114	40	7L1Z1	7L1Z100	Delivery of a fraction of intracavitary radiotherapy	236231000000101	381941000000114	32
381961000000110	60	7L1Zz	7L1Zz00	Radiotherapy delivery NOS	231711000000108	372601000000117	32
373701000000118	70	7M0cy	7M0cy00	Other specified radiotherapy procedures	53438000	88857013	32
373681000000115	100	7M0cz	7M0cz00	Radiotherapy procedures NOS	53438000	1231220012	32
372601000000117	1000	7L1Z	7L1Z.00	Radiotherapy delivery	231711000000108	372601000000117	32
191301000006110	8000	5149	5149.00	Radiotherapy for tumour palliation	168528006	261693014	41
191171000006118	100000	7M371	7M37100	Radiotherapy NEC	108290001	2693115017	32
191181000006115	100	TB121	TB12100	Radiotherapy procedure with complication, without blame	217061008	329264016	32
154341000006119	30000	9N0D	9N0D.00	Seen in radiotherapy clinic	185274003	285276016	37
190521000006116	20	TB12z	TB12z00	Radiological proced/radiotherapy+complication, no blame, NOS	20558004	34600011	32
190541000006111	4	TB12	TB12.00	Radiological procedures/radiotherapy + complication,no blame	217059004	329262017	32
191091000006118	3000	5146	5146.00	Radiotherapy - post-op.control	168525009	261688011	41
191111000006110	60	5145	5145.00	Radiotherapy -intra-op.control	168524008	261686010	41
191101000006112	300	5144	5144.00	Radiotherapy - pre-op. control	168523002	261684013	41
2693115017	6000	7L2	7L2..00	Radiotherapy	108290001	2693115017	32
1786803010	400	5A-1	5A...11	Radiotherapy - internal	399315003	1786803010	32
1488637017	600	8BAM	8BAM.00	Combined post-operative chemotherapy and radiotherapy	394935005	1488637017	32
1488636014	300	8BAL	8BAL.00	Combined pre-operative chemotherapy and radiotherapy	394934009	1488636014	32
1488620012	600	8J01	8J01.00	Iodine seed radiotherapy	394918006	1488620012	32
1231220012	600	7M0c	7M0c.00	Radiotherapy procedures	53438000	1231220012	32
460934012	3000	ZV580	ZV58000	[V]Radiotherapy session	231711000000108	372601000000117	32
461052017	100	ZV661	ZV66100	Convalescence after radiotherapy	183372004	283429014	32
285276016	8000	9N1yC	9N1yC00	Seen in radiotherapy clinic	185274003	285276016	37
283682011	10000	8H67	8H67.00	Referred for radiotherapy	183566003	283682011	40
283540016	600	8H2G	8H2G.00	Radiotherapy emergency hospital admission	183469007	3082877017	40
262895018	1000	5A8Z	5A8Z.00	Other radiotherapy NOS	108290001	172729010	32
262820017	20	5A17	5A17.00	Combined internal radiotherapy	169347003	262820017	32
262806012	4000	59Z	59Z..00	External radiotherapy NOS	33195004	485444010	32
262805011	70	597Z	597Z.00	Combined radiotherapy NOS	169331000	262799017	32
262799017	200	597	597..00	Combined radiotherapy	169331000	262799017	32
261699013	100000	5154	5154.00	Radiotherapy completed	168534004	261699013	41
261698017	1000	5153	5153.00	Radiotherapy stopped	168533005	261698017	41
261696018	40000	5151	5151.00	Radiotherapy started	168531007	261696018	41
261697010	50	5152	5152.00	Radiotherapy changed	168532000	261697010	41
261695019	2000	515	515..00	Progress of radiotherapy	168530008	261695019	41
4614601000006111	30	^ESCTPR461460		Preoperative course of radiotherapy	168523002	261684013	41
4614631000006115	200	^ESCTPO461463		Postoperative course of radiotherapy	168525009	261687018	41
4614621000006118	20	^ESCTRA461462		Radiotherapy - intraoperative control	168524008	261686010	41
