MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
415107013	600	7L144	7L14400	Peripheral blood stem cell graft	278257006	415107013	32
415109011	900	7K1Q2	7K1Q200	Transfusion of stem cells	278257006	415109011	32
415111019	10	7L144-1	7L14411	Second stage peripheral stem cell infusion	278257006	415111019	32
2579808014	2000	7L173	7L17300	Peripheral blood stem cell harvest	418576007	2579808014	32
2674490015	4000	7L145	7L14500	Autologous peripheral blood stem cell transplant	425983008	2674490015	32
2674491016	2000	7L147	7L14700	Allogeneic peripheral blood stem cell transplant	425843001	2674491016	32
491071000000110	80	7L146	7L14600	Syngeneic peripheral blood stem cell transplant	284681000000100	491071000000110	32
760171000006118	70	7L173-1	7L17311	Harvesting of peripheral blood stem cells	418576007	2576895015	32
5063121000006114	400	^ESCTHA506312		Haemopoietic stem cell transplant	234336002	351057014	32
5063131000006112	5	^ESCTHE506313		Hemopoietic stem cell transplant	234336002	351056017	32
5063141000006119	3000	^ESCTTR506314		Transfusion of stem cells	234336002	2535932018	32
5611161000006112	6	^ESCTPE561116		Peripheral blood stem cell transplantation	278257006	2536059018	32
6919371000006118	1	^ESCTHA691937		Haematopoietic stem cell	418318001	2576894016	31
6923441000006112	1	^ESCTHA692344		Harvest of peripheral blood stem cells	418576007	2579805012	32
6923451000006114	3	^ESCTPB692345		PBSC - Peripheral blood stem cell harvest	418576007	2579806013	32
6929061000006117	30	^ESCTHA692906		Harvesting of stem cells	418926001	2576896019	31
6942551000006118	20	^ESCTST694255		Stem cell	419758009	2576890013	31
7644211000006114	2	^ESCTTR764421		Transplantation of autologous haematopoietic stem cell	709115004	3038556016	31
7644221000006118	4	^ESCTTR764422		Transplantation of autologous hematopoietic stem cell	709115004	3038670011	31
7963731000006117	30	^ESCTDI796373		Diffuse large B-cell lymphoma of central nervous system	734066005	3482605014	32
8087441000006110	100	^ESCTTR808744		Transplantation of stem cells	285581000000102	492941000000110	31
5611141000006113	3	^ESCTPE561114		Peripheral blood stem cell rescue	278257006	415110018	32
5611121000006118	2	^ESCTPB561112		PBSC - Peripheral blood stem cell graft	278257006	415108015	32
