MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
2537371000006110	1	^ESCTEX253737		Excision of mediastinal tumor	2407009	5121014	31
3179951000006114	1	^ESCTEX317995		Excision of tumor of soft tissue of back	42181007	70393011	31
3841071000006111	1	^ESCTCR384107		Craniectomy with excision of tumor	82443007	136745018	31
6048011000006119	1	^ESCTTR604801		Transanal submucosal excision of rectal tumor	314610005	458992012	31
9638551000006110	1	^ESCTEX963855		Excision of tumor of liver	13580001000004101	3077993012	31
365651000000117	400	7K137	7K13700	Excision of tumour of bone NEC	68471001	113726012	32
651081000006111	7000	7G03K	7G03K00	Excision of malignant skin tumour	301889008	443391016	32
746191000000115	700	7K139	7K13900	Excision of tumour of bone	68471001	113726012	32
861611000006111	80	74521-99	7452199	Lung tumour excision	287310004	861611000006111	32
2537361000006115	3	^ESCTEX253736		Excision of mediastinal tumour	2407009	199462010	31
3039111000006119	1	^ESCTEX303911		Excision of malignant tumour of rectum by transanal approach	33507007	197019012	31
3342771000006119	1	^ESCTEX334277		Excision of benign tumour of rectum by transanal approach	51994001	198355011	31
3530231000006112	3	^ESCTEX353023		Excision of benign tumour of breast	63348002	199172019	31
3614221000006117	40	^ESCTEX361422		Excision of tumour of bone	68471001	746191000000115	32
3616991000006116	1	^ESCTEX361699		Excision of tumour of upper arm, deep, intramuscular	68647001	200002011	31
5723731000006119	9	^ESCTLU572373		Lung tumour excision	287310004	426833010	32
6048001000006117	10	^ESCTTR604800		Transanal submucosal excision of rectal tumour	314610005	458993019	31
6551931000006119	20	^ESCTRE655193		Re-excision of breast for clearance of tumour margins	395165008	1476342018	31
8290571000006113	4	^ESCTRE829057		Re-excision of local recurrence of breast tumour	851181000000109	2205261000000112	31
5015671000006115	5	^ESCTEX501567		Excision of spinal nerve root tumour	231031003	346116011	31
3884121000006115	1	^ESCTEX388412		Excision of malignant lesion of trunk	85095002	141082015	31
6002911000006111	20	^ESCTSC600291		Screening for malignant neoplasm excluding cervical	310788006	2820217010	31
6343391000006115	4	^ESCTEX634339		Excision of malignant neoplasm	370611004	1209341017	31
7576101000006116	5	^ESCTEX757610		Excision of secondary malignant neoplasm	703467000	3008594015	31
272886010	80	7B36-1	7B36.11	Open excision prostate	176258007	272886010	32
272887018	20000	7B360	7B36000	Radical prostatectomy - unspecified excision of pelvic nodes	176263006	272892016	32
272890012	7000	7B365	7B36500	Radical prostatectomy without pelvic node excision	176261008	272890012	32
272893014	100	7B36y	7B36y00	Other specified open excision of prostate	176258007	272885014	32
272898017	30	7B370	7B37000	Open excision of prostatic lesion	176267007	272898017	32
394407018	7000	7B36z	7B36z00	Open excision of prostate NOS	176258007	272886010	32
2883594010	5000	7B398	7B39800	Endoscopic excision of prostate using holmium laser	446445003	2883594010	32
1833991000006115	1	EMISNQEN8		Endoscopic excision of prostate using holmium laser	446445003	1833991000006115	32
3970451000006114	1	^ESCTPR397045		Prostate excision	90470006	509013010	32
7081701000006118	1	^ESCTEN708170		Endoscopic excision of prostate using laser	427985002	2694425012	32
116240019	40000	71315	7131500	Excision of fibroadenoma of breast	69990006	116240019	32
266415013	20000	7131	7131.00	Excision of breast tissue	69031006	114665010	32
266424016	2000	7131y	7131y00	Other specified other excision of breast	64368001	106993015	32
266425015	8000	7131z	7131z00	Other excision of breast NOS	69031006	114665010	32
355755016	100000	71314	7131400	Wide local excision of breast lesion	237371007	355755016	32
451295010	2000	71311-1	7131111	Wedge excision of breast	41104003	68567017	32
1486010010	70000	71312	7131200	Excision of lesion of breast	392023007	1486010010	32
3513031015	20	^ESCT1165085		Excision of left breast lump	735085002	3513031015	31
53771000006115	4000	71313	7131300	Wire guided excision of breast lump under radiological control	310638008	454245010	32
97251000006115	500	7130-1	7130.11	Total excision of breast operations	172043006	1221494019	32
362631000000119	5000	71317	7131700	Re-excision of breast margins	226731000000106	362631000000119	32
483561000000110	1000	71319	7131900	Excision of accessory breast	237369007	355753011	32
488941000000112	2000	71318	7131800	Wire guided partial excision of breast	428554004	2208631000000112	32
742861000000119	7000	7131A	7131A00	Wire guided excision of lesion of breast	442343008	2208621000000110	32
744431000000119	2000	7131B	7131B00	Excision of lesion of breast NEC	392023007	1486010010	32
845731000006119	8000	71316	7131600	Wire guided wide local excision of breast lump under radiological control	394911000	1488615012	32
858681000006118	30	7131-99	7131.99	Supernumary breast excision	546441000000104	858681000006118	32
858751000006116	9000	71351-98	7135198	Breast lump local excision	567861000000108	858751000006116	32
988541000006110	30	71312-99	7131299	Breast lump local excision	392023007	988541000006110	32
3547041000006112	40	^ESCTEX354704		Excision of part of breast	64368001	499832010	32
4647371000006111	30	^ESCTEX464737		Excision of lactiferous duct fistula of breast	172106007	266507013	32
5106351000006117	200	^ESCTWL510635		WLE (wide local excision) of breast lesion	237371007	3302681016	32
5106361000006115	300	^ESCTEX510636		Excisional biopsy of breast	237372000	355756015	31
6527661000006114	500	^ESCTEX652766		Excision of breast lump	392021009	1493838013	32
7090181000006117	30	^ESCTPA709018		Partial excision of breast using guide wire	428554004	2692934011	32
7262981000006110	100	^ESCTEX726298		Excision of lesion of breast using wire guidance	442343008	2820887010	32
7707991000006115	10	^ESCTUL770799		Ultrasonography guided vacuum assisted excision of breast	713699007	3297384010	31
7788391000006119	2	^ESCTST778839		Stereotactic X-ray guided vacuum assisted excision of lesion of breast	719573001	3316965017	31
8280641000006117	3	^ESCTEN828064		Endoscopic wide local excision of breast lesion	839191000000106	2177791000000111	31
