medcodeid	term	alch_status	depen_level
11928671000006111	alcohol units per week	Unknown	
12112021000006111	management of alcohol intake	Current drinker	unknown
12117371000006112	referral to alcohol misuse service	Current drinker	high
12456651000006117	[v]alcohol rehabilitation	Current drinker	high
12619041000006111	history of alcohol use	Unknown	
13667221000006114	psychotic behaviour caused by ingestible alcohol	Current drinker	high
13770661000006117	referral to alcoholism rehabilitation service	Current drinker	high
13929361000006112	alcohol detoxification	Current drinker	high
13996301000006113	seen by community alcohol team	Current drinker	high
14146421000006116	oesophageal varices due to cirrhosis of liver caused by alcohol	Current drinker	high
14147511000006111	alcoholic beverage intake	Current drinker	high
14147521000006115	alcoholic drink intake	Current drinker	unknown
1947501000006118	emergency department attendance related to personal alcohol consumption	Current drinker	high
2502061000006114	Currentent drinker	Current drinker	unknown
2502071000006119	alcohol user	Current drinker	unknown
2502081000006116	drinks alcohol	Current drinker	unknown
2502091000006118	Currentent drinker of alcohol	Current drinker	unknown
2502971000006115	dementia associated with alcoholism	Current drinker	high
2612481000006116	alcohol hallucinosis	Current drinker	high
2614651000006115	alcoholism	Current drinker	high
2626141000006112	alcoholic polyneuropathy	Current drinker	high
2626161000006111	alcoholic peripheral neuropathy	Current drinker	high
2658601000006116	acute alcoholic liver disease	Current drinker	high
2740361000006119	aa - alcohol abuse	Current drinker	high
2740831000000114	harmful use of alcohol	Current drinker	high
2819381000006112	alcohol rehabilitation and detoxification	Current drinker	high
2911291000006114	acute alcohol intoxication	Current drinker	high
2950191000006118	smell of alcohol on breath	Current drinker	unknown
2998891000006117	drinking	Current drinker	unknown
3073921000006112	alcohol rehabilitation	Current drinker	high
3165681000006118	alcoholic liver disease	Current drinker	high
3165691000006115	ald - alcoholic liver disease	Current drinker	high
3315041000006111	alcoholic steatosis	Current drinker	high
3315061000006110	alcoholic fatty liver disease	Current drinker	high
3360071000006111	alcohol	Current drinker	unknown
3367991000006112	alcoholic beverage	Current drinker	unknown
3402361000006113	alcoholic ketoacidosis	Current drinker	high
3510721000006113	combined alcohol and drug rehabilitation	Current drinker	high
3528891000006113	alcohol measurement	Unknown	
3528901000006112	alcohol level	Unknown	
3545831000006115	detoxication psychiatric therapy for alcoholism	Current drinker	high
3545841000006113	detoxication therapy for alcoholism	Current drinker	high
3630161000006116	amnesic syndrome due to alcohol	Current drinker	high
3630171000006111	alcoholic amnestic syndrome	Current drinker	high
3843491000006118	ex-drinker	Ex-drinker	
3846821000006114	alcohol poisoning	Current drinker	high
3859091000006114	dilated cardiomyopathy secondary to alcohol	Current drinker	high
3859111000006117	dilated cardiomyopathy caused by alcohol	Current drinker	high
3913321000006111	drinks heavily	Current drinker	high
3916281000006114	combined alcohol and drug detoxification	Current drinker	high
4533141000006118	alcohol intake	Unknown	
4533151000006116	ai - alcohol intake	Unknown	
4533171000006114	etoh - alcohol intake	Unknown	
4533191000006110	alcoholic drink intake	Unknown	
4533231000006117	very heavy drinker - greater than 9 units/day	Current drinker	high
4533271000006119	ex-trivial drinker - less than 1 unit/day	Ex-drinker	
4533331000006113	ex-very heavy drinker - greater than 9 units/day	Ex-drinker	
4533441000006111	xs - excessive alcohol consumption	Current drinker	high
4533451000006113	excessive alcohol consumption	Current drinker	high
4533461000006110	excessive alcohol use	Current drinker	high
4539891000006115	history of alcoholism	Ex-drinker	
4722771000006115	alcohol aversion therapy	Current drinker	high
4943491000006113	drinking finding	Unknown	
4957721000006112	high alcohol lager	Current drinker	high
4977891000006117	alcohol drinking behaviour	Current drinker	unknown
4977901000006118	alcohol drinking behavior	Current drinker	unknown
4977971000006112	drinks on special occasions	Current drinker	low
4977991000006113	fairly heavy drinker	Current drinker	high
4978031000006111	problem drinker	Current drinker	high
4978041000006118	alcoholic	Current drinker	high
4978061000006119	dependent drinker	Current drinker	high
4978121000006114	drinks at home	Current drinker	moderate
4978151000006117	drinks in public places	Current drinker	moderate
4978171000006110	street drinker	Current drinker	high
4978241000006111	company when drinking	Current drinker	moderate
4978281000006117	drinks in company	Current drinker	moderate
4978321000006111	drinks with friends	Current drinker	moderate
4978371000006112	pattern of drinking	Unknown	
4978401000006110	pattern of alcohol consumption through week	Unknown	
4978411000006113	drinks alcohol evenly through week	Unknown	
