medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	observations
6869441000006114	PCI - Percutaneous coronary intervention	^ESCTPC686944		415070008	700
8440271000006117	PCI (percutaneous coronary intervention) record	^ESCTPC844027		1067211000000108	4
13961761000006118	PCI (percutaneous coronary intervention) of LCA (left coronary artery)	^ESCT1396176		868245005	20
13961781000006111	PCI (percutaneous coronary intervention) of left anterior descending branch of coronary artery	^ESCT1396178		868246006	70
13961801000006110	PCI (percutaneous coronary intervention) of circumflex branch of left coronary artery	^ESCT1396180		868247002	10
13961821000006117	PCI (percutaneous coronary intervention) of RCA (right coronary artery)	^ESCT1396182		868248007	100
8327951000006114	Fluoroscopy guided primary percutaneous coronary intervention	^ESCTFL832795		914231000000100	30
5040091000006112	CABG - Coronary artery bypass graft	^ESCTCA504009		232717009	80
5040151000006119	CABG x 1 - Coronary artery bypass graft x 1	^ESCTCA504015		232719007	8
5040171000006112	CABG x 2 - Coronary artery bypass grafts x 2	^ESCTCA504017		232720001	30
5040201000006111	CABG x 3 - Coronary artery bypass grafts x 3	^ESCTCA504020		232721002	70
5040221000006118	CABG x 4 - Coronary artery bypass grafts x 4	^ESCTCA504022		232722009	40
5040241000006113	CABG x 5 - Coronary artery bypass grafts x 5	^ESCTCA504024		232723004	10
6851841000006118	Emergency CABG	^ESCTEM685184		414088005	10
271169016	Coronary artery bypass graft	792D	792D.00	232717009	40000
348644016	Coronary artery bypass graft operations	792-1	792..11	232717009	400000
451132018	[V]Presence of coronary artery bypass graft	ZV45K	ZV45K00	399261000	8000
1227364015	History of coronary artery bypass grafting	ZV45K-1	ZV45K11	399261000	10000
2160096015	Coronary artery bypass graft occlusion	SP076	SP07600	408546009	8000
161481000006112	Aortocoronary artery bypass graft with saphenous vein graft	7920y	7920y00	3546002	20000
1550991000000116	Coronary artery bypass graft operation planned	8L40	8L40.00	698378009	2000
2771011000006114	Aortocoronary artery bypass graft with vein graft	^ESCTAO277101		17073005	6
3494951000006115	Aortocoronary artery bypass graft repeated	^ESCTAO349495		61236006	1
4317901000006119	Internal mammary-coronary artery bypass graft	^ESCTIN431790		119564002	20
4317911000006116	Coronary artery bypass graft, anastomosis of artery of thorax to coronary artery	^ESCTCO431791		119565001	10
5040111000006115	Coronary artery bypass grafting	^ESCTCO504011		232717009	90
5040141000006116	Coronary artery bypass graft x 1	^ESCTCO504014		232719007	60
5040161000006117	Coronary artery bypass grafts x 2	^ESCTCO504016		232720001	1000
5040181000006110	Coronary artery bypass grafts x 3	^ESCTCO504018		232721002	3000
