medcodeid	snomedctconceptid	term	ethnic_20grp	ethnic_6grp	F	G	Updatedaccordingtothe2021ce	I
250222012	160513005	European origin	17	4			19+1 classification:	5+1 classification:
250223019	160514004	African origin	6	2			1- Asian, Asian British or Asian Welsh: Bangladeshi	1 - Asian, Asian British or Asian Welsh 
250224013	160515003	Asian origin	5	1			2- Asian, Asian British or Asian Welsh: Chinese	2 - Black, Black British, Black Welsh, Caribbean or African
250225014	160516002	North American origin	17	4			3- Asian, Asian British or Asian Welsh: Indian	3 - Mixed or multiple ethnic groups
250226010	160517006	South American origin	19	5			4- Asian, Asian British or Asian Welsh: Pakistani	4 - White
250227018	160518001	Australian origin	17	4			5- Asian, Asian British or Asian Welsh: Other Asian	5 - Other ethnic group
250228011	160519009	Indian origin	3	1			6- Black, Black British, Black Welsh, Caribbean or African: African	6 - Unknown
250229015	160520003	Middle Eastern origin	19	5			7- Black, Black British, Black Welsh, Caribbean or African: Caribbean	
250230013	160521004	Far Eastern origin	5	1			8- Black, Black British, Black Welsh, Caribbean or African: Other Black	
250231012	160522006	West Indian origin	7	2			9- Mixed or Multiple ethnic groups: White and Asian	
196641000006110	413773004	RACE: Caucasian	17	4			10- Mixed or Multiple ethnic groups: White and Black African	
196621000006115	90027003	RACE: Arab	18	5			11- Mixed or Multiple ethnic groups: White and Black Caribbean	
196651000006112	33897005	RACE: Chinese	2	1			12- Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups	
196661000006114	414551003	RACE: Japanese	5	1			13- White: English, Welsh, Scottish, Northern Irish or British	
196671000006119	38361009	RACE: Korean	5	1			14- White: Irish	
196701000006118	414978006	RACE: Oriental	5	1			15- White: Gypsy or Irish Traveller	
196601000006113	413465009	RACE: Afro-caribbean	7	2			16- White: Roma	
196631000006117	186003008	RACE: Bangladeshi	1	1			17- White: Other White	
196681000006116	414752008	RACE: Mixed	12	3			18- Other ethnic group: Arab	
250243013	160531006	Race: West indian	7	2			19- Other ethnic group: Any other ethnic group	
196611000006111	413466005	RACE: Afro-caucasian	11	3			20 - Unknown	
196721000006111	186002003	RACE: Pakistani	4	1				
2537217015	413773004	Race: White	17	4				
196731000006114	415794004	RACE: Unknown	20	6				
196691000006118	415226007	RACE: Not stated	20	6				
371005013	103579009	Race: Other	19	5				
308131000000114	202171000000101	Patient ethnicity unknown	20	6				
285925010	185984009	White	17	4				
459726019	315236000	White British	13	4				
459727011	315237009	White Irish	14	4				
459728018	185984009	Other white ethnic group	17	4				
1780407014	401213008	White Scottish	3	4				
1780408016	401214002	Other white British ethnic group	13	4				
514611000006111	185988007	Black Caribbean	7	2				
30683015	18167009	Black African	6	2				
285931013	185989004	Black, other, non-mixed origin	8	2				
285932018	185990008	Black British	8	2				
405064011	270460000	Black Caribbean/W.I./Guyana	7	2				
285930014	185988007	Black Caribbean	7	2				
453109012	309643000	Black West Indian	8	2				
453110019	309644006	Black Guyana	8	2				
405065012	270461001	Black N African/Arab/Iranian	8	2				
411573013	275586009	Black North African	6	2				
411574019	275587000	Black Arab	8	2				
411575018	275588005	Black Iranian	8	2				
285943014	185993005	Black - other African country	6	2				
514651000006112	270462008	Black E Afric Asia/Indo-Caribb	8	2				
411576017	275589002	Black East African Asian	8	2				
411577014	275590006	Black Indo-Caribbean	7	2				
285948017	185995003	Black Indian sub-continent	8	2				
285949013	185996002	Black - other Asian	8	2				
285950013	185989004	Black Black - other	8	2				
285951012	185998001	Black - other, mixed	8	2				
285952017	185999009	Other Black - Black/White orig	8	2				
285953010	186000006	Other Black - Black/Asian orig	8	2				
285954016	414481008	Indian	3	1				
285955015	186002003	Pakistani	4	1				
285956019	186003008	Bangladeshi	1	1				
56590016	33897005	Chinese	2	1				
285958018	186005001	Other ethnic non-mixed (NMO)	19	5				
285959014	186006000	Brit. ethnic minor. spec.(NMO)	19	5				
285960016	186007009	Brit. ethnic minor. unsp (NMO)	19	5				
405067016	270463003	Caribbean I./W.I./Guyana (NMO)	7	2				
411578016	275591005	Caribbean Island (NMO)	7	2				
411579012	275592003	West Indian (NMO)	7	2				
411580010	275593008	Guyana (NMO)	7	2				
405068014	270464009	N African Arab/Iranian (NMO)	19	5				
411581014	275594002	North African Arab (NMO)	19	5				
411582019	275595001	Iranian (NMO)	19	5				
285971015	186010002	Other African countries (NMO)	19	5				
405069018	270465005	E Afric Asian/Indo-Carib (NMO)	19	5				
411583012	275596000	East African Asian (NMO)	5	1				
411584018	275597009	Indo-Caribbean (NMO)	7	2				
285976013	186012005	Indian sub-continent (NMO)	3	1				
285977016	186013000	Other Asian (NMO)	5	1				
285978014	186014006	Irish (NMO)	14	4				
405070017	270466006	Greek/Greek Cypriot (NMO)	17	4				
411594011	275599007	Greek (NMO)	17	4				
411595012	275600005	Greek Cypriot (NMO)	17	4				
405071018	270467002	Turkish/Turkish Cypriot (NMO)	17	4				
411596013	275601009	Turkish (NMO)	17	4				
411597016	275602002	Turkish Cypriot (NMO)	17	4				
285987017	186017004	Other European (NMO)	17	4				
285988010	186005001	Other ethnic NEC (NMO)	19	5				
285989019	186019001	Other ethnic, mixed origin	19	5				
285990011	186020007	Other ethnic, Black/White orig	19	5				
285991010	186021006	Other ethnic, Asian/White orig	19	5				
285992015	186022004	Other ethnic, mixed white orig	19	5				
285993013	186023009	Other ethnic, other mixed orig	19	5				
460153018	315634007	Black Caribbean and White	11	3				
460154012	315635008	Black African and White	10	3				
456650013	312859007	Vietnamese	5	1				
456651012	763726001	Ethnic group not given - patient refused	20	6				
