medcode	readcode	desc	originalreadcode	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid
12496011	F421300	hypertensive retinopathy	F4213	6962006	12496011		32
60444016	G211.00	benign hypertensive heart disease	G211	36221001	60444016		32
64282015	G22..00	hypertensive renal disease	G22	38481006	64282015		32
80224019	G203.00	diastolic hypertension	G203	48146000	80224019		32
84111015	G672.00	hypertensive encephalopathy	G672	50490005	84111015		32
93494011	G202.00	systolic hypertension	G202	56218007	93494011		32
107545013	G21..00	hypertensive heart disease	G21	64715009	107545013		32
253532015	212K.00	hypertension resolved	212K	162659009	253532015		27
299673010	G233.00	hypertensive heart and renal disease with renal failure	G233	194780003	299673010		32
305774018	L123100	transient hypertension of pregnancy - delivered	L1231	198965005	305774018		32
305776016	L123300	transient hypertension of pregnancy - not delivered	L1233	198967002	305776016		32
316848016	Q492.00	neonatal hypertension	Q492	206596003	316848016		32
355621014	L123600	transient hypertension of pregnancy	L1236	237279007	355621014		32
451424017	8B26.00	antihypertensive therapy	8B26	308116003	451424017		32
1488750011	66b2.00	hypertension monitoring not required	66b2	395050009	1488750011		1
1780318013	662b.00	moderate hypertension control	662b	401117004	1780318013		1
350601000000116	7Q01.00	high cost hypertension drugs	7Q01	220901000000101	350601000000116		32
790031000006119		hypertension annual review	EMISHGT69	790031000006103	790031000006119		1
857151000006119		no h/o: hypertension	EMISNO2	857151000006103	857151000006119		32
1706551000000114	662P000	hypertension 9 month review	662P0	766211000000109	1706551000000114		1
1806071000006118		stage 1 hypertension	EMISNQST24	1806071000006102	1806071000006118		32
1806141000006113		severe hypertension	EMISNQSE73	1806141000006109	1806141000006113		32
1855791000006117		hypertension monitoring in secondary care	EMISNQHY16	1855791000006101	1855791000006117		37
1877391000006112		hypertension clinical management plan no longer in place	EMISNQHY19	1877391000006108	1877391000006112		32
1916621000006119		borderline hypertension monitoring invitation first letter	EMISNQBO45	1916621000006103	1916621000006119		37
1916641000006114		borderline hypertension monitoring invitation third letter	EMISNQBO47	1916641000006105	1916641000006114		37
2193031000000112	G25..11	stage 1 hypertension	G25-1	843821000000102	2193031000000112		32
2403141000000118	9OIB.00	borderline hypertension monitoring first letter	9OIB	938571000000104	2403141000000118		37
2403221000000116	9OIC.00	borderline hypertension monitoring second letter	9OIC	938611000000108	2403221000000116		37
2423811000000118	662P100	telehealth hypertension monitoring	662P1	715280009	3302075013		1
299686018	G2y..00	other specified hypertensive disease	G2y	38341003	1215744012		32
300870016	Gyu2000	[x]other secondary hypertension	Gyu20	31992008	53452019		32
324342013	SLC6z00	hypertensive agent poisoning nos	SLC6z	22915003	38478017		32
19441000006114	L122z00	other pre-existing hypertension in preg/childb/puerp nos	L122z	86041002	142647015		32
19451000006111	L122000	other pre-existing hypertension in preg/childb/puerp unspec	L1220	86041002	142647015		32
95981000006112	L123.00	transient hypertension of pregnancy	L123	237279007	355621014		32
176961000006112	L121000	renal hypertension in pregnancy/childbirth/puerp unspecified	L1210	198949009	305757018		32
212961000006118	L127z00	pre-eclampsia or eclampsia + pre-existing hypertension nos	L127z	198997005	305818015		32
504811000006110	L120000	benign essential hypertension in preg/childb/puerp unspec	L1200	86041002	142647015		32
741661000006118	G21z.00	hypertensive heart disease nos	G21z	64715009	107545013		32
