medcode	desc	originalreadcode	readcode	snomedctconceptid
68497011	caesarean hysterectomy	7F1A0	7F1A000	41059002
273717011	subtotal abdominal hysterectomy	7E044	7E04400	176795006
274117010	excision of lesion of broad ligament of uterus	7E270	7E27000	177055009
307604012	delivery by caesarean hysterectomy	L3985	L398500	200150009
393625012	vaginal excision of uterus	7E05	7E05.00	265056007
2474692011	abdominal hysterectomy with conservation of ovaries	7E04A	7E04A00	413144006
2676226015	excision of accessory uterus	7E04D	7E04D00	427107006
569631000000112	laparoscopic subtotal hysterectomy	7E04E	7E04E00	431316002
628771000000110	total abdominal hysterectomy with conservation of ovaries	7E04G	7E04G00	116143008
870101000006119	subtotal abdom. hysterectomy	7E044-99	7E04499	176795006
906481000006115	[rfc] hysterectomy	HNG0124		906481000006104
933351000006119	radical abdominal hysterectomy	7E046-99	7E04699	116142003
1894981000006112	vaginal hysterectomy and right salpingo-oophorectomy	EMISNQVA16		1894981000006108
2358521000000110	vaginal hysterectomy and right salpingo-oophorectomy	7E057	7E05700	918451000000102
2358561000000119	vaginal hysterectomy and left salpingo-oophorectomy	7E058	7E05800	918471000000106
2358601000000119	radical hysterectomy with conservation of ovaries	7E04N	7E04N00	918491000000105
2358641000000116	radical hysterectomy with bilateral salpingo-oophorectomy	7E04P	7E04P00	918511000000102
273729019	other specified abdominal excision of uterus	7E04y	7E04y00	116141005
273889013	other specified bilateral excision of adnexa of uterus	7E10y	7E10y00	176901003
273890016	bilateral excision of adnexa of uterus nos	7E10z	7E10z00	176901003
273906019	other specified unilateral excision of adnexa of uterus	7E11y	7E11y00	176757001
273908018	other excision of adnexa of uterus	7E12	7E12.00	176757001
393626013	vaginal hysterectomy nec	7E053	7E05300	265056007
393627016	other specified vaginal excision of uterus	7E05y	7E05y00	265056007
436671000006111	abdominal hysterectomy and left salpingoophorectomy	7E048	7E04800	302191001
818301000006112	heaney vaginal hysterectomy	7E053-1	7E05311	265056007
436691000006112	abdominal hysterocolpectomy and excision periuterine tissue	7E040	7E04000	447771005
3933421000006114	excision of lesion of uterus	^ESCTEX393342		88218008
3079081000006110	schauta-amreich vaginal hysterectomy	^ESCTSC307908		35955002
5100081000006112	uterus excision	^ESCTUT510008		236886002
5483161000006111	vh - vaginal hysterectomy	^ESCTVH548316		265056007
5993541000006116	extended abdominal hysterectomy	^ESCTEX599354		309879006
5100071000006114	excision procedure on uterus	^ESCTEX510007		236886002
3178901000006119	prolapse of vaginal vault after hysterectomy	^ESCTPR317890		42116007
3079071000006112	radical vaginal hysterectomy, schauta type operation	^ESCTRA307907		35955002
4351541000006113	specimen from uterus obtained by radical hysterectomy	^ESCTSP435154		122696004
7483901000006111	history of vaginal hysterectomy	^ESCTHI748390		473171009
8032421000006110	sampling of vagina for papanicolaou smear after hysterectomy for malignant disease done	^ESCTSA803242		103921000119100
8032671000006114	vaginal papanicolaou smear after hysterectomy with history of cervical dysplasia done	^ESCTVA803267		104651000119104
8033331000006111	sampling of vagina for papanicolaou smear after benign hysterectomy done	^ESCTSA803333		106411000119105
2710301000006112	abdominal hysterectomy with colpo-urethrocystopexy, marshall-marchetti-krantz type	^ESCTAB271030		13254001
6722271000006115	college of american pathologists cancer checklist; uterine cervix: colpectomy, hysterectomy, pelvic exenteration	^ESCTCO672227		406044008
6328481000006117	endometrium, hysterectomy surgical margin, involved by tumor	^ESCTEN632848		369650007
7324541000006117	total abdominal hysterectomy and removal of vaginal cuff	^ESCTTO732454		446446002
7489141000006113	laparoscopic assisted vaginal hysterectomy with repair of rectocele	^ESCTLA748914		608806004
7642481000006112	laparoscopic vaginal hysterectomy using robotic assistance	^ESCTLA764248		708985003
2896161000006111	anesthesia for cesarean hysterectomy	^ESCTAN289616		24806008
4351831000006117	specimen from fallopian tube obtained by hysterectomy with salpingo-oophorectomy	^ESCTSP435183		122719002
7473691000006115	hysterectomy forceps, single-use	^ESCTHY747369		470644009
7640811000006118	robot assisted laparoscopic radical hysterectomy	^ESCTRO764081		708878003
12059001000006111	intrafascial vaginal total hysterectomy	^ESCT1205900		767612001
7336811000006110	hysteroscopic excision of uterus and supporting structures	^ESCTHY733681		447237002
8032431000006113	vaginal papanicolaou smear with history of hysterectomy for cancer done	^ESCTVA803243		103921000119100
4215741000006115	vaginal hysterectomy with colpo-urethrocystopexy, marshall-marchetti-krantz type	^ESCTVA421574		112918004
2781581000006116	subtotal hysterectomy after caesarean delivery	^ESCTSU278158		17744000
8032661000006119	sampling of vagina for papanicolaou smear after hysterectomy for dysplasia of cervix done	^ESCTSA803266		104651000119104
4215731000006113	supracervical hysterectomy with unilateral removal of tube and ovary	^ESCTSU421573		112917009
3008211000006111	total hysterectomy with unilateral removal of tube	^ESCTTO300821		31545000
6208771000006113	tuffier operation for vaginal hysterectomy	^ESCTTU620877		359974005
7489151000006110	laparoscopic assisted vaginal hysterectomy with repair of cystocoele and rectocoele	^ESCTLA748915		608807008
7108321000006112	history of total hysterectomy with bilateral salpingo-oophorectomy (bso)	^ESCTHI710832		429763009
7640801000006116	laparoscopic total hysterectomy using robotic assistance	^ESCTLA764080		708877008
3636967010	vaginal hysterectomy and pelvic floor repair	^ESCT1169369		762625001
2974731000006113	supracervical hysterectomy with removal of both tubes and ovaries	^ESCTSU297473		29529008
6585231000006117	specimen from right fallopian tube obtained by hysterectomy with salpingo-oophorectomy	^ESCTSP658523		397326000
3415061000006117	anesthesia for vaginal hysterectomy	^ESCTAN341506		56315007
7313191000006110	hysteroscopic excision of polyp of uterus	^ESCTHY731319		445766004
7489121000006118	laparoscopic assisted vaginal hysterectomy with repair of cystocele	^ESCTLA748912		608805000
3384211000006119	vaginal hysterectomy with repair of enterocele	^ESCTVA338421		54490004
7489131000006115	laparoscopic assisted vaginal hysterectomy with repair of rectocoele	^ESCTLA748913		608806004
7483931000006115	history of abdominal hysterectomy	^ESCTHI748393		473173007
2675721000006110	closure of vesicouterine fistula with hysterectomy	^ESCTCL267572		11050006
5729291000006110	hysterectomy and fetus removal	^ESCTHY572929		288042004
6474961000006117	partial or subtotal hysterectomy	^ESCTPA647496		387643005
6208951000006117	heaney operation for vaginal hysterectomy	^ESCTHE620895		359983000
3537346011	total hysterectomy with left oophorectomy	^ESCT1168346		739671004
6722531000006115	college of american pathologists cancer checklist; ovary: oophorectomy, salpingo-oophorectomy, subtotal oophorectomy or removal of tumour in fragments, hysterectomy with salpingo-oophorectomy	^ESCTCO672253		406070009
7374111000006113	excisional biopsy of uterus	^ESCTEX737411		449727003
12058991000006111	total hysterectomy via vaginal approach using intrafascial technique	^ESCT1205899		767612001
3540776019	total hysterectomy with left salpingectomy	^ESCT1168378		740515000
2781591000006118	subtotal hysterectomy after cesarean delivery	^ESCTSU278159		17744000
3767401000006114	vaginal hysterectomy with partial colpectomy	^ESCTVA376740		77902002
6328541000006112	trophoblast, hysterectomy surgical margin, involved by tumor	^ESCTTR632854		369654003
7232931000006117	partial excision of uterus for removal of interstitial ectopic pregnancy	^ESCTPA723293		440148001
4351681000006115	specimen from endometrium obtained by radical hysterectomy	^ESCTSP435168		122706001
3537344014	supracervical hysterectomy with right salpingo-oophorectomy	^ESCT1168345		739670003
5101701000006113	emergency cesarean hysterectomy	^ESCTEM510170		236987005
3205101000006116	vaginal hysterectomy with total colpectomy	^ESCTVA320510		43791001
3533011000006118	vaginal hysterectomy with colpo-urethrocystopexy, pereyra type	^ESCTVA353301		63516002
5608231000006119	post-hysterectomy menopause	^ESCTPO560823		278063007
7330341000006117	hysteroscopic excision of leiomyoma of uterus	^ESCTHY733034		446804002
7472961000006110	hysterectomy forceps, reusable	^ESCTHY747296		470565005
6622991000006117	trophoblastic tissue obtained by radical hysterectomy	^ESCTTR662299		399447007
410888018	hysterectomy	7E043-2	7E04312	236886002
220381000000111	wertheim's hysterectomy	7E04-2	7E04.12	307771009
1924991000006114	subtotal abdominal hysterectomy and right salpingo-oophorectomy	7E04J	7E04J00	918411000000101
273735019	vaginal hysterectomy and excision of periuterine tissue	7E051	7E05100	448539002
520681000006118	radical abdominal hysterectomy	7E043-1	7E04311	307771009
6220861000006119	wertheim-meigs abdominal hysterectomy	^ESCTWE622086		361222003
6622051000006110	specimen from left fallopian tube obtained by hysterectomy with salpingo-oophorectomy	^ESCTSP662205		399388008
6208741000006117	ward-mayo operation for vaginal hysterectomy	^ESCTWA620874		359971002
6722541000006113	college of american pathologists cancer checklist; ovary: oophorectomy, salpingo-oophorectomy, subtotal oophorectomy or removal of tumor in fragments, hysterectomy with salpingo-oophorectomy	^ESCTCO672254		406070009
5986971000006110	hysterectomy and bilateral salpingo-oophorectomy sample	^ESCTHY598697		309287004
12031481000006111	hysterectomy and left salpingo-oophorectomy sample	^ESCT1203148		765469005
7093961000006119	history of hysterectomy with benign disease	^ESCTHI709396		428804004
3002891000006119	excision of congenital septum of uterus	^ESCTEX300289		31191000
870111000006116	hysterectomy nos	7E04z-99	7E04z99	547111000000105
451138019	radical abdominal hysterectomy	7E040-99	7E04099	307771009
4268551000006115	tah - total abdominal hysterectomy	^ESCTTA426855		116143008
4544271000006117	history of hysterectomy	^ESCTHI454427		161800001
436651000006118	abdominal hysterectomy and bilateral salpingoophorectomy	7E045	7E04500	116144002
673281000006115	no smear - hysterectomy	685H-1	685H.11	268544001
273751010	open excision of lesion of uterus nec	7E062	7E06200	88218008
273915014	other excision of adnexa of uterus nos	7E12z	7E12z00	176757001
1894261000006111	radical hysterectomy with conservation of ovaries	EMISNQRA15		1894261000006107
273880012	vaginal excision of lesion of uterus	7E0G0	7E0G000	176895001
273893019	unilateral excision of adnexa of uterus	7E11	7E11.00	176907004
284218019	hysterectomy planned	8L70	8L70.00	183989002
252126010	h/o: hysterectomy	1599	1599.00	161800001
197188014	radical vaginal hysterectomy	7E050-99	7E05099	35955002
1233920014	laparoscopic vaginal hysterectomy	7E054	7E05400	75835007
3507991000006110	anesthesia for radical hysterectomy	^ESCTAN350799		62022005
7180051000006116	family history of total abdominal hysterectomy with bilateral salpingo-oophorectomy	^ESCTFA718005		433506004
12058981000006113	intrafascial tah (total abdominal hysterectomy)	^ESCT1205898		767611008
3537352012	total hysterectomy with right salpingo-oophorectomy	^ESCT1168349		739674007
4351601000006112	specimen from uterine cervix obtained by radical hysterectomy	^ESCTSP435160		122701006
7382071000006117	open excision of lesion of uterus	^ESCTOP738207		450692005
445899013	total abdominal hysterectomy	7E043	7E04300	116143008
436631000006113	total abdominal hysterectomy with bilateral salpingo-oophorectomy	7E045-1	7E04511	116144002
8255581000006112	vaginal hysterectomy and pelvic floor repair	^ESCTVA825558		800701000000102
7380481000006112	laparoscopic excision of leiomyoma of uterus	^ESCTLA738048		450559006
