medcode	desc	readcode	originalreadcode	snomedctconceptid
78013015	smokers' cough	H310100	H3101	46802002
136515019	pipe smoker	137H.00	137H	82302008
216212011	smoking reduced	137V.00	137V	134406006
344794017	cigar consumption	137Y.00	137Y	230057008
344795016	pipe tobacco consumption	137a.00	137a	230058003
418914010	ex-cigarette smoker	137j.00	137j	281018007
1489355012	referral to smoking cessation advisor	8H7i.00	8H7i	395700008
2669652019	smoking started	137Q.00	137Q	266929003
137711000006111	smoker (read codes)		EMISSMRE1	137711000006107
854021000006115	cigarette smoker		EGTON321	854021000006104
854151000006111	date stopped smoking		EGTON328	854151000006107
854981000006117	grade c moderate smoker (11-20/day)		EGTONGR12	854981000006101
903981000006117	not interested in stopping smoking		EMISQNO1	903981000006101
904031000006115	thinking about stopping smoking		EMISQTH1	904031000006104
1151791000000117	recently stopped smoking	137K000	137K0	517211000000106
1152111000000118	current smoker annual review	9ko..11	9ko-1	505651000000103
1154431000000112	non-smoker annual review	9kn..11	9kn-1	505681000000109
1176421000000118	smoking cessation advice declined	8IAj.00	8IAj	527151000000107
1809121000006113	waterpipe tobacco consumption		EMISNQWA11	1809121000006109
1899561000006114	mother's smoking status at time of baby's birth - ex-smoker		EMISNQMO109	1899561000006105
1911911000006111	carer's partner current smoker		EMISNQCA1053	1911911000006107
137791000006118	smoking restarted	137Q.11	137Q-1	308438006
1714541000006110	current smoker annual review - enhanced services admin	9ko..00	9ko	505651000000103
5495941000006114	occasional smoker		^ESCTOC549594	266920004
8153381000006119	occasional smoker		^ESCTOC815338	428041000124106
12482301000006115	admitted tobacco cons untrue ?		^ESCT1248230	160613002
4120291000006119	non-smoker for religious reasons		^ESCTNO412029	105540000
7983221000006111	smoker's melanosis		^ESCTSM798322	5661000124106
5074201000006119	smokers keratosis		^ESCTSM507420	235033006
11904991000006116	occasional cigarette smoker		^ESCT1190499	230059006
4980851000006117	chewed tobacco consumption		^ESCTCH498085	228510007
6217151000006116	intolerant ex-smoker		^ESCTIN621715	360890004
8029931000006113	smoker in home environment		^ESCTSM802993	94151000119101
7507191000006117	water pipe smoker		^ESCTWA750719	698289004
2699531000006114	meat and fish smoker		^ESCTME269953	12539000
7368961000006112	stopped smoking during pregnancy		^ESCTST736896	449368009
2735381000000111	ex-light smoker (1-9/day)		^ESCT1172045	1092111000000104
2670581000006114	smoker's respiratory syndrome		^ESCTSM267058	10729003
4120281000006117	non-smoker for personal reasons		^ESCTNO412028	105539002
4120301000006118	non-smoker for medical reasons		^ESCTNO412030	105541001
2735201000000112	ex-very heavy smoker (40+/day)		^ESCT1172036	1092041000000104
6217561000006111	intolerant non-smoker		^ESCTIN621756	360929005
3513199018	ex-smoker for less than 1 year		^ESCT1165113	735128000
3422221000006116	heavy smoker (over 20 per day)		^ESCTHE342222	56771006
5003181000006112	very heavy cigarette smoker		^ESCTVE500318	230064005
4980561000006117	time since stopped smoking		^ESCTTI498056	228486009
5003191000006110	chain smoker		^ESCTCH500319	230065006
8029911000006119	smoker in home		^ESCTSM802991	94151000119101
250363016	ex-trivial cigarette smoker (<1/day)	1377.00	1377	266921000
250364010	ex-light cigarette smoker (1-9/day)	1378.00	1378	266922007
250365011	ex-moderate cigarette smoker (10-19/day)	1379.00	1379	266923002
250367015	ex-very heavy cigarette smoker (40+/day)	137B.00	137B	266925009
67621000006112	very heavy cigarette smoker (40+ cigs/day)	1376.00	1376	160606002
649831000006117	ex-pipe smoker	137N.00	137N	160620009
700121000006118	moderate cigarette smoker (10-19 cigs/day)	1374.00	1374	160604004
2735421000000119	ex-trivial smoker (<1/day)		^ESCT1172048	1092131000000107
9211501000006113	viteyes smoker's formula plus lutein		^ESCTVI921150	9628401000001102
7368971000006117	stopped smoking before pregnancy		^ESCTST736897	449369001
397733018	occasional smoker	1372.11	1372-1	428041000124106
2670126018	smoking restarted	137e.00	137e	308438006
137721000006115	smoker - amount smoked	137..11	137-1	266918002
250387019	tobacco consumption nos	137Z.00	137Z	266918002
1899551000006112	mother's smoking status at time of baby's birth - smoker		EMISNQMO108	1899551000006108
1592611000000110	failed attempt to stop smoking	137m.00	137m	446172000
903051000006112	tobacco consumption nil	137L.99	137L-99	160618006
649851000006112	ex- rolled tobacco smoker		EGTON1027	649851000006108
853001000006110	ex-smoker nos		EGTON1028	853001000006106
250370016	tobacco consumption unknown	137E.00	137E	160614008
14866014	non-smoker	1371.11	1371-1	8392000
108938018	cigarette smoker	137P.00	137P	65568007
1488576014	thinking about stopping smoking	137c.00	137c	394871007
5003161000006119	moderate cigarette smoker		^ESCTMO500316	230062009
8029921000006110	smoker in household		^ESCTSM802992	94151000119101
250369017	admitted tobacco consumption possibly untrue	137D.00	137D	160613002
3374141000006117	tolerant ex-smoker		^ESCTTO337414	53896009
4427811000006111	non-smoker's second hand smoke syndrome		^ESCTNO442781	129570009
3199041000006115	involuntary smoker		^ESCTIN319904	43381005
250371017	ex-smoker - amount unknown	137F.00	137F	8517006
1888821000006112	primary carer current non-smoker		EMISNQPR395	1888821000006108
1888831000006110	primary carer current smoker		EMISNQPR396	1888831000006106
1709641000000115	referral for smoking cessation service offered	9NS0200	9NS02	767641000000109
1059701000000119	ex roll-up cigarette smoker	137l.00	137l	492191000000103
1009271000006118	non smoker - nos		ASDFGNO1	1009271000006102
903041000006110	ex-smoker nos	137F.99	137F-99	266928006
904001000006111	ready to stop smoking		EMISQRE12	904001000006107
904111000006113	carbon monoxide validation confirms non-smoker		EMISQCO2	904111000006109
904121000006117	carbon monoxide validation confirms smoker		EMISQCO3	904121000006101
854071000006119	current smoker		EGTON326	854071000006103
854111000006110	past smoker		EGTON327	854111000006106
854951000006113	grade a non-smoker		EGTONGR10	854951000006109
854961000006110	grade b light smoker (1-10/day)		EGTONGR11	854961000006106
503483019	current smoker	137R.00	137R	77176002
4980741000006114	moist tobacco consumption		^ESCTMO498074	228500003
