medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid
1.22207810000e+16	Rupture of chordae tendinae due to and following acute myocardial infarction			194866002	.
100681000006116	Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction	G366	G366.00	194868001	299824016
109915012	Post-myocardial infarction syndrome	G310	G310.00	66189004	500341014
116992017	Acute subendocardial infarction	G307	G307.00	70422006	116992017
118831000006118	Subsequent myocardial infarction of unspecified site	G35X	G35X.00	194856005	299808017
12122331000006116	Acute ST segment elevation myocardial infarction of inferolateral wall	^ESCT1212233		12238111000119106	3646299014
12122341000006114	Acute ST segment elevation myocardial infarction of inferoposterior wall	^ESCT1212234		12238151000119108	3646297011
1234005010	Acute inferoposterior infarction	G303	G303.00	76593002	1234005010
1234306015	Acute septal infarction	G30y2	G30y200	79009004	1234306015
13930031000006112	Delayed postmyocardial infarction pericarditis	^ESCT1393003		827164008	3874232012
13935161000006114	Acute myocardial infarction of right ventricle	^ESCT1393516		836293000	3890822012
13935201000006115	Acute apical myocardial infarction of heart	^ESCT1393520		836294006	3890984012
13935211000006117	Acute myocardial infarction of inferolateral wall with posterior extension	^ESCT1393521		836295007	3890829015
13941091000006115	Acute ST segment elevation myocardial infarction due to proximal left anterior descending coronary artery occlusion	^ESCT1394109		840309000	3901248018
13941111000006112	Acute STEMI (ST elevation myocardial infarction) due to proximal LAD (left anterior descending) coronary artery occlusion	^ESCT1394111		840309000	3902914010
13941141000006111	Acute ST segment elevation myocardial infarction due to mid left anterior descending coronary artery occlusion	^ESCT1394114		840312002	3901259010
13941161000006110	Acute STEMI (ST elevation myocardial infarction) due to mid LAD (left anterior descending) coronary artery occlusion	^ESCT1394116		840312002	3902913016
13941211000006118	Acute ST segment elevation myocardial infarction due to distal left anterior descending coronary artery occlusion	^ESCT1394121		840316004	3901277017
13941231000006112	Acute STEMI (ST elevation myocardial infarction) due to distal LAD (left anterior descending) coronary artery occlusion	^ESCT1394123		840316004	3902912014
13945211000006116	Acute ST segment elevation myocardial infarction due to occlusion of anterior descending branch of left coronary artery	^ESCT1394521		840609007	3902908015
13945981000006117	Acute ST segment elevation myocardial infarction due to occlusion of septal branch of anterior descending branch of left coronary artery	^ESCT1394598		840680009	3914888011
13947721000006111	Acute ST segment elevation myocardial infarction due to occlusion of intermediate artery	^ESCT1394772		846683001	3914972012
13961351000006116	Acute STEMI (ST elevation myocardial infarction) due to distal RCA (right coronary artery) occlusion	^ESCT1396135		868217004	3963966019
13961381000006112	Acute STEMI (ST elevation myocardial infarction) due to mid RCA (right coronary artery) occlusion	^ESCT1396138		868220007	3963971014
13961421000006119	Acute ST segment elevation myocardial infarction due to occlusion of marginal branch of right coronary artery	^ESCT1396142		868224003	3963981013
13961431000006116	Acute STEMI (ST elevation myocardial infarction) due to AM (acute marginal) branch of RCA (right coronary artery) occlusion	^ESCT1396143		868224003	3963980014
13961441000006114	Acute ST segment elevation myocardial infarction due to occlusion of posterior descending branch of right coronary artery	^ESCT1396144		868225002	3963983011
13961451000006111	Acute STEMI (ST elevation myocardial infarction) due to PDA (posterior descending artery) branch of RCA (right coronary artery) occlusion	^ESCT1396145		868225002	3963985016
13961461000006113	Acute ST segment elevation myocardial infarction due to occlusion of posterior lateral branch of right coronary artery	^ESCT1396146		868226001	3963987012
13961471000006118	Acute STEMI (ST elevation myocardial infarction) due to PL (posterolateral) branch of RCA (right coronary artery) occlusion	^ESCT1396147		868226001	3963988019
14015031000006119	Myocardial infarction due to demand ischaemia	^ESCT1401503		16837681000119104	3779054018
14057221000006111	Rupture of ventricle due to acute myocardial infarction	^ESCT1405722		30277009	3902936013
14132941000006118	Myocardial infarction with non-obstructive coronary artery	^ESCT1413294		879955009	3994016011
14132951000006116	MINOCA - myocardial infarction with non-obstructive coronary artery	^ESCT1413295		879955009	3994017019
14145371000006117	Acute myocardial infarction due to occlusion of circumflex branch of left coronary artery	^ESCT1414537		896689003	4028647019
14145391000006116	Acute ST segment elevation myocardial infarction due to occlusion of circumflex branch of left coronary artery	^ESCT1414539		896691006	4028649016
14145431000006110	Acute ST segment elevation myocardial infarction of apex of heart	^ESCT1414543		896696001	4028673012
14145451000006115	Acute STEMI (ST segment elevation myocardial infarction) of apex of heart	^ESCT1414545		896696001	4028675017
14194701000006115	Myocardial infarction due to atherothrombotic coronary artery disease	^ESCT1419470		726499301000119168	4030229011
14194711000006117	Type 1 myocardial infarction	^ESCT1419471		726499301000119168	4030227013
14428131000006112	Mitral valve regurgitation due to acute myocardial infarction	^ESCT1442813		1142308000	4537390011
14488861000006119	Supraventricular tachycardia following acute myocardial infarction	^ESCT1448886		16415081000119104	4573825014
14546511000006116	Postmyocardial infarction pericardial effusion	^ESCT1454651		1163420005	4596779013
14741971000006110	Acute inferior non-ST segment elevation myocardial infarction	^ESCT1474197		1204152002	4952475012
14742011000006111	Acute anterior non-ST segment elevation myocardial infarction	^ESCT1474201		1204155000	4952482011
14752451000006117	Ventricular thrombus following acute myocardial infarction	^ESCT1475245		1208867006	5013229011
1488382011	Acute coronary syndrome	G3115	G311500	394659003	1488382011
1576271000006117	Cause of Death- Myocardial Infarction	EGTON2EGTON433		1576271000006100	1576271000006117
1576301000006115	Cause of Death- Acute Myocardial Infarction	EGTON2G41		1576271000006100	1576301000006115
158601000006116	Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction	G363	G363.00	194865003	299821012
158611000006118	Rupture of chordae tendinae as current complication following acute myocardial infarction	G364	G364.00	194866002	299822017
159001000006119	Rupture of papillary muscle as current complication following acute myocardial infarction	G365	G365.00	194867006	299823010
1780491019	Acute ST segment elevation myocardial infarction	G30X0	G30X000	401303003	1780491019
1780501013	Acute non-ST segment elevation myocardial infarction	G3071	G307100	401314000	1780501013
1786197015	Coronary thrombosis	G30-2	G30..12	1576271000006100	1786197015
1786198013	Thrombosis - coronary	G30-6	G30..16	398274000	1786198013
208365015	Postoperative myocardial infarction	G38	G38..00	129574000	208365015
212061000006119	Postoperative transmural myocardial infarction of anterior wall	G380	G380.00	311792005	455418016
212071000006114	Postoperative transmural myocardial infarction of inferior wall	G381	G381.00	311793000	455419012
212081000006112	Postoperative transmural myocardial infarction other sites	G382	G382.00	129574000	208365015
212091000006110	Postoperative transmural myocardial infarction unspec site	G383	G383.00	129574000	208365015
219531000000117	MI - acute myocardial infarction	G30-5	G30..15	57054005	94884017
256452010	ECG: myocardial infarction	323	323..00	164865005	256452010
256454011	ECG: old myocardial infarction	3232	3232.00	164867002	256454011
256460011	ECG: myocardial infarct NOS	323Z	323Z.00	164865005	256452010
2619484018	MI - Myocardial infarction aborted	G3110-1	G311011	194821006	2619484018
2729631000000115	Acute nontransmural myocardial infarction	^ESCT1171766		1089451000000100	2729631000000115
2729671000000118	Acute transmural myocardial infarction	^ESCT1171768		1089471000000109	2729671000000118
2855301000006112	Myocardial infarction	^ESCTMY285530		22298006	37436014
2855341000006114	MI - Myocardial infarction	^ESCTMI285534		22298006	1784872019
2855351000006111	Myocardial infarct	^ESCTMY285535		22298006	1784873012
299707016	Acute anterior myocardial infarction	G301	G301.00	54329005	1231324017
299708014	Acute anteroapical infarction	G3010	G301000	52035003	3038718019
299709018	Anterior myocardial infarction NOS	G301z	G301z00	54329005	1231324017
