medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	cerebro	stroke	tia	stroke_tia	class	subclass
100691000006118	Cerebral venous thrombosis of cavernous sinus	F0510	F051000	89980009	1235519010	1				cerebrovascular disease	
100721000006111	Cerebral venous sinus thrombosis	F051	F051.00	192759008	296937016	1				cerebrovascular disease	
101523017	Aneurysm of external carotid artery	G72y1	G72y100	61091005	101523017	1				cerebrovascular disease	
104563015	cerebrovascular disease	G6	G6...00	62914000	104563015	1				cerebrovascular disease	
106394016	Vertebrobasilar insufficiency	G656	G656.00	64009001	106394016	1	1		1	stroke	ischaemic stroke
107332010	Carotid artery stenosis	G634	G634.00	64586002	107332010	1				cerebrovascular disease	
1130181000000113	small vessel cerebrovascular disease	G679	G679.00	443929000	2842187014	1				cerebrovascular disease	
11903571000006110	stroke due to intracerebral haemorrhage	^ESCT1190357		274100004	.	1	1		1	stroke	haemorrhagic stroke
11919571000006110	[x]other intracerebral haemorrhage	^ESCT1191957		274100004	.	1	1		1	stroke	haemorrhagic stroke
11920121000006117	Transient cerebral ischemia	^ESCT1192012		266257000	395785017	1		1	1	tia	ischaemic stroke
11929301000006118	transient ischaemic attack clinical management plan	^ESCT1192930		704127004	.	1		1	1	tia	ischaemic stroke
12223101000006118	intracerebral haemorrhage	^ESCT1222310		274100004	3673215016	1	1		1	stroke	haemorrhagic stroke
12223111000006115	Intracerebral hemorrhage	^ESCT1222311		274100004	3673216015	1	1		1	stroke	haemorrhagic stroke
12223121000006111	ich - intracerebral haemorrhage	^ESCT1222312		274100004	3673217012	1	1		1	stroke	haemorrhagic stroke
1222398015	cerebral arterial occlusion	G64	G64..00	20059004	1222398015	1				cerebrovascular disease	
122361000006113	stroke due to cerebral arterial occlusion	G64-3	G64..13	230691006	345638019	1	1		1	stroke	ischaemic stroke
122401000006115	stroke unspecified	G66-2	G66..12	230690007	345637012	1	1		1	stroke	ischaemic stroke
1229954013	Cerebral aneurysm, nonruptured	G673	G673.00	42994005	1229954013	1				cerebrovascular disease	
123441000006112	Subarachnoid haemorrh from intracranial artery, unspecif	G60X	G60X.00	21454007	481028017	1	1		1	stroke	haemorrhagic stroke
123481000006118	Subarachnoid haemorrhage from anterior communicating artery	G603	G603.00	21454007	36011016	1	1		1	stroke	haemorrhagic stroke
123491000006115	Subarachnoid haemorrhage from basilar artery	G605	G605.00	276284000	412361011	1	1		1	stroke	haemorrhagic stroke
123511000006114	subarachnoid haemorrhage from middle cerebral artery	G602	G602.00	21454007	36011016	1	1		1	stroke	haemorrhagic stroke
1235117015	Percutaneous transluminal angioplasty of vertebral artery	7A282	7A28200	86274005	1235117015	1	1		1	stroke	ischaemic stroke
123521000006118	Subarachnoid haemorrhage from posterior communicating artery	G604	G604.00	21454007	36011016	1	1		1	stroke	haemorrhagic stroke
126301000006113	Stenosis of precerebral artery	G63-2	G63..12	1055001	2858018	1				cerebrovascular disease	
126531000006111	Stenosis, carotid artery	G631-1	G631.11	64586002	107332010	1				cerebrovascular disease	
12722481000006116	right sided intracerebral haemorrhage, unspecified	^ESCT1272248		308128006	.	1	1		1	stroke	haemorrhagic stroke
12727431000006119	cerebral infarction nos	^ESCT1272743		682621000000105	.	1	1		1	stroke	ischaemic stroke
12727691000006117	stroke and cerebrovascular accident unspecified	^ESCT1272769		685631000000102	.	1	1		1	stroke	ischaemic stroke
12729181000006117	intracranial haemorrhage nos	^ESCT1272918		700251000000105	.	1	1		1	stroke	haemorrhagic stroke
12733211000006119	precerebral artery occlusion nos	^ESCT1273321		584161000000109	.	1				cerebrovascular disease	
12757911000006115	cerebral haemorrhage following injury	^ESCT1275791		82894007	.	1	1		1	stroke	haemorrhagic stroke
12757931000006114	traumatic cerebral haemorrhage	^ESCT1275793		82894007	.	1	1		1	stroke	haemorrhagic stroke
12761901000006117	Subarachnoid hemorrhage	^ESCT1276190		21454007	36011016	1	1		1	stroke	haemorrhagic stroke
130375018	lateral medullary syndrome	G64z1-1	G64z111	78569004	130375018	1	1		1	stroke	ischaemic stroke
13630281000006117	Aneurysm of internal carotid bifurcation	^ESCT1363028		783415001	3758850018	1				cerebrovascular disease	
13661661000006114	Stenosis of both carotid arteries	^ESCT1366166		787044009	3773599014	1				cerebrovascular disease	
13661671000006119	Stenosis of bilateral carotid arteries	^ESCT1366167		787044009	3773600012	1				cerebrovascular disease	
13717171000006112	Cerebrovascular accident due to stenosis of bilateral carotid arteries	^ESCT1371717		1.66619710001e+16	3773590013	1	1		1	stroke	ischaemic stroke
13909861000006114	Cerebral ischaemic stroke due to dissection of artery	^ESCT1390986		788880006	3787578016	1	1		1	stroke	ischaemic stroke
13909871000006119	Cerebral ischaemic stroke due to aortic arch embolism	^ESCT1390987		788881005	3786063014	1	1		1	stroke	ischaemic stroke
13909881000006116	Cerebral ischaemic stroke due to global hypoperfusion with watershed infarct	^ESCT1390988		788882003	3786067010	1	1		1	stroke	ischaemic stroke
13909891000006118	Cerebral ischaemic stroke due to hypercoagulable state	^ESCT1390989		788883008	3786069013	1	1		1	stroke	ischaemic stroke
13909901000006119	Cerebral ischaemic stroke co-occurrent with subarachnoid haemorrhage	^ESCT1390990		788884002	3786072018	1	1		1	stroke	haemorrhagic stroke
13937171000006112	Stenosis of cerebral artery	^ESCT1393717		838275008	3896342018	1				cerebrovascular disease	
14014281000006112	Cerebrovascular accident due to stenosis of bilateral vertebral arteries	^ESCT1401428		1.66619310001e+16	3780821015	1	1		1	stroke	ischaemic stroke
14095711000006110	Stenosis of right carotid artery	^ESCT1409571		285201000119100	3891564010	1				cerebrovascular disease	
14194191000006114	Acute cerebrovascular accident due to stenosis of left carotid artery	^ESCT1419419		4.65832210001e+16	3993137013	1	1		1	stroke	ischaemic stroke
14194661000006111	Acute cerebrovascular accident due to stenosis of right carotid artery	^ESCT1419466		6.93158221000e+17	3993384019	1	1		1	stroke	ischaemic stroke
14194801000006111	Acute cerebrovascular accident due to ischaemia	^ESCT1419480		7.62005171000e+17	4011866011	1	1		1	stroke	ischaemic stroke
14457851000006110	Cerebral venous sinus thrombosis in pregnancy	^ESCT1445785		1156027008	4571837015	1				cerebrovascular disease	
14457901000006117	Cerebral venous sinus thrombosis in puerperium	^ESCT1445790		1156029006	4571838013	1				cerebrovascular disease	
14501081000006115	Cerebral venous thrombosis in puerperium	^ESCT1450108		200260008	4570169015	1				cerebrovascular disease	
145925010	Amaurosis fugax	F4236	F423600	88032003	145925010	1				cerebrovascular disease	
149551000006111	sequelae of other nontraumatic intracranial haemorrhage	G682	G682.00	363302008	482447013	1	1		1	stroke	haemorrhagic stroke
149701000006118	sequelae/other + unspecified cerebrovascular diseases	G68W	G68W.00	195239002	300403014	1				cerebrovascular disease	
158118014	cerebellar infarction	G64z-2	G64z.12	95460007	158118014	1	1		1	stroke	ischaemic stroke
163261000006119	right sided intracerebral haemorrhage, unspecified	G61X1	G61X100	195168007	300277011	1	1		1	stroke	haemorrhagic stroke
1726581000006116	central post-stroke pain	EMISNQCE10		1726581000006100	1726581000006116	1	1		1	stroke	other
1729331000006116	Cerebral venous thrombosis	EMISNQCE11		1729331000006100	1729331000006116	1				cerebrovascular disease	
1746621000006118	Carotid endarterectomy	7A204-98	7A20498	1746621000006102	1746621000006118	1				cerebrovascular disease	
