medcodeid	term	originalreadcode	snomedctconceptid	eod_cat
11927561000006118	hypoglycemic coma co-occurrent and due to diabetes mellitus type ii			0
12086281000006113	diabetic maculopathy of right eye	^ESCT1208628	769244003	1
12086291000006111	maculopathy of right eye due to diabetes mellitus			1
12086301000006112	disorder of right macula co-occurrent and due to diabetes mellitus			1
12086321000006119	maculopathy of left eye due to diabetes mellitus	^ESCT1208632	769245002	1
12086331000006116	diabetic maculopathy of left eye	^ESCT1208633	769245002	1
12086341000006114	disorder of left macula co-occurrent and due to diabetes mellitus	^ESCT1208634	769245002	1
121589010	diabetes mellitus	C10	73211009	0
12166101000006119	retinopathy co-occurrent and due to diabetes mellitus			1
12166111000006116	retinopathy due to diabetes mellitus	^ESCT1216611	4855003	1
12174801000006114	eye disorder due to diabetes mellitus			1
12174811000006112	disorder of eye co-occurrent and due to diabetes mellitus			1
12180761000006118	dlrpn - diabetic lumbosacral radiculoplexus neuropathy			1
12180771000006113	lumbosacral radiculoplexus neuropathy with diabetes mellitus			1
12180781000006111	lumbosacral radiculoplexus neuropathy co-occurrent and due to diabetes mellitus			1
12180791000006114	diabetic lumbosacral plexopathy	^ESCT1218079	39058009	1
12183221000006110	cataract co-occurrent and due to diabetes mellitus			1
12183231000006113	cataract due to diabetes mellitus			1
12185421000006113	polyneuropathy due to diabetes mellitus	^ESCT1218542	49455004	1
12185431000006111	polyneuropathy co-occurrent and due to diabetes mellitus			1
12186011000006117	autonomic neuropathy with diabetes mellitus			1
12186021000006113	autonomic neuropathy co-occurrent and due to diabetes mellitus			1
12189881000006112	proliferative retinopathy with diabetes mellitus			1
12189891000006110	pdr - proliferative diabetic retinopathy	^ESCT1218989	59276001	1
12189901000006114	proliferative retinopathy co-occurrent and due to diabetes mellitus			1
12218501000006114	disorder of kidney co-occurrent and due to diabetes mellitus			1
12218511000006112	kidney disorder due to diabetes mellitus			1
12220641000006117	mononeuritis multiplex co-occurrent and due to diabetes mellitus			1
12220651000006115	mononeuritis multiplex with diabetes mellitus			1
12220661000006118	asymptomatic neuropathy co-occurrent and due to diabetes mellitus			1
12220671000006113	asymptomatic neuropathy with diabetes mellitus			1
12220681000006111	preproliferative retinopathy co-occurrent and due to diabetes mellitus	^ESCT1222068	193349004	1
12220691000006114	advanced maculopathy co-occurrent and due to diabetes mellitus			1
12220701000006114	advanced maculopathy with diabetes mellitus			1
12220711000006112	iritis co-occurrent and due to diabetes mellitus			1
12220721000006116	iritis due to diabetes mellitus			1
12221111000006119	neuropathy co-occurrent and due to diabetes mellitus			1
12221151000006118	mononeuropathy co-occurrent and due to diabetes mellitus			1
