medcodeid	term	originalreadcode	readcode	snomedctconceptid	fh_stroke	fh_cad	fh_dm	fh_cmp	fh_htn	fh_pvd	fh_dyslipidaemia	fh_famil_hyperchol	fh_cvd	fh_hcm	fh_thrombosis	fh_tia	fh_af	fh_arrhythmia	fh_hf	fh_any_cvd	class
1227607019	[V]Family history of cerebrovascular accident (CVA)	ZV171-1	ZV17111	275104002	1															1	stroke
460375010	[V]Family history of diabetes mellitus	ZV198	ZV19800	160303001			1													1	dm
1227610014	[V]Family history of diabetes mellitus (DM)	ZV180-1	ZV18011	160303001			1													1	dm
460366013	[V]Family history of other cardiovascular disease	ZV174	ZV17400	266894000									1							1	cvd
7177271000006110	Family history of atrial fibrillation	^ESCTFA717727		433276002													1	1		1	af
7506481000006113	Family history of cardiac arrhythmia	^ESCTFA750648		698248002									1					1		1	arrhythmia
14075121000006112	Family history of cardiac disorder	^ESCT1407512		275120007									1							1	cvd
5495391000006118	Family history of cardiovascular disease	^ESCTFA549539		266894000									1							1	cvd
1676941000006112	Family history of cardiovascular disease in first degree female relative less than 65 years of age	12CW	12CW.00	438825005									1							1	cvd
1676931000006119	Family history of cardiovascular disease in first degree male relative less than 55 years of age	12CV	12CV.00	439724007									1							1	cvd
406159015	Family history of cerebrovascular accident	12C4	12C4.00	275104002	1															1	stroke
5495801000006118	Family history of congenital anomaly of cardiovascular system	^ESCTFA549580		266908007									1							1	cvd
7114331000006115	Family history of coronary artery disease	^ESCTFA711433		430091005		1														1	cad
8063261000006119	Family history of coronary heart disease	^ESCTFA806326		203261000000108		1														1	cad
5569331000006114	Family history of CVA	^ESCTFA556933		275104002	1															1	stroke
298761000000113	Family history of deep vein thrombosis	12CQ	12CQ.00	198301000000109						1										1	pvd
987341000006117	Family history of deep vein thrombosis	EMISNQFA5		987341000006101						1										1	pvd
13788911000006117	Family history of diabetes mellitus	^ESCT1378891		160303001			1													1	dm
13831691000006117	Family history of diabetes mellitus in first degree relative	^ESCT1383169		416855002			1													1	dm
2773644011	Family history of diabetes mellitus type 1	12520	1252000	430678008			1													1	dm
2773645012	Family history of diabetes mellitus type 2	12521	1252100	430679000			1													1	dm
1751441000006116	Family history of diabetes mellitus type II	12521-1	1252111	430679000			1													1	dm
12107601000006114	family history of double heterozygous familial hypercholesterolaemia	^ESCT1210760		109271000119105								1								1	familial hypercholesterolaemia
12107611000006112	Family history of double heterozygous familial hypercholesterolemia	^ESCT1210761		109271000119105								1								1	familial hypercholesterolaemia
249817018	Family history of familial hypercholesterolaemia	1269	1269.00	443454007								1								1	familial hypercholesterolaemia
12107631000006118	family history of familial hypercholesterolaemia co-occurrent and due to combined heterozygous low density lipoprotein receptor and low density lipoprotein receptor adaptor protein 1 mutations	^ESCT1210763		109271000119105								1								1	familial hypercholesterolaemia
7112081000006113	Family history of heart failure	^ESCTFA711208		429959009									1						1	1	hf
8058281000006111	Family history of HOCM (hypertrophic obstructive cardiomyopathy)	^ESCTFA805828		198381000000104				1						1						1	hcm
8023241000006111	family history of hyperbetalipoproteinaemia	^ESCTFA802324		74131000119101							1									1	dyslipidaemia
6901681000006111	family history of hypercholesterolaemia in first degree relative	^ESCTFA690168		417072001								1								1	familial hypercholesterolaemia
7865461000006112	Family history of hyperlipidaemia	^ESCTFA786546		725117008							1									1	dyslipidaemia
7865471000006117	Family history of hyperlipidemia	^ESCTFA786547		725117008							1									1	dyslipidaemia
4530231000006110	Family history of hypertension	^ESCTFA453023		160357008					1											1	htn
5578891000006118	Family history of hypertriglyceridaemia	^ESCTFA557889		275939003							1									1	dyslipidaemia
404428013	Family history of ischaemic heart disease	ZV173	ZV17300	297242006		1														1	cad
12761791000006110	Family history of ischemic heart disease	^ESCT1276179		297242006		1														1	cad
