medcodeid	desc	originalreadcode	snomedctconceptid	hist_ami	hist_af	hist_stroke	hist_pvd	hist_hf	hist_vhd	hist_dm	hist_cvd_any	class
11911691000006114	[v]personal history of cerebrovascular accident (cva)	^ESCT1191169	428011000000100			1					1	cva
1227364015	History of coronary artery bypass grafting	ZV45K-1	399261000	1							1	cad
1227369013	[V] Personal history DVT (deep vein thrombosis)	ZV128-1	161508001				1				1	pvd
1227591017	[v]personal history of stroke	ZV125-1	275526006			1					1	stroke
1227592012	[V]Personal history of cerebrovascular accident (CVA)	ZV125-2	266995000			1					1	stroke
13718601000006110	History of embolic cerebrovascular accident	^ESCT1371860	1.68968510001e+16			1					1	stroke
13718611000006113	History of embolic stroke	^ESCT1371861	1.68968510001e+16			1					1	stroke
13718621000006117	History of cerebrovascular accident due to ischaemia	^ESCT1371862	1.68968910001e+16			1					1	stroke
13718641000006112	History of ischaemic stroke	^ESCT1371864	1.68968910001e+16			1					1	stroke
14068071000006114	History of transient ischaemic attack	^ESCT1406807	161511000			1					1	tia
14194821000006118	History of myocardial infarction due to demand ischaemia	^ESCT1419482	7.76219771000e+17	1							1	mi
14194831000006115	History of type 2 myocardial infarction	^ESCT1419483	7.76219771000e+17	1							1	mi
14308971000006110	History of secondary hypercholesterolaemia	^ESCT1430897	1363961000000109								1	dyslipidaemia
14308991000006111	History of secondary hyperlipidaemia	^ESCT1430899	1363981000000100								1	dyslipidaemia
1539331000006118	H/O: coronary heart disease	EMISNOQFH3	1539331000006102								1	cad
1667741000000110	[v]personal history of transient ischaemic attack	ZV12D	751371000000107			1					1	tia
1738171000006114	History of myocardial infarction	14AT	399211009			1					1	tia
1859511000006118	Wells PE score - history of DVT or PE	EMISNQWE26	1859511000006102				1				1	pvd
1957911000006111	H/O: hypoglycaemic event in diabetes	EMISNQHO137	1957911000006107							1	1	dm
2163221012	History of syncope	1B66	674191000119109								1	cvd
2173281000000112	H/O acute coronary syndrome	14AW	837091000000100	1							1	mi
217601000000119	H/O: thromboembolism		266996004				1				1	pvd
2232441000000113	H/O: arterial lower limb ulcer		863401000000101				1				1	pvd
230021000006115	Personal history of myocardial infarction	G32-2	399211009	1							1	mi
2476091017	h/o: stroke	14A7-2	275526006			1					1	stroke
251591016	H/O: diabetes mellitus	1434	161445009							1	1	dm
251674014	H/O: hypertension	14A2	161501007								1	htn
251679016	H/O: angina pectoris	14A5	161504004								1	cad
251680018	H/O: heart failure	14A6	161505003					1			1	hf
251689017	H/O: Deep Vein Thrombosis	14A81	161508001				1				1	pvd
251690014	H/O: varicose veins		161509009				1				1	pvd
251691013	H/O: heart disease NOS	14AA	275544003								1	cvd
251692018	h/o: tia	14AB	161511000			1					1	tia
