medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	subtype	dvt	pe	art_pvd	ven_pvd	pvd
100541000006114	Thrombophlebitis of breast	G80y9	G80y900	69954004	116179016	vte				1	1
100611000006111	Superficial thrombophlebitis of long saphenous vein	G8003	G800300	195396009	300654016	vte				1	1
100641000006110	Superficial thrombophlebitis of short saphenous vein	G8004	G800400	195397000	300655015	vte				1	1
100681000006116	Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction	G366	G366.00	194868001	299824016	other					1
105536013	Intermittent claudication	G73z0	G73z000	63491006	105536013	pad			1		1
111949011	Aortic aneurysm	G71	G71..00	67362008	111949011	pad			1		1
1142481000000115	Healed lower limb ulcer	2G4E	2G4E.00	844271000000100	2190351000000113	other					1
115961000006114	Superficial thrombophlebitis in pregnancy and the puerperium - delivered with postnatal complication	L4122	L412200	267283002	398447015	vte				1	1
115971000006119	Superficial thrombophlebitis in pregnancy and the puerperium with antenatal complication	L4123	L412300	200226001	307734011	vte				1	1
115981000006116	Superficial thrombophlebitis in pregnancy and the puerperium with postnatal complication	L4124	L412400	200227005	307735012	vte				1	1
116001000006117	Superficial thrombophlebitis in pregnancy and puerperium NOS	L412z	L412z00	200222004	307727014	vte				1	1
116021000006110	Superficial thrombophlebitis in pregnancy and the puerperium - delivered	L4121	L412100	200224003	307729012	vte				1	1
116031000006113	Superficial thrombophlebitis in pregnancy/puerperium unsp	L4120	L412000	200222004	307727014	vte				1	1
116051000006118	Thrombophlebitis of superficial veins of lower extremity	G800	G800.00	40283005	63670011	vte				1	1
12009341000006119	Percutaneous transluminal angioplasty of coronary artery using drug eluting balloon catheter	^ESCT1200934		763725002	3643524015	pad			1		1
12122231000006112	Bilateral lower limb atherosclerosis pain at rest co-occurrent and due to atherosclerosis	^ESCT1212223		12236991000119103	3644932011	pad			1		1
12125761000006117	Bilateral atherosclerosis of lower limbs with gangrene	^ESCT1212576		15649941000119102	3646086019	pad			1		1
12125891000006119	Ischaemia of right upper limb	^ESCT1212589		15712641000119101	3647387014	pad			1		1
12126051000006110	Stenosis of both subclavian arteries	^ESCT1212605		15967301000119102	3646888017	pad			1		1
12126451000006117	Bilateral gangrene of finger	^ESCT1212645		16007191000119100	3646092013	pad			1		1
