medcodeid	term	originalreadcode	cleansedreadcode	snomedctdescriptionid	snomedctconceptid	mv	av	tv	pv	other	multiple	vhd
112523010	Aortic valve sclerosis	G5416	G541600	112523010	67754003		1					1
119660019	Rheumatic aortic stenosis	G120	G120.00	119660019	72011007		1					1
1219795015	Closed aortic valvotomy	79171	7917100	1219795015	112814001		1					1
1222306011	Tricuspid incompetence, cause unspecified	G1404-2	G140412	178507019	111287006			1				1
1222307019	Tricuspid regurgitation, cause unspecified	G1404-3	G140413	178507019	111287006			1				1
1222308012	Tricuspid stenosis and regurgitation, cause unspecified	G1405-4	G140514	83138015	49915006			1				1
1222309016	Tricuspid stenosis and incompetence, cause unspecified	G1405-1	G140511	83138015	49915006			1				1
1222314017	Aortic insufficiency alone, cause unspecified	G5412-1	G541211	100055018	60234000		1					1
1222315016	Aortic regurgitation alone, cause unspecified	G5412-2	G541212	100055018	60234000		1					1
1222316015	Pulmonic valve regurgitation	G5432-5	G543215	178508012	91434003				1			1
1227426018	Mitral incompetence - rheumatic	G111-1	G111.11	1227426018	31085000	1						1
1232103019	Aortic valve stenosis	G5415	G541500	100633013	60573004		1					1
1232958015	Tricuspid incompetence - rheumatic	G1401-2	G140112	1232958015	67696008			1				1
1232960018	Rheumatic tricuspid insufficiency	G1401	G140100	1232960018	67696008			1				1
1234202016	Aortic incompetence - rheumatic	G121-1	G121.11	1234202016	78031003		1					1
1234383014	Mitral stenosis	G110	G110.00	1234383014	79619009	1						1
129504017	Rheumatic aortic insufficiency	G121	G121.00	129504017	78031003		1					1
13529261000006111	Transcatheter aortic valve implantation	^ESCT1352926		3727518019	773996000		1					1
13529271000006116	TAVI - transcatheter aortic valve implantation	^ESCT1352927		3727517012	773996000		1					1
13655201000006115	Mitral valve posterior leaflet prolapse	^ESCT1365520		3770092010	786040006	1						1
13662991000006118	Percutaneous pulmonary valve implantation	^ESCT1366299		3774665013	787162002				1			1
13936851000006111	Mild aortic valve stenosis	^ESCT1393685		3891762011	836480008		1					1
13936861000006113	Mild stenosis of aortic valve	^ESCT1393686		3891761016	836480008		1					1
13936871000006118	Moderate aortic valve stenosis	^ESCT1393687		3891764012	836481007		1					1
13936881000006115	Moderate stenosis of aortic valve	^ESCT1393688		3891766014	836481007		1					1
13936891000006117	Severe aortic valve stenosis	^ESCT1393689		3891768010	836482000		1					1
13936901000006118	Severe stenosis of aortic valve	^ESCT1393690		3891767017	836482000		1					1
13939391000006119	Mild mitral valve stenosis	^ESCT1393939		3896963014	838448003	1						1
13939401000006117	Moderate mitral valve stenosis	^ESCT1393940		3896965019	838449006	1						1
13939411000006119	Severe mitral valve stenosis	^ESCT1393941		3896967010	838450006	1						1
13939421000006110	Mild mitral valve regurgitation	^ESCT1393942		3896969013	838451005	1						1
13939431000006113	Moderate mitral valve regurgitation	^ESCT1393943		3896972018	838452003	1						1
13939441000006115	Severe mitral valve regurgitation	^ESCT1393944		3896973011	838453008	1						1
13939451000006118	Mild tricuspid valve regurgitation	^ESCT1393945		3896975016	838454002			1				1
13939461000006116	Moderate tricuspid valve regurgitation	^ESCT1393946		3896977012	838455001			1				1
13939471000006111	Severe tricuspid valve regurgitation	^ESCT1393947		3896979010	838456000			1				1
13940501000006111	Severe tricuspid valve stenosis	^ESCT1394050		3897276018	838537007			1				1
13940511000006114	Mild pulmonary valve stenosis	^ESCT1394051		3897278017	838538002				1			1
13940521000006118	Moderate pulmonary valve stenosis	^ESCT1394052		3897279013	838539005				1			1
13940531000006115	Severe pulmonary valve stenosis	^ESCT1394053		3897283013	838540007				1			1
13940541000006113	Mild pulmonary valve regurgitation	^ESCT1394054		3897287014	838541006				1			1
13940551000006110	Moderate pulmonary valve regurgitation	^ESCT1394055		3897290015	838542004				1			1
13940561000006112	Severe pulmonary valve regurgitation	^ESCT1394056		3897293018	838543009				1			1
13940571000006117	Mild aortic valve regurgitation	^ESCT1394057		3897295013	838544003		1					1
13940581000006119	Moderate aortic valve regurgitation	^ESCT1394058		3897297017	838545002		1					1
13940591000006116	Severe aortic valve regurgitation	^ESCT1394059		3897299019	838546001		1					1
13948561000006114	Aortic valve bioprosthesis	^ESCT1394856		3943032017	860577005		1					1
14091521000006113	Aortic bi-cusp mechanical valve prosthesis	^ESCT1409152		3977693019	736892002		1					1
14168581000006112	Mitral regurgitation due to acquired abnormality of mitral subvalvular apparatus	^ESCT1416858		4361463014	1119300000	1						1
143386015	Rheumatic mitral stenosis	G110-1	G110.11	143386015	86466006	1						1
14428131000006112	Mitral valve regurgitation due to acute myocardial infarction	^ESCT1442813		4537390011	1142308000	1						1
14456201000006114	Repair of aortic valve	^ESCT1445620		4570617014	1155885007		1					1
14502061000006115	Aortic valvuloplasty	^ESCT1450206		4570616017	232834008		1					1
14504241000006118	Chronic rheumatic mitral valvulitis	^ESCT1450424		4544428019	286947004	1						1
145956019	PVR - Pulmonary valve replacement	7913-2	7913.12	1235296017	88045004				1			1
14639251000006116	Tricuspid valvuloplasty	^ESCT1463925		4644118016	265474008			1				1
1478969019	Mitral valvuloplasty	7910-1	7910.11	1478969019	384642005	1						1
14864621000006110	TAVR - transcatheter aortic valve replacement	^ESCT1486462		5034390017	773996000		1					1
1547091000006111	Percutaneous transluminal pulmonary valvotomy and valvuloplasty	79195	7919500	758711000000114	384441000000101				1			1
159271000006119	Ruptured mitral valve cusp	G114	G114.00	374137013	251003004	1						1
168601000006114	Rheumatic tricuspid stenosis	G1400	G140000	146419014	88318005			1				1
1716111000006113	Transapical implantation of aortic valve	79115	7911500	2842340013	443887000		1					1
1716711000006112	Transluminal implantation of aortic valve	79116	7911600	2840822014	443916000		1					1
188662011	Aortic valvuloplasty	7911-1	7911.11	188662011	112816004		1					1
193911000006111	Pulmonic valve stenosis	G5433	G543300	94441012	56786000				1			1
193971000006119	Pulmonary valve anomalies	P60	P60..00	313345015	204339005				1			1
193991000006118	Pulmonary valve disease	G543	G543.00	1233968015	76267008				1			1
194021000006117	Pulmonary valvuloplasty	7913-1	7913.11	1480881010	386749005				1			1
204071000006116	Mechanical prosthetic aortic valve replacement	79112	7911200	270947017	174929002		1					1
204181000006117	Mechanical prosthetic mitral valve replacement	79102	7910200	2768408010	431339008	1						1
204211000006118	Prosthetic replacement of pulmonary valve	79132	7913200	270978018	174946004				1			1
204241000006119	Prosthetic replacement of tricuspid valve	79122	7912200	270962015	174937005			1				1
20721017	Rheumatic aortic valve disease	G12	G12..00	20721017	12023003		1					1
219511000000113	Mitral valve disease	G11	G11..00	444757013	11851006	1						1
2471474013	Mitral valve prolapse	G5402	G540200	2471474013	409712001	1						1
2504401000006110	Heart valve disorder	^ESCTHE250440		1701013	368009					1		1
2504421000006117	Heart valve disease	^ESCTHE250442		1706015	368009					1		1
2510851000006117	Rheumatic mitral stenosis with regurgitation	^ESCTRH251085		2376019	787001	1						1
2526691000006119	Mitral valvotomy	^ESCTMI252669		4062010	1770009	1						1
2536641017	Tricuspid valvuloplasty	7912-2	7912.12	2536641017	384643000			1				1
2602511000006114	Closed heart valvotomy of mitral valve	^ESCTCL260251		11669016	6433003	1						1
2602541000006113	CMV - Closed mitral valvotomy	^ESCTCM260254		499819017	6433003	1						1
2604851000006116	Pulmonary valve commissurotomy by transvenous balloon method	^ESCTPU260485		11888013	6567006				1			1
2628851000006115	Mitral valve prolapse syndrome	^ESCTMI262885		14335010	8074002	1						1
2628921000006115	Mitral valve prolapse, posterior leaflet	^ESCTMI262892		504504018	8074002	1						1
2639211000006112	AVD - Aortic valve disease	^ESCTAV263921		1235210010	8722008		1					1
2688731000006112	MVD - Mitral valve disease	^ESCTMV268873		444758015	11851006	1						1
2691341000006112	Rheumatic disease of aortic valve	^ESCTRH269134		20718019	12023003		1					1
270932014	Replacement of mitral valve NEC	79103	7910300	88255012	53059001	1						1
270933016	Mitral valvuloplasty NEC	79104	7910400	1478969019	384642005	1						1
270934010	Other specified plastic repair of mitral valve	7910y	7910y00	394276014	265472007	1						1
270935011	Plastic repair of mitral valve NOS	7910z	7910z00	394276014	265472007	1						1
270944012	Allograft replacement of aortic valve	79110	7911000	270944012	174927000		1					1
270949019	Replacement of aortic valve NEC	79113	7911300	43909016	26212005		1					1
270950019	Aortic valvuloplasty NEC	79114	7911400	188662011	112816004		1					1
270951015	Other specified plastic repair of aortic valve	7911y	7911y00	394277017	265473002		1					1
270952010	Plastic repair of aortic valve NOS	7911z	7911z00	394277017	265473002		1					1
270963013	Replacement of tricuspid valve	79123	7912300	42309019	25236004			1				1
270966017	Tricuspid valvuloplasty NEC	79125	7912500	1478970018	384643000			1				1
270967014	Other specified plastic repair of tricuspid valve	7912y	7912y00	394278010	265474008			1				1
270968016	Plastic repair of tricuspid valve NOS	7912z	7912z00	394278010	265474008			1				1
270980012	Replacement of pulmonary valve	79133	7913300	145956019	88045004				1			1
270981011	Pulmonary valvuloplasty NEC	79134	7913400	394279019	265475009				1			1
270982016	Other specified plastic repair of pulmonary valve	7913y	7913y00	394279019	265475009				1			1
270983014	Plastic repair of pulmonary valve NOS	7913z	7913z00	394279019	265475009				1			1
270998011	Revision of plastic repair of mitral valve	79150	7915000	270998011	174960002	1						1
270999015	Revision of plastic repair of aortic valve	79151	7915100	270999015	174961003		1					1
271000016	Revision of plastic repair of tricuspid valve	79152	7915200	271000016	174962005			1				1
271001017	Revision of plastic repair of pulmonary valve	79153	7915300	271001017	174963000				1			1
271010013	Open mitral valvotomy	79160	7916000	271010013	174967004	1						1
271011012	Open aortic valvotomy	79161	7916100	271011012	174968009		1					1
271012017	Open tricuspid valvotomy	79162	7916200	271012017	174969001			1				1
271015015	Open pulmonary valvotomy	79163	7916300	271015015	174970000				1			1
271030012	Annuloplasty of mitral valve	79180	7918000	271030012	174980001	1						1
271043012	Percutaneous transluminal mitral valvotomy	79190	7919000	271043012	174987003	1						1
271044018	Percutaneous transluminal aortic valvotomy	79191	7919100	271044018	174988008		1					1
271045017	Percutaneous transluminal tricuspid valvotomy	79192	7919200	271045017	174989000			1				1
271046016	Percutaneous transluminal pulmonary valvotomy	79193	7919300	271046016	174990009				1			1
271057014	Repair of subaortic stenosis	791A2	791A200	271057014	174997007		1					1
2743131000000114	Sutureless aortic valve replacement	^ESCT1172383		2743131000000114	1095181000000101		1					1
2771491000006111	Mitral valve prosthesis	^ESCTMI277149		28934011	17107009	1						1
2771501000006115	Prosthetic mitral valve	^ESCTPR277150		1221471015	17107009	1						1
2814831000006118	Nodular calcific aortic valve stenosis	^ESCTNO281483		33395014	19833008		1					1
287258010	Syphilitic endocarditis of mitral valve	A9321	A932100	287258010	186875004	1						1
287260012	Syphilitic endocarditis of tricuspid valve	A9323	A932300	287260012	186877007			1				1
287261011	Syphilitic endocarditis of pulmonary valve	A9324	A932400	287261011	186878002				1			1
2903301000006111	TVR - Tricuspid valve replacement	^ESCTTV290330		1224851015	25236004			1				1
2919571000006112	AVR - Aortic valve replacement	^ESCTAV291957		1224989012	26212005		1					1
297491000006116	Nonrheumatic tricuspid valve disorder, unspecified	G542X	G542X00	2957051016	194989009			1				1
297501000006112	Nonrheumatic tricuspid valve stenosis with insufficiency	G5422	G542200	299998013	194992008			1				1
299591014	Mitral stenosis with insufficiency	G112	G112.00	299591014	194726006	1						1
299592019	Mitral stenosis with regurgitation	G112-3	G112.13	299592019	194726006	1						1
299593012	Mitral stenosis with incompetence	G112-2	G112.12	299593012	194726006	1						1
299596016	Mitral valve disease NOS	G11z	G11z.00	444757013	11851006	1						1
299597013	Rheumatic aortic valve disease NOS	G12z	G12z.00	20718019	12023003		1					1
299602018	Diseases of mitral and aortic valves	G13	G13..00	299602018	194732001	1	1				1	1
299603011	Mitral and aortic stenosis	G130	G130.00	299603011	194733006	1	1				1	1
299604017	Mitral stenosis and aortic insufficiency	G131	G131.00	299604017	194734000	1	1				1	1
299605016	Mitral stenosis and aortic regurgitation	G131-4	G131.14	299605016	194734000	1	1				1	1
299606015	Mitral stenosis and aortic incompetence	G131-3	G131.13	299606015	194734000	1	1				1	1
299607012	Mitral incompetence and aortic stenosis	G132-2	G132.12	299607012	194735004	1	1				1	1
