medcodeid	desc	originalreadcode	snomedctconceptid	copd
7462014	Subcutaneous emphysema	SK07	3830001	1
9337016	Panlobular emphysema	H321	4981000	1
19421011	Interstitial pulmonary emphysema	H581	77690003	1
27096010	Giant bullous emphysema	H3202	16003001	1
53589018	Acute emphysematous cholecystitis	J6502	32067005	1
55602016	Compensatory emphysema	H582	33325001	1
87480013	Chronic tracheobronchitis	H31y1	52571006	1
113497011	Centrilobular emphysema	H322	68328006	1
123588010	Mucopurulent chronic bronchitis	H311	74417001	1
216596014	End stage chronic obstructive airways disease	H3A	135836000	1
285100019	Emphysematous bronchitis	H3121	185086009	1
301444018	Simple chronic bronchitis NOS	H310z	61937009	1
301448015	Mucopurulent chronic bronchitis NOS	H311z	74417001	1
301450011	Chronic asthmatic bronchitis	H3120	195949008	1
301451010	Chronic wheezy bronchitis	H3120-1	195949008	1
301453013	Acute exacerbation of chronic obstructive airways disease	H3122	195951007	1
301455018	Obstructive chronic bronchitis NOS	H312z	185086009	1
301456017	Mixed simple and mucopurulent chronic bronchitis	H313	195953005	1
301458016	Other chronic bronchitis NOS	H31yz	63480004	1
301459012	Chronic bronchitis NOS	H31z	63480004	1
301460019	Chronic bullous emphysema	H320	195957006	1
301463017	Segmental bullous emphysema	H3200	195958001	1
301464011	Zonal bullous emphysema	H3201	195959009	1
301468014	Chronic bullous emphysema NOS	H320z	195957006	1
301469018	Other emphysema	H32y	87433001	1
301470017	Acute vesicular emphysema	H32y0	195963002	1
301477019	Emphysema NOS	H32z	87433001	1
301539010	Other specified chronic obstructive airways disease	H3y	13645005	1
301572010	Chronic emphysema due to chemical fumes	H4640	196026004	1
301835010	[X]Other emphysema	Hyu30	87433001	1
301836011	[X]Other specified chronic obstructive pulmonary disease	Hyu31	13645005	1
354323012	Emphysematous pyelonephritis	K1014	236373001	1
354325017	Emphysematous pyelitis	K1015	236375008	1
396108018	Bullous emphysema with collapse	H3203	266355005	1
396109014	Atrophic (senile) emphysema	H32y1	266356006	1
396110016	Other emphysema NOS	H32yz	87433001	1
424365019	Acute infective exacerbation of chronic obstructive airways disease	ESCTAC8	285381006	1
457168017	Mild chronic obstructive pulmonary disease	H36	313296004	1
