medcodeid	desc	originalreadcode	snomedctconceptid	ctd
6839012	Polymyositis ossificans	N2314	3458000	1
25612013	Lupus erythematosus profundus	M1544	15084002	1
38247018	Linear scleroderma	M2104	22784002	1
52463013	Polymyositis	N004	31384009	1
53211014	CREST syndrome	N0011	31848007	1
55627011	Psoriatic arthropathy	M160	33339001	1
55628018	Psoriatic arthritis	M160-1	33339001	1
92208011	Systemic lupus erythematosus	N000	55464009	1
95067016	Felty's syndrome	N041	57160007	1
108529013	Polymyalgia rheumatica	N20	65323003	1
125937016	Acute polyarticular juvenile rheumatoid arthritis	N0431	75822003	1
147834015	Progressive systemic sclerosis	N0010	444133002	1
158442019	Systemic lupus erythematosus encephalitis	N0006-1	95644001	1
251794010	H/O: rheumatoid arthritis	14G1	161567008	1
297544012	Polyneuropathy in rheumatoid arthritis	F3712	193180002	1
297641010	Myopathy due to rheumatoid arthritis	F3964	193250002	1
297644019	Myopathy due to scleroderma	F3966	193252005	1
300579010	Wegener's granulomatosis	G754	195353004	1
301716018	Lung disease with systemic sclerosis	H572	196133001	1
301719013	Lung disease with polymyositis	H57y1	196136009	1
301721015	Lung disease with systemic lupus erythematosus	H57y4	196138005	1
308700012	Lupus erythematosus chronicus	M1540	200937007	1
308704015	Lupus erythematosus migrans	M1542	200939005	1
308705019	Lupus erythematosus nodularis	M1543	200940007	1
308706018	Lupus erythematosus tumidus	M1545	200941006	1
308707010	Lupus erythematosus unguium mutilans	M1546	200942004	1
308709013	Lupus erythematosus NOS	M154z	200936003	1
308730016	Psoriatic arthropathy NOS	M160z	33339001	1
308855016	Unspecified circumscribed scleroderma	M2100	201048007	1
308859010	Circumscribed scleroderma	M210	201048007	1
308871016	Circumscribed scleroderma NOS	M210z	201048007	1
309405011	Drug-induced systemic lupus erythematosus	N0002	201436003	1
309408013	Systemic lupus erythematosus NOS	N000z	55464009	1
309413012	Scleroderma	N001	89155008	1
309416016	Systemic sclerosis induced by drugs and chemicals	N0012	201443009	1
309459014	Staphylococcal arthritis and polyarthritis	N0108	201466005	1
309460016	Pneumococcal arthritis and polyarthritis	N0109	201467001	1
309787016	Rheumatoid arthritis of cervical spine	N0400	201764007	1
309789018	Rheumatoid arthritis of shoulder	N0402	201766009	1
309790010	Rheumatoid arthritis of sternoclavicular joint	N0403	201767000	1
309791014	Rheumatoid arthritis of acromioclavicular joint	N0404	201768005	1
309792019	Rheumatoid arthritis of elbow	N0405	201769002	1
309794018	Rheumatoid arthritis of wrist	N0407	201771002	1
309798015	Rheumatoid arthritis of hip	N040B	201775006	1
309800010	Rheumatoid arthritis of knee	N040D	201777003	1
309802019	Rheumatoid arthritis of ankle	N040F	201779000	1
309803012	Rheumatoid arthritis of subtalar joint	N040G	201780002	1
309804018	Rheumatoid arthritis of talonavicular joint	N040H	201781003	1
309805017	Rheumatoid arthritis of other tarsal joint	N040J	429192004	1
309816012	Flare of rheumatoid arthritis	N040T	201791009	1
309827014	Monarticular juvenile rheumatoid arthritis	N0433	201799006	1
309828016	Juvenile rheumatoid arthritis NOS	N043z	410795001	1
309833017	Juvenile arthritis in Crohn's disease	N0453	201805000	1
309836013	Juvenile arthritis in ulcerative colitis	N0454	201807008	1
309841017	Other specified inflammatory polyarthropathy	N04y	3723001	1
309849015	Other specified inflammatory polyarthropathy NOS	N04yz	417373000	1
309850015	Inflammatory polyarthropathy NOS	N04z	417373000	1
310156013	Unspecified polyarthropathy of other specified site	N0658	399269003	1
311496011	Fibrosing alveolitis associated with rheumatoid arthritis	N04y0-2	10713006	1
312520011	[X]Other specified rheumatoid arthritis	Nyu12	69896004	1
312523013	[X]Other juvenile arthritis	Nyu15	239796000	1
312579010	[X]Other forms of systemic lupus erythematosus	Nyu43	55464009	1
312580013	[X]Other dermatomyositis	Nyu44	396230008	1
312581012	[X]Other forms of systemic sclerosis	Nyu45	89155008	1
312591018	[X]Dermatopolymyositis, unspecified	Nyu4E	396230008	1
316770014	Scleroderma in newborn	Q4711	206541009	1
352258013	Orofacial granulomatosis	J08zB	235048000	1
354512012	Renal involvement in scleroderma	K0J0	236502006	1
354513019	Acute scleroderma renal crisis	K0H	236503001	1
359292012	Seronegative rheumatoid arthritis	N040P	239792003	1
359310019	Juvenile arthritis in psoriasis	N0452	239803008	1
359321011	Distal interphalangeal psoriatic arthropathy	M1601	239812005	1
359459016	Dermatopolymyositis in neoplastic disease	N0031	239901009	1
359513016	Giant cell arteritis with polymyalgia rheumatica	N200	239938009	1
378099017	Endemic polyarthritis	N060-1	270505009	1
400192018	Unspecified polyarthropathy or polyarthritis NOS	N065z	36186002	1
405142017	Unspecified polyarthropathy or polyarthritis	N065	36186002	1
426510015	Rheumatoid arthritis - multiple joint	N040S	287006005	1
453243010	Systemic lupus erythematosus with pericarditis	N0004	309762007	1
502690012	Pauciarticular onset juvenile chronic arthritis	N0456	74391003	1
1778239014	Rheumatoid lung disease	N0421	398726004	1
1784692011	Juvenile dermatomyositis	N0030	1212005	1
1785104011	Acrosclerosis	N001-1	298285004	1
1786505011	Caplan's syndrome	N04y0-1	398640008	1
1786545019	Rheumatoid lung	N04y0	398726004	1
2472449013	Juvenile seronegative polyarthritis	N0451	410797009	1
2955624019	Granulomatosis with polyangiitis	G754-1	195353004	1
114251000006118	Systemic lupus erythematosus with organ/system involvement	N0003	239887007	1
162051000006115	Rheumatoid arthritis of distal radio-ulnar joint	N0406	201770001	1
162191000006110	Rheumatoid arthritis of tibio-fibular joint	N040E	201778008	1
162301000006117	Rheumatoid lung	H570	398726004	1
177301000006114	Renal tubulo-interstitial disorder in systemic lupus erythematosus	K0B40	307755009	1
187391000000116	Pm-1 - Polymyositis-scleroderma antibody level	43aA	1016731000000106	1
215551000000114	Sero negative polyarthritis	N04y1-1	399112009	1
221661000006114	Inflammatory polyarthritis	N065z-1	417373000	1
363811000006111	Infective polyarthritis	Nyu01	61126009	1
424981000006114	[X]Rheumatoid arthritis+involvement/other organs or systems	Nyu10	239793008	1
463301000006112	Adult-onset Still's disease	N04y2	239920006	1
