medcodeid	desc	originalreadcode	snomedctconceptid	dementia
21256010	Presenile dementia	E001	12348006	1
22408016	Pick's disease	F111	13092008	1
26545010	Senile dementia	E00-1	15662003	1
45046017	Alzheimer's disease	F110	26929004	1
251625013	H/O: dementia	1461	161465002	1
294635013	Uncomplicated senile dementia	E000	191449005	1
294637017	Uncomplicated presenile dementia	E0010	191451009	1
294638010	Presenile dementia with delirium	E0011	191452002	1
294641018	Presenile dementia with paranoia	E0012	191454001	1
294642013	Presenile dementia with depression	E0013	191455000	1
294643015	Presenile dementia NOS	E001z	12348006	1
294644014	Senile dementia with depressive or paranoid features	E002	191457008	1
294645010	Senile dementia with paranoia	E0020	191458003	1
294646011	Senile dementia with depression	E0021	191459006	1
294647019	Senile dementia with depressive or paranoid features NOS	E002z	191457008	1
294648012	Senile dementia with delirium	E003	191461002	1
294652012	Uncomplicated arteriosclerotic dementia	E0040	191463004	1
294653019	Arteriosclerotic dementia with delirium	E0041	191464005	1
294654013	Arteriosclerotic dementia with paranoia	E0042	191465006	1
294655014	Arteriosclerotic dementia with depression	E0043	191466007	1
294656010	Arteriosclerotic dementia NOS	E004z	56267009	1
294718018	Dementia in conditions EC	E041	191519005	1
295668011	[X]Dementia in Alzheimer's disease	Eu00	26929004	1
295671015	[X]Dementia in Alzheimer's dis, atypical or mixed type	Eu002	26929004	1
295672010	[X]Dementia in Alzheimer's disease, unspecified	Eu00z	26929004	1
295680015	[X]Other vascular dementia	Eu01y	429998004	1
295681016	[X]Vascular dementia, unspecified	Eu01z	429998004	1
295684012	Dementia associated with another disease	Eu02	191519005	1
295685013	Dementia due to Pick's disease	Eu020	21921000119103	1
295686014	Dementia due to Creutzfeldt Jakob disease	Eu021	429458009	1
295687017	Dementia due to Huntington chorea	Eu022	442344002	1
295688010	Dementia in Parkinsons disease	Eu023	425390006	1
295690011	[X]Dementia in other specified diseases classif elsewhere	Eu02y	191519005	1
295713019	[X]Delirium not superimposed on dementia, so described	Eu040	2776000	1
295714013	[X]Delirium superimposed on dementia	Eu041	2776000	1
299325013	[X]Other Alzheimer's disease	Fyu30	26929004	1
346929012	Alcoholic dementia	E012-1	281004	1
401757012	Senile and presenile organic psychotic conditions	E00	268612007	1
401760017	Other alcoholic dementia	E012	281004	1
497559016	Arteriosclerotic dementia	E004	56267009	1
499946014	Alzheimer's disease with early onset	F1100	416780008	1
500317011	Alzheimer's disease with late onset	F1101	416975007	1
3635492010	Subcortical dementia	^ESCT1169441	762707000	1
3636471016	Dementia due to prion disease	^ESCT1169048	762350007	1
3636474012	Dementia due to and following injury of head	^ESCT1169049	762351006	1
148381000006115	Senile/presenile dementia	E00-2	52448006	1
299641000000112	Diffuse Lewy body disease	Eu025	80098002	1
359081000006118	[X] Presenile dementia NOS	Eu02z-1	12348006	1
359101000006114	Cerebral degeneration presenting primarily with dementia	Eu02z-3	279982005	1
359141000006111	[X] Senile dementia NOS	Eu02z-4	15662003	1
359151000006113	[X] Senile dementia, depressed or paranoid type	Eu02z-6	191457008	1
359241000006119	Dementia	Eu02z	52448006	1
362941000006113	[X]Alcoholic dementia NOS	Eu107-1	281004	1
363021000006113	[X]Alzheimer's dementia unspec	Eu00z-1	26929004	1
363031000006111	[X]Alzheimer's disease type 1	Eu001-1	416975007	1
363041000006118	[X]Alzheimer's disease type 2	Eu000-3	416780008	1
363791000006112	[X]Arteriosclerotic dementia	Eu01-1	56267009	1
376531000006119	Dementia in Alzheimer's disease with early onset	Eu000	416780008	1
376541000006112	Dementia in Alzheimer's disease with late onset	Eu001	416975007	1
376571000006116	[X]Dementia in human immunodef virus [HIV] disease	Eu024	421529006	1
376631000006115	[X]Dementia infantalis	Eu843-1	71961003	1
398571000006112	Mixed cortical and subcortical vascular dementia	Eu013	230287006	1
399031000006111	[X]Multi-infarct dementia	Eu011	56267009	1
423221000006117	[X]Predominantly cortical dementia	Eu011-1	56267009	1
423351000006115	[X]Presenile dementia,Alzheimer's type	Eu000-1	416780008	1
423381000006111	[X]Primary degen dementia of Alzheimer's type, senile onset	Eu001-3	416975007	1
423391000006114	[X]Primary degen dementia, Alzheimer's type, presenile onset	Eu000-2	416780008	1
425901000006116	[X]Senile dementia,Alzheimer's type	Eu001-2	416975007	1
428201000006119	Subcortical vascular dementia	Eu012	230286002	1
431681000006117	Vascular dementia	Eu01	429998004	1
431691000006119	Vascular dementia of acute onset	Eu010	230285003	1
612761000006118	Dementia assessment	3A-2	473203000	1
696161000006115	Multi-infarct dementia	E004-1	56267009	1
745381000006119	Lewy body disease	F116	80098002	1
882171000006115	Dementia	E00-97	268612007	1
882181000006117	Other senile/presenile dement.	E00-98	268612007	1
882191000006119	Senile and presenile dementias	E00-99	268612007	1
882201000006116	Senile dementia - simple type	E000-99	191449005	1
882211000006118	Senile dementia-acute confused	E003-99	191461002	1
905791000006115	[RFC] Alzheimer's disease	HNG0062	905791000006104	1
914921000006117	[D] Vascular dementia	EMISNQDV1	914921000006101	1
914931000006119	[D] Dementia with Lewy bodies	EMISNQDD1	914931000006103	1
914941000006112	[D] Dementia	EMISNQDD2	914941000006108	1
914951000006114	[D] Dementia in Alzheimer's disease	EMISNQDD3	914951000006105	1
939491000006118	[RFC] Dementia	HNGNQRF130	939491000006102	1
1576281000006119	Cause of Death- Alzheimer'S Disease	EGTON2EGTONAL1	1576281000006103	1
1823871000006112	Dementia confirmed	EMISNQDE35	1823871000006108	1
1916981000006111	Dementia medication review	EMISNQDE54	1916981000006107	1
1949611000006114	Dementia post diagnostic support (Scotland)	EMISNQDE66	1949611000006105	1
1949621000006118	Dementia stage at diagnosis	EMISNQDE67	1949621000006102	1
1949631000006115	Dementia stage at diagnosis - early (mild)	EMISNQDE68	1949631000006104	1
1949641000006113	Dementia stage at diagnosis - mid (moderate)	EMISNQDE69	1949641000006109	1
1949651000006110	Dementia stage at diagnosis - late (severe)	EMISNQDE70	1949651000006106	1
1949661000006112	Dementia stage at diagnosis - undetermined	EMISNQDE71	1949661000006108	1
1949671000006117	Dementia stage at diagnosis - not known	EMISNQDE72	1949671000006101	1
1949721000006114	Dementia post diagnostic support (PDS) - transition arrangements	EMISNQDE76	1949721000006105	1
1949761000006115	Dementia PDS transition - referred for community care support	EMISNQDE79	1949761000006104	1
1949771000006110	Dementia post diagnostic support (PDS)(Scot)- 5 pillar model	EMISNQDE80	1949771000006106	1
1950501000006117	Dementia PDS (Scot) - planning for future care status	EMISNQDE88	1950501000006101	1
1950551000006118	Dementia PDS planning future care - other pillar status	EMISNQDE93	1950551000006102	1
1950561000006116	Dementia PDS planning future care - pillar status not known	EMISNQDE94	1950561000006100	1
1950571000006111	Dementia PDS (Scot) - peer support status	EMISNQDE95	1950571000006107	1
1950641000006119	Dementia PDS (Scot) - supporting community connections status	EMISNQDE102	1950641000006103	1
1950651000006117	Dementia PDS (Scot) support community connections - pillar met	EMISNQDE103	1950651000006101	1
1950661000006115	Dementia PDS support community connections -pillar partially met	EMISNQDE104	1950661000006104	1
1950711000006114	Dementia PDS (Scot) - planning future decision-making status	EMISNQDE109	1950711000006105	1
1950721000006118	Dementia PDS planning future decision-making - pillar met	EMISNQDE110	1950721000006102	1
1950731000006115	Dementia PDS planning future decisn-making -pillar partially met	EMISNQDE111	1950731000006104	1
1950771000006117	Dementia PDS plan future decision-making-pillar status not known	EMISNQDE115	1950771000006101	1
1971401000006111	Dementia in Alzheimer's disease with early onset, without additional symptoms	EMISICD10|F0000	1971401000006107	1
1971541000006114	Dementia in Alzheimer's disease with early onset, other symptoms, predominantly delusional	EMISICD10|F0001	1971541000006105	1
1971661000006114	Mental & behav dis due to seds/hypntcs: resid & late-onset psychot dis, dementia	EMISICD10|F1373	1971661000006105	1
1971701000006118	Mental & behav dis due to use opioids: resid & late-onset psychot dis, dementia	EMISICD10|F1173	1971701000006102	1
1971771000006112	Dementia in Alzheimer's disease with early onset, other symptoms, predominantly hallucinatory	EMISICD10|F0002	1971771000006108	1
1972021000006119	Unspecified dementia, without additional symptoms	EMISICD10|F03X0	1972021000006103	1
1972041000006114	Unspecified dementia, other symptoms, predominantly delusional	EMISICD10|F03X1	1972041000006105	1
1972061000006113	Unspecified dementia, other symptoms, predominantly hallucinatory	EMISICD10|F03X2	1972061000006109	1
