medcodeid	originalreadcode	cleansedreadcode	term	snomedctconceptid	pud
196816014	J102	J102.00	Ulcer of oesophagus	30811009	1
201417012	J1021	J102100	Fungal ulcer of oesophagus	88700009	1
302384014	J1022	J102200	Oesophageal ulcer due to aspirin	196607008	1
302387019	J1025	J102500	Barrett's ulcer of oesophagus	196609006	1
302393010	J102z	J102z00	Ulcer of oesophagus NOS	30811009	1
498969017	J1020	J102000	Peptic ulcer of oesophagus	6129004	1
498970016	J1016	J101600	Ulcerative oesophagitis	439955006	1
267181000006111	J1023	J102300	Oesophageal ulcer due to chemicals	62465000	1
267191000006114	J1024	J102400	Drug-induced ulcer of oesophagus	64595005	1
2670061000006114	^ESCTOE267006		Oesophagogastric ulcer	10699001	1
2996671000006118	^ESCTUL299667		Ulcer of esophagus	30811009	1
2996681000006115	^ESCTOE299668		Oesophageal ulcer	30811009	1
2996691000006117	^ESCTES299669		Esophageal ulcer	30811009	1
2996701000006117	^ESCTOU299670		OU - Oesophageal ulcer	30811009	1
3438321000006112	^ESCTBL343832		Bleeding oesophageal ulcer	57748001	1
3515481000006113	^ESCTUL351548		Ulcer of oesophagus due to ingestion of chemical	62465000	1
3515511000006117	^ESCTCO351551		Corrosive ulcer of oesophagus	62465000	1
3515521000006113	^ESCTCH351552		Chemical ulcer of oesophagus	62465000	1
3550591000006113	^ESCTUL355059		Ulcer of oesophagus due to ingestion of medicines	64595005	1
4784301000006112	^ESCTBA478430		Barrett ulcer of esophagus	196609006	1
5082861000006119	^ESCTEO508286		Eosinophilic ulcer of oesophagus	235608007	1
5082901000006114	^ESCTBA508290		Bacterial ulcer of oesophagus	235610009	1
5082921000006116	^ESCTVI508292		Viral ulcer of oesophagus	235611008	1
5222591000006110	^ESCTGA522259		Gastro-oesophageal reflux disease with ulceration	245754007	1
5913131000006118	^ESCTNO591313		Non-reflux ulcer of oesophagus	302915007	1
5913151000006113	^ESCTNO591315		Non-reflux ulceration of oesophagus	302915007	1
7222981000006119	^ESCTOE722298		Oesophageal bleeding due to ulcerative oesophagitis	439442003	1
7230051000006110	^ESCTUL723005		Ulcerative esophagitis	439955006	1
7763371000006114	^ESCTUL776337		Ulcer of oesophagus due to gastro-oesophageal reflux disese, with complications	717848003	1
6875014	J1312	J131200	Chronic peptic ulcer with perforation	3483000	1
131281018	J1302	J130200	Acute peptic ulcer with perforation	79118000	1
206557013	J131	J131.00	Chronic peptic ulcer	128287004	1
302546016	J130	J130.00	Acute peptic ulcer	196682000	1
302547013	J1300	J130000	Acute peptic ulcer without mention of complication	196682000	1
302553013	J1304	J130400	Acute peptic ulcer with obstruction	196687006	1
302554019	J130y	J130y00	Acute peptic ulcer unspecified	196682000	1
302555018	J130z	J130z00	Acute peptic ulcer NOS	196682000	1
302556017	J1310	J131000	Chronic peptic ulcer without mention of complication	128287004	1
302562010	J1314	J131400	Chronic peptic ulcer with obstruction	196694009	1
302563017	J131y	J131y00	Chronic peptic ulcer unspecified	128287004	1
302564011	J131z	J131z00	Chronic peptic ulcer NOS	128287004	1
302565012	J13y	J13y.00	Unspecified peptic ulcer	13200003	1
302566013	J13y0	J13y000	Unspecified peptic ulcer without mention of complication	13200003	1
302568014	J13y1	J13y100	Unspecified peptic ulcer with haemorrhage	13200003	1
