medcodeid	readcode	term	originalreadcode	snomedctconceptid	label	class	subclass	stroke	tia	cerebro
370661000006114	Gyu6G00	[x]cereb infarct due unsp occlus/stenos precerebr arteries	Gyu6G	125081000119106	1	stroke	ischaemic stroke	1		1
370701000006118	Gyu6300	[x]cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs	Gyu63	20059004	1	stroke	ischaemic stroke	1		1
370711000006115	Gyu6.00	[x]cerebrovascular diseases	Gyu6	62914000	1	cerebrovascular disease				1
300956017	Gyu6F00	[x]intracerebral haemorrhage in hemisphere, unspecified	Gyu6F	274100004	1	stroke	haemorrhagic stroke	1		1
300941014	Gyu6400	[x]other cerebral infarction	Gyu64	432504007	1	stroke	ischaemic stroke	1		1
11919571000006110		[x]other intracerebral haemorrhage	^ESCT1191957	274100004	1	stroke	haemorrhagic stroke	1		1
300944018	Gyu6700	[x]other specified cerebrovascular diseases	Gyu67	62914000	1	cerebrovascular disease				1
300936018	Gyu6100	[X]Other subarachnoid haemorrhage	Gyu61	21454007	1	stroke	haemorrhagic stroke	1		1
426231000006114	Gyu6B00	[x]sequelae of other nontraumatic intracranial haemorrhage	Gyu6B	363302008	4	stroke	haemorrhagic stroke	1		1
426481000006114	Gyu6D00	[x]sequelae/other + unspecified cerebrovascular diseases	Gyu6D	195239002	4	cerebrovascular disease				1
300935019	Gyu6000	[x]subarachnoid haemorrhage from other intracranial arteries	Gyu60	21454007	1	stroke	haemorrhagic stroke	1		1
7254771000006114		abnormal vision as a late effect of cerebrovascular disease	^ESCTAB725477	441759008	4	cerebrovascular disease				1
5736641000006113		acute ill-defined cerebrovascular disease	^ESCTAC573664	288723005	1	cerebrovascular disease				1
7054171000006115		Acute lacunar infarction	^ESCTAC705417	426107000	1	stroke	ischaemic stroke	1		1
449935012	8Hd6.00	admission to stroke unit	8Hd6	306803007	4	stroke	other	1		1
356328018	C154211	adrenocortical haemorrhage	C1542-1	237766002	1	stroke	haemorrhagic stroke	1		1
145925010	F423600	Amaurosis fugax	F4236	88032003	1	cerebrovascular disease				1
300363010	G661.00	anterior cerebral artery syndrome	G661	195210002	1	stroke	ischaemic stroke	1		1
5011491000006115		anterior circulation transient ischaemic attack	^ESCTAN501149	230716006	1	tia	ischaemic stroke	1	1	1
7252841000006116		aphasia as late effect of cerebrovascular disease	^ESCTAP725284	441630004	4	cerebrovascular disease				1
3513770017		aphasia as sequela of non-traumatic intracerebral haemorrhage	^ESCT1170746	291721000119102	4	stroke	haemorrhagic stroke	1		1
3513783016		aphasia due to and following non-traumatic intracerebral haemorrhage	^ESCT1170747	291721000119102	4	stroke	haemorrhagic stroke	1		1
8046321000006118		apraxia as late effect of cerebrovascular disease	^ESCTAP804632	145741000119101	4	cerebrovascular disease				1
5011861000006114		asymptomatic cerebrovascular disease	^ESCTAS501186	230738008	1	cerebrovascular disease				1
8014261000006116		ataxia as sequela of cerebrovascular disease	^ESCTAT801426	29941000119105	4	cerebrovascular disease				1
300303013	G630.00	basilar artery occlusion	G630	195180004	1	cerebrovascular disease				1
3507310015		bilateral vertebral artery occlusion	^ESCT1172871	1.59786310001e+16	1	stroke	ischaemic stroke	1		1
4056931000006116		Brain stem haemorrhage	^ESCTBR405693	95454007	1	stroke	haemorrhagic stroke	1		1
524541000006117	G64z000	Brain stem infarction	G64z0	95457000	1	stroke	ischaemic stroke	1		1
4057041000006110		Brain stem stroke	^ESCTBR405704	95457000	1	stroke	haemorrhagic stroke	1		1
345650013	G64z.11	brainstem infarction nos	G64z-1	95457000	1	stroke	ischaemic stroke	1		1
