medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	observations
292201015	[X]Carcinoma in situ of other parts of respiratory system	ByuF3	ByuF300	189251006	10
292202010	[X]Carcinoma in situ of respiratory system, unspecified	ByuF4	ByuF400	189251006	10
535331000006115	Carcinoma in situ of biliary system	B808-1	B808.11	92545000	100
290867017	Carcinoma in situ of breast and genitourinary system	B83	B83..00	109355002	400
406332017	Carcinoma in situ of liver and biliary system	B808	B808.00	271525004	70
290772018	Carcinoma in situ of liver and/or biliary system	B808z	B808z00	271525004	90
536081000006111	Carcinoma in situ of other specified part respiratory system	B81y	B81y.00	189251006	10
290776015	Carcinoma in situ of respiratory system	B81	B81..00	189251006	200
536751000006117	Carcinoma in situ of specified parts respiratory system NOS	B81yz	B81yz00	189251006	2
292240013	[X]Benign neoplasm of respiratory system, unspecified	ByuGK	ByuGK00	255166003	2
366971000006118	[X]Benign neoplasm/ill-defined sites within digestive system	ByuG4	ByuG400	255167007	5
396511000006119	[X]Malignant neoplasm/ill-defined sites within resp system	Byu24	Byu2400	449096009	7
420391000006117	[X]Personal history/malignant neoplasms/other organs+systems	ZVu6H	ZVu6H00	266987004	70
6693231000006110	Anaplastic large T-cell systemic malignant lymphoma	^ESCTAN669323		404134006	30
505301000006116	Benign neoplasm of biliary system	B715-1	B715.11	91991003	7
406273018	Benign neoplasm of brain and other parts of nervous system	B7F	B7F..00	92247009	40000
290633013	Benign neoplasm of brain or other nervous system NOS	B7Fz	B7Fz.00	92048008	100
152454010	Benign neoplasm of central nervous system	B7F-1	B7F..11	92048008	70
4000161000006115	Benign neoplasm of nervous system	^ESCTBE400016		92247009	200
290630011	Benign neoplasm of other part of nervous system	B7Fy	B7Fy.00	92247009	4000
290072013	Benign neoplasm of other parts of digestive system	B71	B71..00	255167007	6000
290219018	Benign neoplasm of other parts of digestive system NOS	B71z	B71z.00	255167007	60
507881000006114	Benign neoplasm of periph nerves & autonomic nervous system	B7Fy0	B7Fy000	409660009	200
380295012	Benign neoplasm of respiratory system	B72-2	B72..12	255166003	9
13796421000006115	Benign neoplasm of respiratory system and intrathoracic organ	^ESCT1379642		269481009	7
176581000006111	Benign neoplasm of urinary system	B7D-1	B7D..11	92468007	500
5720811000006114	Carcinoma liver and/or biliary system	^ESCTCA572081		286887005	40
4128531000006117	Gleason grading system for prostatic cancer	^ESCTGL412853		106241006	6
14419741000006117	Gleason scoring system for malignant neoplasm of prostate	^ESCT1441974		897202005	3
808301000006110	History of malignant neoplasm of urinary system	1428	1428.00	415087005	2000
8025951000006116	Malignant glioma of central nervous system	^ESCTMA802595		87151000119105	30
396251000006115	Malignant neoplasm of central nervous system	ByuA	ByuA.00	372062007	500
396491000006113	Malignant neoplasm of central nervous system	ByuA1	ByuA100	372062007	200
7358491000006119	Malignant neoplasm of digestive system	^ESCTMA735849		448675008	20
289397014	Malignant neoplasm of nervous system	B52z	B52z.00	372063002	200
289396017	Malignant neoplasm of other specified part of nervous system	B52y	B52y.00	372063002	80
396131000006116	Malignant neoplasm of peripheral nerves and autonomic nervous system	Byu56	Byu5600	188321006	3
288858018	Malignant neoplasm of respiratory system	B2zz	B2zz.00	449096009	400
292111015	Malignant neoplasm of skeletal system	Byu3	Byu3.00	443679004	300
288764016	Malignant neoplasm, overlapping lesion of digestive system	B1z2	B1z2.00	187824009	20
720001000006119	Malignant neoplasm, overlapping lesion of peripheral nerves and autonomic nervous system	B5246	B524600	109919002	2
6931041000006119	Malignant tumor of urinary system	^ESCTMA693104		419052002	5
289299014	Malignant tumour of urinary system	B4Az	B4Az.00	419052002	20000
729481000006112	Malignant tumour of urinary system	B4A	B4A..00	419052002	30000
5356271000006116	Metastasis to nervous system and eye	^ESCTME535627		255123005	10
14130661000006110	Nongerminomatous germ cell tumour of central nervous system	^ESCT1413066		878808006	20
396161000006113	Overlapping malignant neoplasm of brain and other parts of the central nervous system	ByuA3	ByuA300	109911004	200
396111000006110	Overlapping malignant neoplasm of peripheral nerves and autonomic nervous system	Byu55	Byu5500	109919002	1
8046551000006119	Primary malignant astrocytoma of central nervous system	^ESCTPR804655		147101000119108	10
4025271000006115	Primary malignant neoplasm of central nervous system	^ESCTPR402527		93744007	5
4029281000006119	Primary malignant neoplasm of urinary system	^ESCTPR402928		94125001	8
7832741000006117	Primary malignant nerve sheath neoplasm of peripheral nervous system structure	^ESCTPR783274		722517009	1
380193010	Secondary carcinoma of respiratory and/or digestive systems	B57-2	B57..12	269473008	100
4031591000006116	Secondary malignant neoplasm of central nervous system	^ESCTSE403159		94243009	30
359281000006113	Secondary malignant neoplasm of nervous system	ByuC6	ByuC600	94442001	50
289550014	Secondary malignant neoplasm of other part of nervous system	B584	B584.00	94442001	100
151111000006118	Secondary malignant neoplasm of respiratory and digestive systems	B57	B57..00	269473008	1000
359271000006110	Secondary malignant neoplasm of urinary system	ByuC5	ByuC500	94663008	10
5340271000006116	TNM tumour staging system	^ESCTTN534027		254293002	8
7359031000006117	Tumour of respiratory system	^ESCTTU735903		448708002	4
272715013	Endoscopic destruction of bladder tumour by laser	7B279	7B27900	176162009	900
5082371000006116	Laser therapy of ampullary tumour	^ESCTLA508237		235591000	1
4396721000006111	Melanoma in situ by body site (clinical)	^ESCTME439672		127330008	6
4161781000006113	Melanoma in situ of skin (clinical)	^ESCTME416178		109266006	100
6331211000006118	Ductal carcinoma in situ nuclear pleomorphism, grade 1: monotonous nuclei, 1.5 - 2.0 red blood cells diameters, with finely dispersed chromatin and only occasional nucleoli	^ESCTDU633121		369781009	1
6331231000006112	Ductal carcinoma in situ nuclear pleomorphism, grade 2: neither nuclear grade 1 nor nuclear grade 3	^ESCTDU633123		369782002	2
1232066010	[M]Adenocarcinoma in situ in adenomatous polyp	BB5L2	BB5L200	60286009	100
1231004013	[M]Adenocarcinoma in situ in tubulovillous adenoma	BB511	BB51100	51617009	500
1230709016	[M]Adenocarcinoma in situ in villous adenoma	BB510	BB51000	4935000	500
306361000006113	[M]Carcinoma in situ NOS	BB11	BB11.00	109355002	1000
308101000006110	[M]Epidermoid carcinoma in situ	BB29-1	BB29.11	59529006	200
291539012	[M]Intraductal carcinoma and lobular carcinoma in situ	BB9E0	BB9E000	18680006	2000
1231967018	[M]Squamous cell carcinoma in situ NOS	BB29	BB29.00	59529006	20000
292200019	[X]Carcinoma in situ of digestive organ, unspecified	ByuF2	ByuF200	109850001	50
370111000006119	[X]Carcinoma in situ of oth+unspecified male genital organs	ByuFC	ByuFC00	92653004	20
292208014	[X]Carcinoma in situ of other parts of cervix	ByuFA	ByuFA00	92564006	300
292199017	[X]Carcinoma in situ of other specified digestive organs	ByuF1	ByuF100	109850001	40
292212015	[X]Carcinoma in situ of other specified sites	ByuFE	ByuFE00	109355002	60
370161000006116	[X]Carcinoma in situ of other+unspcfd female genital organs	ByuFB	ByuFB00	92594000	50
292206013	[X]Carcinoma in situ of skin of other sites	ByuF8	ByuF800	92749008	40
370201000006110	[X]Carcinoma in situ of skin of other+unspecified parts/face	ByuF7	ByuF700	92749008	50
292207016	[X]Carcinoma in situ of skin, unspecified	ByuF9	ByuF900	92749008	50
292197015	[X]In situ neoplasms	ByuF	ByuF.00	109355002	30
292204011	[X]Melanoma in situ of other sites	ByuF6	ByuF600	127330008	400
292213013	[X]Melanoma in situ, unspecified	ByuFF	ByuFF00	127330008	300
292214019	[X]Other carcinoma in situ of breast	ByuFG	ByuFG00	189336000	1000
304551000006111	Adenocarcinoma in situ	BB51	BB51.00	51642000	20000
304531000006116	Adenocarcinoma in situ in a polyp	BB5L1	BB5L100	189598002	900
3479091000006118	Adenocarcinoma in situ in adenomatous polyp	^ESCTAD347909		60286009	70
3479121000006119	Adenocarcinoma in situ in polypoid adenoma	^ESCTAD347912		60286009	1
3479101000006112	Adenocarcinoma in situ in tubular adenoma	^ESCTAD347910		60286009	10
3336471000006114	Adenocarcinoma in situ in tubulovillous adenoma	^ESCTAD333647		51617009	10
2578161000006117	Adenocarcinoma in situ in villous adenoma	^ESCTAD257816		4935000	7
5352351000006116	Adenocarcinoma in situ of cervix	^ESCTAD535235		254890008	8
4005711000006114	Ampullary carcinoma in situ	^ESCTAM400571		92530007	30
7296491000006116	Apocrine ductal carcinoma in situ	^ESCTAP729649		444689005	2
7771751000006110	Basal cell carcinoma in situ	^ESCTBA777175		718396005	2
881201000006113	Ca in situ bladder - papilloma	B837-99	B837.99	92546004	300
4006181000006111	Cancer in situ of cardia of stomach	^ESCTCA400618		92560002	1
4006371000006110	Cancer in situ of common bile duct	^ESCTCA400637		92570000	1
4006821000006118	Cancer in situ of gastrointestinal tract	^ESCTCA400682		92600008	1
4008071000006111	Cancer in situ of prostate	^ESCTCA400807		92691004	3
4005911000006112	Cancer in situ of urinary bladder	^ESCTCA400591		92546004	90
4008581000006116	Cancer in situ skin of neck	^ESCTCA400858		92736003	1
5347781000006111	Cancer in situ skin, squamous cell	^ESCTCA534778		254656002	3
2659784018	Carcinoma in situ	B8	B8...00	109355002	30000
3621421000006111	Carcinoma in situ	^ESCTCA362142		68956006	60
881181000006112	Carcinoma in situ breast	B830-99	B830.99	189336000	400
881191000006110	Carcinoma in situ cervix uteri	B831-99	B831.99	285636001	500
3479131000006116	Carcinoma in situ in a polyp	^ESCTCA347913		60286009	5
3479111000006110	Carcinoma in situ in adenomatous polyp	^ESCTCA347911		60286009	1
290901019	Carcinoma in situ NOS	B8z	B8z..00	109355002	3000
153085017	Carcinoma in situ of adrenal gland	B8yy1	B8yy100	92527000	200
153088015	Carcinoma in situ of ampulla of Vater	B8086	B808600	92530007	800
153089011	Carcinoma in situ of anal canal	B805	B805.00	92531006	1000
5344761000006112	Carcinoma in situ of anterior pillar of fauces	^ESCTCA534476		254460009	1
290753018	Carcinoma in situ of anus	B806	B806.00	92537005	1000
153099018	Carcinoma in situ of appendix	B8035	B803500	92539008	600
290783010	Carcinoma in situ of aryepiglottic fold	B8106	B810600	189258000	40
290780013	Carcinoma in situ of arytenoid cartilage	B8103	B810300	189255002	8
153102018	Carcinoma in situ of ascending colon	B8036	B803600	92542002	2000
4005871000006114	Carcinoma in situ of base of tongue	^ESCTCA400587		92544001	2
153107012	Carcinoma in situ of bladder	B837	B837.00	92546004	40000
153111018	Carcinoma in situ of body of stomach	B8022	B802200	92549006	100
153112013	Carcinoma in situ of body of uterus	B832-1	B832.11	92550006	500
290868010	Carcinoma in situ of breast	B830	B830.00	189336000	100000
4006071000006112	Carcinoma in situ of bronchus	^ESCTCA400607		92557009	4
290788018	Carcinoma in situ of bronchus and lung	B812	B812.00	189262006	20000
290794014	Carcinoma in situ of bronchus or lung NOS	B812z	B812z00	189262006	4000
4006091000006113	Carcinoma in situ of buccal mucosa	^ESCTCA400609		92558004	40
201638010	Carcinoma in situ of caecum	B8034	B803400	92559007	3000
153124018	Carcinoma in situ of cardia of stomach	B8020	B802000	92560002	300
290789014	Carcinoma in situ of carina of bronchus	B8120	B812000	189263001	400
4006251000006111	Carcinoma in situ of cervix uteri	^ESCTCA400625		92564006	2
510029018	Carcinoma in situ of cheek	B8005	B800500	92558004	200
153133016	Carcinoma in situ of colon	B803	B803.00	92568009	8000
290750015	Carcinoma in situ of colon NOS	B803z	B803z00	92568009	1000
153136012	Carcinoma in situ of common bile duct	B8085	B808500	92570000	100
290781012	Carcinoma in situ of corniculate cartilage	B8104	B810400	189256001	1
290778019	Carcinoma in situ of cricoid cartilage	B8101	B810100	189253009	50
290782017	Carcinoma in situ of cuneiform cartilage	B8105	B810500	189257005	2
153140015	Carcinoma in situ of cystic duct	B8084	B808400	92574009	100
153141016	Carcinoma in situ of descending colon	B8032	B803200	92575005	400
535541000006116	Carcinoma in situ of digestive organ	B80	B80..00	109850001	100
290775016	Carcinoma in situ of digestive organs NOS	B80zz	B80zz00	109850001	10
153143018	Carcinoma in situ of duodenum	B8070	B807000	92577002	500
380242014	Carcinoma in situ of ear	B822-1	B822.11	255144005	400
5356481000006119	Carcinoma in situ of ear, nose and throat	^ESCTCA535648		255138006	3
153146014	Carcinoma in situ of endocervix	B8310	B831000	92580001	600
153149019	Carcinoma in situ of endometrium	B8320	B832000	92582009	10000
153150019	Carcinoma in situ of epididymis	B8361	B836100	92583004	9
153151015	Carcinoma in situ of epiglottis	B8102	B810200	92584005	500
153155012	Carcinoma in situ of ethmoidal sinus	B81y7	B81y700	92586007	200
153156013	Carcinoma in situ of eustachian tube	B81y4	B81y400	92587003	5
153157016	Carcinoma in situ of exocervix	B8311	B831100	92588008	100
153160011	Carcinoma in situ of eye	B8y0	B8y0.00	92590009	200
153162015	Carcinoma in situ of fallopian tube	B8331	B833100	92591008	1000
4006721000006113	Carcinoma in situ of female genital organ	^ESCTCA400672		92594000	9
290889018	Carcinoma in situ of female genital organs NOS	B833z	B833z00	92594000	50
153169012	Carcinoma in situ of floor of mouth	B8004	B800400	92595004	900
153173010	Carcinoma in situ of frontal sinus	B81y8	B81y800	92597007	20
153174016	Carcinoma in situ of fundus of stomach	B8021	B802100	92598002	80
535711000006110	Carcinoma in situ of gallbladder	B8083	B808300	92599005	800
531861000006117	Carcinoma in situ of gastrointestinal tract	B80-1	B80..11	92600008	100
153180012	Carcinoma in situ of glottis	B8108-1	B810811	92603005	700
4006891000006116	Carcinoma in situ of gum	^ESCTCA400689		92605003	1
535731000006116	Carcinoma in situ of gums	B8003	B800300	92605003	10
290768017	Carcinoma in situ of hepatic duct	B8082	B808200	189243008	50
153187010	Carcinoma in situ of hepatic flexure of colon	B8030	B803000	92608001	700
153191017	Carcinoma in situ of hypopharynx	B8009	B800900	92612007	500
153193019	Carcinoma in situ of ileum	B8072	B807200	92613002	100
370221000006117	Carcinoma in situ of intestinal tract	ByuF0	ByuF000	92617001	40
153200017	Carcinoma in situ of intrahepatic bile ducts	B8081	B808100	92618006	100
153203015	Carcinoma in situ of jejunum	B8071	B807100	92621008	60
4007261000006111	Carcinoma in situ of laryngeal surface of epiglottis	^ESCTCA400726		92633003	1
4007001000006116	Carcinoma in situ of laryngopharynx	^ESCTCA400700		92612007	3
153218019	Carcinoma in situ of larynx	B810	B810.00	92634009	4000
290787011	Carcinoma in situ of larynx NOS	B810z	B810z00	92634009	400
14474621000006112	Carcinoma in situ of left breast	^ESCT1447462		353591000119105	2
4007321000006112	Carcinoma in situ of left lower lobe of lung	^ESCTCA400732		92639004	4
4007331000006110	Carcinoma in situ of left upper lobe of lung	^ESCTCA400733		92640002	1
153229015	Carcinoma in situ of lip	B8000	B800000	92643000	100
406054011	Carcinoma in situ of lip, oral cavity and pharynx	B800	B800.00	271325000	300
11923431000006116	Carcinoma in situ of lip, oral cavity and pharynx	^ESCT1192343		271325000	2
290718013	Carcinoma in situ of lip, oral cavity and pharynx NOS	B800z	B800z00	92660005	30
153231012	Carcinoma in situ of liver	B8080	B808000	92644006	1000
1217274016	Carcinoma in situ of lower 1/3 oesophagus	B8012	B801200	92648009	500
290793015	Carcinoma in situ of lower lobe bronchus and lung	B8124	B812400	189267000	600
4007411000006114	Carcinoma in situ of lower third of oesophagus	^ESCTCA400741		92648009	80
