medcodeid	desc	readcode	coding_system	cancertype	blood_cancertype	ca_of_interest	recurrent_ca	secondary_ca	history_ca	gold_stage_grade
6090	H/O: * breast	1424	GOLD	breast		1			1	
18608	Malig neop of bone, connective tissue, skin and breast	Bleukaemia...00	GOLD	breast		1				
9902	Carcinoma of bone, connective tissue, skin and breast	Bleukaemia...11	GOLD	breast		1				
leukaemia2768	Malignant melanoma of breast	Bleukaemia25100	GOLD	breast		1				
leukaemia7969	Malignant neoplasm of skin of chest, excluding breast	Bleukaemialeukaemia5100	GOLD	breast		1				
leukaemia054leukaemia	Malignant neoplasm of skin of breast	Bleukaemialeukaemia5200	GOLD	breast		1				
leukaemia968	Malignant neoplasm of female breast	Bleukaemia4..00	GOLD	breast		1				
leukaemia48	Ca female breast	Bleukaemia4..11	GOLD	breast		1				
2685leukaemia	Malignant neoplasm of nipple and areola of female breast	Bleukaemia40.00	GOLD	breast		1				
2leukaemialeukaemia80	Malignant neoplasm of nipple of female breast	Bleukaemia40000	GOLD	breast		1				
64686	Malignant neoplasm of areola of female breast	Bleukaemia40100	GOLD	breast		1				
598leukaemia1	Malignant neoplasm of nipple or areola of female breast NOS	Bleukaemia40z00	GOLD	breast		1				
leukaemia1546	Malignant neoplasm of central part of female breast	Bleukaemia41.00	GOLD	breast		1				
29826	Malignant neoplasm of upper-inner quadrant of female breast	Bleukaemia42.00	GOLD	breast		1				
45222	Malignant neoplasm of lower-inner quadrant of female breast	Bleukaemia4leukaemia.00	GOLD	breast		1				
2leukaemialeukaemia99	Malignant neoplasm of upper-outer quadrant of female breast	Bleukaemia44.00	GOLD	breast		1				
42070	Malignant neoplasm of lower-outer quadrant of female breast	Bleukaemia45.00	GOLD	breast		1				
20685	Malignant neoplasm of axillary tail of female breast	Bleukaemia46.00	GOLD	breast		1				
49148	Malignant neoplasm, overlapping lesion of breast	Bleukaemia47.00	GOLD	breast		1				
56715	Malignant neoplasm of other site of female breast	Bleukaemia4y.00	GOLD	breast		1				
95057	Malignant neoplasm of ectopic site of female breast	Bleukaemia4y000	GOLD	breast		1				
leukaemia8475	Malignant neoplasm of other site of female breast NOS	Bleukaemia4yz00	GOLD	breast		1				
9470	Malignant neoplasm of female breast NOS	Bleukaemia4z.00	GOLD	breast		1				
1942leukaemia	Malignant neoplasm of male breast	Bleukaemia5..00	GOLD	breast		1				
54494	Malignant neoplasm of nipple and areola of male breast	Bleukaemia50.00	GOLD	breast		1				
68480	Malignant neoplasm of nipple of male breast	Bleukaemia50000	GOLD	breast		1				
67884	Malignant neoplasm of areola of male breast	Bleukaemia50100	GOLD	breast		1				
54202	Malignant neoplasm of other site of male breast	Bleukaemia5z.00	GOLD	breast		1				
95leukaemia2leukaemia	Malignant neoplasm of ectopic site of male breast	Bleukaemia5z000	GOLD	breast		1				
48809	Malignant neoplasm of male breast NOS	Bleukaemia5zz00	GOLD	breast		1				
105488	Local recurrence of malignant tumour of breast	Bleukaemia6..00	GOLD	breast		1	1			
19leukaemia89	Malig neop of bone, connective tissue, skin and breast OS	Bleukaemiay..00	GOLD	breast		1				
41011	Malig neop of bone, connective tissue, skin and breast NOS	Bleukaemiaz..00	GOLD	breast		1				
9505	Secondary malignant neoplasm of skin of breast	B582600	GOLD	breast		1		1		
16760	Secondary malignant neoplasm of breast	B58y000	GOLD	breast		1		1		
8647	Carcinoma in situ of skin of breast	B825000	GOLD	breast		1				
45681	Carcinoma in situ of breast and genitourinary system	B8leukaemia..00	GOLD	breast		1				
78leukaemialeukaemia	Carcinoma in situ of breast	B8leukaemia0.00	GOLD	breast		1				
10leukaemia87	Lobular carcinoma in situ of breast	B8leukaemia0000	GOLD	breast		1				
18694	Intraductal carcinoma in situ of breast	B8leukaemia0100	GOLD	breast		1				
40leukaemia59	[M]Juvenile breast carcinoma	BB94.00	GOLD	breast		1				
67701	[M]Secretory breast carcinoma	BB94.11	GOLD	breast		1				
42542	[M]Paget's disease and infiltrating breast duct carcinoma	BB9K.00	GOLD	breast		1				
12480	[M]Paget's disease and intraductal carcinoma of breast	BB9K000	GOLD	breast		1				
12499	[X]Malignant neoplasm of breast	Byu6.00	GOLD	breast		1				
5leukaemia80leukaemia	[X]Other carcinoma in situ of breast	ByuFG00	GOLD	breast		1				
166leukaemia9	[V]Personal history of malignant neoplasm of breast	ZV10leukaemia00	GOLD	breast		1			1	
102leukaemia14	H/O: prostate cancer	1427000	GOLD	prostate		1			1	
10178	Gleason grading of prostate cancer	4M0..00	GOLD	prostate		1				1
1850leukaemia	Gleason prostate grade 2-4 (low)	4M00.00	GOLD	prostate		1				1
18612	Gleason prostate grade 5-7 (medium)	4M01.00	GOLD	prostate		1				1
26081	Gleason prostate grade 8-10 (high)	4M02.00	GOLD	prostate		1				1
780	Malignant neoplasm of prostate	B46..00	GOLD	prostate		1				
21590	Secondary malignant neoplasm of prostate	B58y500	GOLD	prostate		1		1		
6leukaemia28	Carcinoma in situ of prostate	B8leukaemia4.00	GOLD	prostate		1				
leukaemia7leukaemia06	[V]Personal history of malignant neoplasm of prostate	ZV10415	GOLD	prostate		1			1	
54786	H/O: * trachea/lung	142leukaemia	GOLD	lung		1			1	
11768	H/O: * lung	142leukaemia.11	GOLD	lung		1			1	
1leukaemia24leukaemia	Malignant neoplasm of trachea, bronchus and lung	B22..00	GOLD	lung		1				
leukaemialeukaemia444	Malignant neoplasm of hilus of lung	B221100	GOLD	lung		1				
10leukaemia58	Malignant neoplasm of upper lobe, bronchus or lung	B222.00	GOLD	lung		1				
25886	Malignant neoplasm of upper lobe of lung	B222100	GOLD	lung		1				
44169	Malignant neoplasm of upper lobe, bronchus or lung NOS	B222z00	GOLD	lung		1				
leukaemia1268	Malignant neoplasm of middle lobe, bronchus or lung	B22leukaemia.00	GOLD	lung		1				
leukaemia992leukaemia	Malignant neoplasm of middle lobe of lung	B22leukaemia100	GOLD	lung		1				
541leukaemia4	Malignant neoplasm of middle lobe, bronchus or lung NOS	B22leukaemiaz00	GOLD	lung		1				
leukaemia1188	Malignant neoplasm of lower lobe, bronchus or lung	B224.00	GOLD	lung		1				
12582	Malignant neoplasm of lower lobe of lung	B224100	GOLD	lung		1				
42566	Malignant neoplasm of lower lobe, bronchus or lung NOS	B224z00	GOLD	lung		1				
leukaemia6leukaemia71	Malignant neoplasm of overlapping lesion of bronchus & lung	B225.00	GOLD	lung		1				
leukaemia8961	Malignant neoplasm of other sites of bronchus or lung	B22y.00	GOLD	lung		1				
leukaemia90leukaemia	Malignant neoplasm of bronchus or lung NOS	B22z.00	GOLD	lung		1				
2587	Lung cancer	B22z.11	GOLD	lung		1				
41leukaemia7	Secondary malignant neoplasm of lung	B570.00	GOLD	lung		1		1		
9267	Carcinoma in situ of bronchus and lung	B812.00	GOLD	lung		1				
leukaemia7579	Carcinoma in situ of upper lobe bronchus and lung	B812200	GOLD	lung		1				
47897	Carcinoma in situ of middle lobe bronchus and lung	B812leukaemia00	GOLD	lung		1				
52leukaemia7leukaemia	Carcinoma in situ of lower lobe bronchus and lung	B812400	GOLD	lung		1				
25leukaemia72	Carcinoma in situ of bronchus or lung NOS	B812z00	GOLD	lung		1				
40595	[X]Malignant neoplasm of bronchus or lung, unspecified	Byu2000	GOLD	lung		1				
21715	[X]Mesothelioma of lung	Byu5011	GOLD	lung		1				
49289	[V]Personal history of malig neop of trachea/bronchus/lung	ZV10100	GOLD	lung		1			1	
29284	[V]Personal history of malignant neoplasm of lung	ZV10112	GOLD	lung		1			1	
1220	Malignant neoplasm of colon	B1leukaemia..00	GOLD	colorectal		1				
9088	Malignant neoplasm of hepatic flexure of colon	B1leukaemia0.00	GOLD	colorectal		1				
69leukaemia5	Malignant neoplasm of transverse colon	B1leukaemia1.00	GOLD	colorectal		1				
10864	Malignant neoplasm of descending colon	B1leukaemia2.00	GOLD	colorectal		1				
2815	Malignant neoplasm of sigmoid colon	B1leukaemialeukaemia.00	GOLD	colorectal		1				
10946	Malignant neoplasm of ascending colon	B1leukaemia6.00	GOLD	colorectal		1				
18619	Malignant neoplasm of splenic flexure of colon	B1leukaemia7.00	GOLD	colorectal		1				
9leukaemia478	Malignant neoplasm, overlapping lesion of colon	B1leukaemia8.00	GOLD	colorectal		1				
101700	Hereditary nonpolyposis colon cancer	B1leukaemia9.00	GOLD	colorectal		1				
482leukaemia1	Malignant neoplasm of other specified sites of colon	B1leukaemiay.00	GOLD	colorectal		1				
2816leukaemia	Malignant neoplasm of colon NOS	B1leukaemiaz.00	GOLD	colorectal		1				
9118	Colonic cancer	B1leukaemiaz.11	GOLD	colorectal		1				
28727	Secondary malignant neoplasm of colon	B575000	GOLD	colorectal		1		1		
690leukaemia	Carcinoma in situ of colon	B80leukaemia.00	GOLD	colorectal		1				
leukaemia9080	Carcinoma in situ of hepatic flexure of colon	B80leukaemia000	GOLD	colorectal		1				
leukaemia7125	Carcinoma in situ of transverse colon	B80leukaemia100	GOLD	colorectal		1				
47667	Carcinoma in situ of descending colon	B80leukaemia200	GOLD	colorectal		1				
