medcode	readterm	alch_status	depen_level
10161	O/E - alcoholic breath	Current drinker	high
101718	Drinks in morning to get rid of hangover	Current drinker	unknown
102247	Extended interven for excessive alcohol consumption declined	Current drinker	high
102448	Higher risk drinking	Current drinker	unknown
102564	Advised to abstain from alcohol consumption	Current drinker	unknown
102665	Increasing risk drinking	Current drinker	unknown
103230	Lower risk drinking	Current drinker	unknown
103459	Referral to community alcohol team declined	Current drinker	high
104109	Drinks only	Current drinker	unknown
104611	Alcohol-induced acute pancreatitis	Current drinker	high
10691	Alcoholic fatty liver	Current drinker	high
108644	In-house alcohol detoxification	Current drinker	high
109105	Refer to MH services deferred until alcohol misuse resolved	Current drinker	high
109108	Alcohol dependence resolved	Ex-drinker	
109241	Alcohol Use Disorders Identification Test declined	Current drinker	high
109668	Specialist alcohol treatment service signposted	Current drinker	high
109800	Hospital attendance related to personal alcohol consumption	Current drinker	high
110382	Withdrawn from alcohol detoxification programme	Current drinker	unknown
110494	Alcohol harm reduction programme	Current drinker	high
110624	Alcohol relapse prevention	Current drinker	high
110671	Controlled drinking regime	Current drinker	moderate
110911	Accidental poisoning by denatured alcohol	Current drinker	high
11106	Korsakov's alcoholic psychosis with peripheral neuritis	Current drinker	high
11140	Advice on alcohol consumption	Current drinker	high
111683	Removal of alcohol	Current drinker	unknown
11491	Health ed. - alcohol	Current drinker	unknown
11670	[X]Korsakov's psychosis, alcohol induced	Current drinker	high
11740	Alcohol misuse - enhanced services administration	Current drinker	high
12353	[X]Mental & behav dis due to use alcohol: psychotic disorder	Current drinker	high
12554	Referral to community drug and alcohol team	Current drinker	high
12949	Teetotaller	Non-drinker	
12968	Drinks beer and spirits	Current drinker	unknown
12969	Drinks wine	Current drinker	unknown
12970	Non drinker alcohol	Non-drinker	
12971	Spirit drinker	Current drinker	unknown
12972	Light drinker - 1-2u/day	Current drinker	low
12974	Nondependent alcohol abuse, episodic	Current drinker	high
12975	Trivial drinker - <1u/day	Current drinker	low
12976	Suspect alcohol abuse - denied	Current drinker	high
12977	Very heavy drinker - >9u/day	Current drinker	high
12979	Current non drinker	Non-drinker	
12980	Light drinker	Current drinker	low
12982	Alcohol intake above recommended sensible limits	Current drinker	high
12983	Ex-very heavy drinker-(>9u/d)	Ex-drinker	
12984	Very heavy drinker	Current drinker	high
12985	Moderate drinker	Current drinker	moderate
1399	Alcohol problem drinking	Current drinker	high
1476	Delirium tremens	Current drinker	high
1618	Heavy drinker - 7-9u/day	Current drinker	high
16225	Alcohol withdrawal delirium	Current drinker	high
16237	Alcoholic psychoses	Current drinker	high
16587	[V]Problems related to lifestyle alcohol use	Current drinker	high
17259	[X]Delirium tremens, alcohol induced	Current drinker	high
17330	Alcoholic hepatic failure	Current drinker	high
17607	[X]Alcoholic psychosis NOS	Current drinker	high
18156	Alcoholics anonymous	Current drinker	high
18636	Wernicke-Korsakov syndrome	Current drinker	high
18711	Lifestyle advice regarding alcohol	Current drinker	high
19217	Alcohol causing toxic effect	Current drinker	high
19401	Binge drinker	Current drinker	high
19493	Ex-heavy drinker - (7-9u/day)	Ex-drinker	
19494	Hazardous alcohol use	Current drinker	high
19495	Ex-moderate drinker - (3-6u/d)	Ex-drinker	
20407	Drunkenness - pathological	Current drinker	high
20514	[X]Mental and behav dis due to use alcohol: withdrawal state	Current drinker	high
20762	Alcohol amnestic syndrome	Current drinker	high
2081	Alcoholism	Current drinker	high
2082	Alcohol withdrawal syndrome	Current drinker	high
2083	Alcohol detoxification	Current drinker	high
2084	Alcohol dependence syndrome	Current drinker	high
21624	Episodic acute alcoholic intoxication in alcoholism	Current drinker	high
21650	Admitted to alcohol detoxification centre	Current drinker	high
21713	Alcoholic fibrosis and sclerosis of liver	Current drinker	high
21879	[X]Mental and behav dis due to use of alcohol: harmful use	Current drinker	high
22277	DTs - delirium tremens	Current drinker	high
22707	Drinking problem scale	Current drinker	high
22933	Ex-trivial drinker (<1u/day)	Ex-drinker	
