medcode	readterm	readcode	clinicalevents	testevents	immunisationevents	databasebuild
107406	Emergency percutaneous coronary intervention	792E000	129	0	0	December 2013
105184	Percutaneous coronary intervention	792E.00	24998	0	0	November 2012
41547	Transluminal balloon angioplasty of coronary artery OS	7928y00	327	0	0	February 2009
737	Coronary artery bypass graft operations	792..11	70884	26	0	February 2009
101121	Coronary artery bypass graft operation planned	8L40.00	808	0	0	December 2010
18670	Percut transluminal balloon angioplasty one coronary artery	7928000	1896	0	0	February 2009
96537	OS perc translumina balloon angioplast stenting coronary art	793Gy00	21	0	0	April 2009
6980	[V]Status following coronary angioplasty NOS	ZV45L00	1149	0	0	February 2009
5744	Open angioplasty of coronary artery	7927500	6607	0	0	February 2009
34965	Diagnostic transluminal operations on coronary artery	792A.00	168	0	0	February 2009
61208	Perc translum balloon angioplasty stenting coronary art NOS	793Gz00	312	0	0	February 2009
33735	Percut translum balloon angioplasty mult coronary arteries	7928100	547	0	0	February 2009
2901	Transluminal balloon angioplasty of coronary artery	7928.00	41619	0	0	February 2009
42462	Percut translum balloon angioplasty bypass graft coronary a	7928200	107	0	0	February 2009
732	Transluminal balloon angioplasty of coronary artery NOS	7928z00	4263	2	0	February 2009
5703	Percutaneous balloon coronary angioplasty	7928.11	5378	0	0	February 2009
43939	Perc translumin balloon angioplasty stenting coronary artery	793G.00	16978	0	0	February 2009
86071	Percut translum cutting balloon angioplasty coronary artery	7928300	42	0	0	February 2009
42304	Insertion of drug-eluting coronary artery stent	7929500	4377	0	0	February 2009
8942	Insertion of coronary artery stent	7929400	37928	0	0	February 2009
7137	Saphenous vein graft replacement of coronary artery OS	7920y00	17239	0	0	February 2009
55092	Replacement of coronary arteries using multiple methods	792C000	15	0	0	February 2009
70111	Allograft replacement of one coronary artery	7922000	6	0	0	February 2009
70755	Replacement of coronary artery NOS	792Cz00	46	0	0	February 2009
66664	Prosthetic replacement of two coronary arteries	7923100	12	0	0	February 2009
42708	Autograft replacement of four of more coronary arteries NEC	7921300	106	0	0	February 2009
9414	Other autograft replacement of coronary artery	7921.00	369	0	0	February 2009
10209	Autograft replacement of three coronary arteries NEC	7921200	213	0	0	February 2009
93828	Other specified replacement of coronary artery	792Cy00	14	0	0	February 2009
45370	Allograft replacement of four or more coronary arteries	7922300	30	0	0	February 2009
59423	Other specified allograft replacement of coronary artery	7922y00	97	0	0	February 2009
92419	Prosthetic replacement of one coronary artery	7923000	9	0	0	February 2009
19402	Prosthetic replacement of coronary artery	7923.00	63	0	0	February 2009
