medcode	readcode	desc	clinicalevents	databaserelease	ethnic_20grp	ethnic_6grp	H	I	J	K
12350	9iC..00	African - ethnic category 2001 census	94643	February 2009	8	2				
45125	1342.00	African origin	4240	February 2009	8	2			Updated according to the 2021 census	
111059	9t2C.00	African: African/African Scot/African Brit - Scotland 2011	193	July 2016	6	2			19+1 classification:	5+1 classification:
110655	9t2D.00	African: any other African - Scotland ethnic cat 2011 census	114	March 2016	8	2			1- Asian, Asian British or Asian Welsh: Bangladeshi	1 - Asian, Asian British or Asian Welsh 
25422	9i2K.00	Albanian - ethnic category 2001 census	2394	February 2009	17	4			2- Asian, Asian British or Asian Welsh: Chinese	2 - Black, Black British, Black Welsh, Caribbean or African
26455	9iFK.00	Any other group - ethnic category 2001 census	6155	February 2009	19	5			3- Asian, Asian British or Asian Welsh: Indian	3 - Mixed or multiple ethnic groups
46059	9iF9.00	Arab - ethnic category 2001 census	12314	February 2009	18	5			4- Asian, Asian British or Asian Welsh: Pakistani	4 - White
47005	9i64.00	Asian and Chinese - ethnic category 2001 census	3091	February 2009	2	1			5- Asian, Asian British or Asian Welsh: Other Asian	5 - Other ethnic group
110422	9t16.00	Asian or Asian British: Indian - NI ethnic cat 2011 census	91	December 2015	3	1			6- Black, Black British, Black Welsh, Caribbean or African: African	6 - Unknown
25801	1343.00	Asian origin	4815	February 2009	5	1			7- Black, Black British, Black Welsh, Caribbean or African: Caribbean	
110590	9t0A.00	Asian/Asian Brit: Chinese - Eng+Wales ethnic cat 2011 census	136	February 2016	2	1			8- Black, Black British, Black Welsh, Caribbean or African: Other Black	
110922	9t0B.00	Asian/Asian Brit: Indian - Eng+Wales ethnic cat 2011 census	135	June 2016	3	1			9- Mixed or Multiple ethnic groups: White and Asian	
110477	9t08.00	Asian/Asian Brit: Indian - Eng+Wales ethnic cat 2011 census	663	January 2016	3	1			10- Mixed or Multiple ethnic groups: White and Black African	
