medcode	readcode	term
8762	13B3.00	Low_cholesterol_diet
14781	44O4.00	Serum_lipids_high
856	44O6.00	Lipids_adnormal
2493	44P3.00	Serum_cholesterol_raised
35720	44P4.00	Serum_cholesterol_very_high
102004	44q8.00	Hyperlipidaemia_screening_test
58637	4L03.00	Atherogenic_lipoprotein_phenotype
9936	66X..00	Lipid_disorder_monitoring
104226	66X0.00	Lipid_disorder_treatment_started
110480	66X1.00	Lipid_disorder_treatment_stopped
105093	66X2.00	Lipid_disorder_treatment_changed
104083	66X3.00	Lipid_disorder_initial_assessment
102681	66X4.00	Lipid_disorder_follow_up_assessment
16937	8B28.00	Lipid_lowering_therapy
10783	8BAG.00	Cholesterol_reduction_programme
39147	8BAG000	Cholesterol_reduction_programme___invited
51023	8BAG100	Cholestrol_reduction_program___attended
32244	8BG2.00	Lipid_lowering_therapy_indicated
12111	8BL1.00	Patient_on_maximal_tolerated_lipid_lowering_therapy
6243	8CA4700	Patient_advised_re_low_cholesterol_diet
104540	8CP6.00	Discussion_about_lipid_lowering_therapy
71747	8CR3.00	Hyperlipidaemia_clinical_management_plan
13657	8HT1.00	Referral_to_lipid_clinic
39849	8I3J.00	Lipid_lowering_therapy_declined
340	9N0I.00	Seen_in_lipid_clinic
2091	9N0J.00	Seen_in_cholesterol_clinic
36806	9Oc..00	Lipid_disorder_monitoring_administration
97166	9Oc0.00	Attends_lipid_disorder_monitoring
100512	9Oc1.00	Lipid_disorder_monitoring_declined
93761	9Oc2.00	Lipid_disorder_monitoring_first_letter
99032	9Oc3.00	Lipid_disorder_monitoring_second_letter
102471	9Oc4.00	Lipid_disorder_monitoring_third_letter
105931	9Oc5.00	Lipid_disorder_monitoring_verbal_invitation
18708	C32..11	Disorder_of_cholesterol_metabolism
339	C320.00	Pure_hypercholesterolaemia
3484	C320.11	Familial_hypercholesterolaemia
55855	C320.12	Fredrickson_type_IIa_lipidaemia
59095	C320.13	Low_density_lipoproteinaemia
3386	C320000	Familial_hypercholesterolaemia
34825	C320100	Hyperbetalipoproteinaemia
26019	C320200	Hyperlipidaemia__group_A
34224	C320300	Low_density_lipoprotein_type_(LDL)_hyperlipoproteinaemia
37273	C320400	Fredrickson's_hyperlipoproteinaemia__type_IIa
97989	C320500	Familial_defective_apolipoprotein_B_100
102958	C320600	Polygenic_hypercholesterolaemia
53091	C320y00	Other_specified_pure_hypercholesterolaemia
7447	C320z00	Pure_hypercholesterolaemia_NOS
54499	C321.11	Fredrickson_type_IV_lipidaemia
99456	C321.12	Very_low_density_lipoprotinaemia
12439	C321000	Hypertriglyceridaemia
5791	C322.00	Mixed_hyperlipidaemia
52992	C322.11	Fredrickson_type_IIb_lipidaemia
59564	C322.12	Fredrickson_type_III_lipidaemia
102390	C322000	Familial_combined_hyperlipidaemia
637	C324.00	Hyperlipidaemia_NOS
34146	C325100	Hypo_alpha_lipoproteinaemia
95952	C328.00	Dyslipidaemia
107252	C329.00	Hypercholesterolaemia
66240	Cyu8D00	[X]Other_hyperlipidaemia
42765	ZC2CI00	Dietary_advice_for_lipid_disorder
33694	ZC2CJ00	Dietary_advice_for_hyperlipidaemia
12569	ZV65317	[V]Dietary_surveillance_in_hypercholesterolaemia
7447	C320z00	Pure_hypercholesterolaemia_NOS
339	C320.00	Pure_hypercholesterolaemia
102958	C320600	Polygenic_hypercholesterolaemia
53091	C320y00	Other_specified_pure_hypercholesterolaemia
34224	C320300	Low_density_lipoprotein_type_(LDL)_hyperlipoproteinaemia
26019	C320200	Hyperlipidaemia__group_A
107252	C329.00	Hypercholesterolaemia
37273	C320400	Fredrickson's_hyperlipoproteinaemia__type_IIa
3484	C320.11	Familial_hypercholesterolaemia
3386	C320000	Familial_hypercholesterolaemia
