medcode	readterm	readcode
96838	[X]Acute transmural myocardial infarction of unspecif site	Gyu3400
113358	[X]Other current complicatns following acute myocard infarct	Gyu3100
109035	[X]Subsequent myocardial infarction of other sites	Gyu3500
99991	[X]Subsequent myocardial infarction of unspecified site	Gyu3600
40429	Acute anteroapical infarction	G301000
12139	Acute anterolateral infarction	G300.00
17872	Acute anteroseptal infarction	G301100
11983	Acute coronary syndrome	G311500
8935	Acute inferolateral infarction	G302.00
29643	Acute inferoposterior infarction	G303.00
241	Acute myocardial infarction	G30..00
14658	Acute myocardial infarction NOS	G30z.00
9507	Acute non-Q wave infarction	G307000
10562	Acute non-ST segment elevation myocardial infarction	G307100
32854	Acute posterolateral myocardial infarction	G30B.00
30330	Acute Q-wave infarct	G309.00
41221	Acute septal infarction	G30y200
12229	Acute ST segment elevation myocardial infarction	G30X000
3704	Acute subendocardial infarction	G307.00
29758	Acute transmural myocardial infarction of unspecif site	G30X.00
14897	Anterior myocardial infarction NOS	G301z00
23708	Atrial septal defect/curr comp folow acut myocardal infarct	G361.00
30421	Cardiac rupture following myocardial infarction (MI)	G30..13
36423	Certain current complication follow acute myocardial infarct	G36..00
61670	Diab mellit insulin-glucose infus acute myocardial infarct	889A.00
26975	ECG: antero-septal infarct.	3233.00
52705	ECG: lateral infarction	3236.00
59032	ECG: myocardial infarct NOS	323Z.00
7783	ECG: myocardial infarction	323..00
39904	ECG: old myocardial infarction	3232.00
55401	ECG: subendocardial infarct	3235.00
26972	ECG:posterior/inferior infarct	3234.00
107406	Emergency percutaneous coronary intervention	792E000
24126	Haemopericardium/current comp folow acut myocard infarct	G360.00
16408	Healed myocardial infarction	G32..11
1678	Inferior myocardial infarction NOS	G308.00
14898	Lateral myocardial infarction NOS	G305.00
9985	Left sided cerebral infarction	G64z200
1677	MI - acute myocardial infarction	G30..15
55137	MI - myocardial infarction aborted	G311011
68357	Microinfarction of heart	G31y100
61072	Myocardial infarction aborted	G311000
4017	Old myocardial infarction	G32..00
34803	Other acute myocardial infarction	G30y.00
46017	Other acute myocardial infarction NOS	G30yz00
5387	Other specified anterior myocardial infarction	G301.00
9555	Post infarct angina	G33z500
35119	Post infarction pericarditis	G501.00
23892	Posterior myocardial infarction NOS	G304.00
23579	Postmyocardial infarction syndrome	G310.00
32272	Postoperative myocardial infarction	G38..00
68748	Postoperative myocardial infarction, unspecified	G38z.00
41835	Postoperative subendocardial myocardial infarction	G384.00
46112	Postoperative transmural myocardial infarction anterior wall	G380.00
46276	Postoperative transmural myocardial infarction inferior wall	G381.00
106812	Postoperative transmural myocardial infarction unspec site	G383.00
36523	Preinfarction syndrome	G311.00
54251	Preinfarction syndrome NOS	G311z00
59940	Ruptur chordae tendinae/curr comp fol acute myocard infarct	G364.00
69474	Rupture papillary muscle/curr comp fol acute myocard infarct	G365.00
17689	Silent myocardial infarction	G30..17
18842	Subsequent myocardial infarction	G35..00
45809	Subsequent myocardial infarction of anterior wall	G350.00
38609	Subsequent myocardial infarction of inferior wall	G351.00
72562	Subsequent myocardial infarction of other sites	G353.00
46166	Subsequent myocardial infarction of unspecified site	G35X.00
63467	True posterior myocardial infarction	G306.00
37657	Ventric septal defect/curr comp fol acut myocardal infarctn	G362.00
2491	Coronary thrombosis	G30..12
13571	Thrombosis - coronary	G30..16
59189	Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI	G363.00
62626	Acute papillary muscle infarction	G30y100
1204	Heart attack	G30..14
13566	Attack - heart	G30..11
28736	Acute atrial infarction	G30y000
29553	Thrombosis atrium,auric append&vent/curr comp foll acute MI	G366.00
