medcode	readterm	readcode	cerebro	stroke	tia	stroke_tia	class	subclass
10062	Cerebrovascular disease NOS	G6z..00	1				cerebrovascular disease	
100639	Central post-stroke pain	1M4..00	1	1		1	stroke	ischaemic stroke
101733	Cerebral vein thrombosis	G67A.00	1				cerebrovascular disease	
10189	Cerebral amyloid angiopathy	G674000	1				cerebrovascular disease	
10504	Right sided cerebral infarction	G64z300	1	1		1	stroke	ischaemic stroke
105520	Admission to stroke unit	8Hd6.00	1	1		1	stroke	ischaemic stroke
105738	Carotid territory transient ischaemic attack	G657.00	1		1	1	tia	ischaemic stroke
10625	Clipping of aneurysm of cerebral artery	7A23200	1				cerebrovascular disease	
107440	Lobar cerebral haemorrhage	G619.00	1	1		1	stroke	haemorrhagic stroke
107725	Reversible cerebral vasoconstriction syndrome	G67B.00	1		1	1	tia	ischaemic stroke
10794	Vertebrobasilar insufficiency	G656.00	1		1	1	tia	ischaemic stroke
108630	[X]Subarachnoid haemorrh from intracranial artery, unspecif	Gyu6E00	1	1		1	stroke	haemorrhagic stroke
108668	[X]Subarachnoid haemorrhage from other intracranial arteries	Gyu6000	1	1		1	stroke	haemorrhagic stroke
109679	Old cerebral infarction on imaging	5C13.00	1	1		1	stroke	ischaemic stroke
110337	[X]Sequelae of stroke,not specfd as h'morrhage or infarction	Gyu6C00	1	1		1	stroke	other
111096	[X]Other specified cerebrovascular diseases	Gyu6700	1				cerebrovascular disease	
11171	Cerebral atherosclerosis	G670.00	1				cerebrovascular disease	
114606	Aneurysm and dissection of precerebral artery	G729.00	1				cerebrovascular disease	
1195	Amaurosis fugax	F423600	1				cerebrovascular disease	
12555	Generalised ischaemic cerebrovascular disease NOS	G671z00	1	1		1	stroke	ischaemic stroke
12634	Carotid artery dissection	G673200	1				cerebrovascular disease	
12733	Carotid endarterectomy and patch	7A20311	1				cerebrovascular disease	
12833	Right sided CVA	G668.00	1	1		1	stroke	ischaemic stroke
1298	CVA unspecified	G66..11	1	1		1	stroke	ischaemic stroke
13564	Cerebellar haemorrhage	G613.00	1	1		1	stroke	haemorrhagic stroke
13577	Other cerebrovascular disease	G67..00	1				cerebrovascular disease	
1433	Transient ischaemic attack	G65..12	1		1	1	tia	ischaemic stroke
1469	Stroke and cerebrovascular accident unspecified	G66..00	1	1		1	stroke	ischaemic stroke
15252	Brainstem infarction NOS	G64z.11	1	1		1	stroke	ischaemic stroke
15788	Transient cerebral ischaemia NOS	G65zz00	1		1	1	tia	ischaemic stroke
16507	Intermittent cerebral ischaemia	G65z100	1		1	1	tia	ischaemic stroke
16517	Cerebral thrombosis	G640.00	1	1		1	stroke	ischaemic stroke
17322	Cerebellar stroke syndrome	G664.00	1	1		1	stroke	ischaemic stroke
17326	Subarachnoid haemorrh from intracranial artery, unspecif	G60X.00	1	1		1	stroke	haemorrhagic stroke
