medcode	readterm	readcode	eod_cat
506	non-insulin dependent diabetes mellitus	C100112	0
711	diabetes mellitus	C10..00	0
758	type 2 diabetes mellitus	C10F.00	0
1038	insulin dependent diabetes mellitus	C100011	0
1323	diabetic retinopathy	F420.00	1
1407	insulin treated type 2 diabetes mellitus	C10FJ00	0
1549	type 1 diabetes mellitus	C10E.00	0
1647	insulin dependent diabetes mellitus	C108.00	0
1682	diabetes mellitus with ketoacidosis	C101.00	0
1684	diabetic on oral treatment	66A4.00	0
2340	diabetic amyotrophy	F381311	1
2342	diabetic neuropathy	F372.12	1
2378	diabetic - poor control	66AJ.00	0
2471	nephrotic syndrome in diabetes mellitus	K01x100	1
2475	diabetic nephropathy	C104.11	1
2478	brittle diabetes	66AJ100	0
2986	preproliferative diabetic retinopathy	F420200	1
3286	proliferative diabetic retinopathy	F420100	1
3837	diabetic maculopathy	F420400	1
4513	non-insulin dependent diabetes mellitus	C109.00	0
5002	diabetic polyneuropathy	F372.11	1
5884	niddm - non-insulin dependent diabetes mellitus	C109.11	0
6125	diabetic annual review	66AS.00	0
6509	insulin dependent diabetes mellitus with retinopathy	C108700	1
6791	insulin dependent diabetes mellitus - poor control	C108800	0
7059	admit diabetic emergency	8H2J.00	0
7069	background diabetic retinopathy	F420000	1
7328	cellulitis in diabetic foot	M037200	1
7563	diabetic on diet only	66A3.00	0
7795	diabetes mellitus with neuropathy	C106.12	1
8403	non-insulin dependent diabetes mellitus - poor control	C109700	0
8836	diabetes management plan given	66AR.00	0
8842	diabetic on insulin	66A5.00	0
9013	unstable diabetes	66AJ.11	0
9835	o/e - diabetic maculopathy present both eyes	2BBL.00	1
9881	mixed diabetic ulcer - foot	M271200	1
10098	other specified diabetes mellitus with other spec comps	C10yy00	0
10099	advanced diabetic maculopathy	F420300	1
10418	type 1 diabetes mellitus with nephropathy	C10ED00	1
10642	dietary advice for diabetes mellitus	ZC2C800	0
10659	diabetic cataract	F464000	1
10692	type 1 diabetes mellitus with ketoacidosis	C10EM00	0
10755	non proliferative diabetic retinopathy	F420600	1
11018	diabetic retinopathy 12 month review	8HBG.00	1
11047	conversion to insulin	66AH000	0
11129	o/e - left eye background diabetic retinopathy	2BBQ.00	1
11433	o/e - right eye background diabetic retinopathy	2BBP.00	1
11471	diabetes medication review	8B3l.00	0
11551	diabetes mellitus induced by steroids	C10B.00	0
11599	pan retinal photocoagulation for diabetes	7276	1
11626	diabetic retinopathy nos	F420z00	1
11663	neuropathic diabetic ulcer - foot	M271100	1
12213	patient on maximal tolerated therapy for diabetes	8BL2.00	0
12307	diabetes care by hospital only	66AU.00	0
12455	type i diabetes mellitus	C10E.11	0
12640	type 2 diabetes mellitus with nephropathy	C10FC00	1
12736	type 2 diabetes mellitus with gangrene	C10F500	1
13071	diabetic - good control	66AI.00	0
13078	diabetic weight reducing diet	13AC.00	0
13097	o/e - right eye proliferative diabetic retinopathy	2BBT.00	1
13099	o/e - right eye preproliferative diabetic retinopathy	2BBR.00	1
13101	o/e - left eye proliferative diabetic retinopathy	2BBV.00	1
13102	o/e - right eye diabetic maculopathy	2BBW.00	1
13103	o/e - left eye preproliferative diabetic retinopathy	2BBS.00	1
13108	o/e - left eye diabetic maculopathy	2BBX.00	1
13279	other specified diabetes mellitus with renal complications	C104y00	0
14803	diabetes mellitus, adult onset, no mention of complication	C100100	0
14889	maturity onset diabetes	C100111	0
15690	diabetes mellitus with ketoacidotic coma	C103.00	0
16230	diabetes mellitus with neurological manifestation	C106.00	1
16490	diabetic treatment changed	66AH.00	0
16491	diabetes mellitus with polyneuropathy	C106.13	1
16502	diabetes mellitus with renal manifestation	C104.00	1
16881	[v]dietary counselling in diabetes mellitus	ZV65312	0
17067	autonomic neuropathy due to diabetes	F171100	1
17095	o/e - right diabetic foot at risk	2G5A.00	1
17247	diabetic mononeuritis nos	F35z000	0
17262	non-insulin-dependent diabetes mellitus with retinopathy	C109600	1
17313	diabetic iritis	F440700	1
17545	type i diabetes mellitus with diabetic cataract	C108F11	1
17817	subcutaneous injection of insulin	7L19800	0
17858	type 1 diabetes mellitus	C108.12	0
17859	type 2 diabetes mellitus	C109.12	0
17869	diabetic-uncooperative patient	66AL.00	0
18056	foot abnormality - diabetes related	2G5C.00	1
18142	diabetic cheiroarthropathy	N030000	1
18143	type ii diabetes mellitus with arthropathy	C109G11	1
18167	annual diabetic blood test	66AT.00	0
18209	type 2 diabetes mellitus with renal complications	C109012	0
18219	type ii diabetes mellitus	C109.13	0
18230	type 1 diabetes mellitus with neuropathic arthropathy	C108J12	1
18264	insulin treated type ii diabetes mellitus	C109J12	0
18278	insulin treated type 2 diabetes mellitus	C109J00	0
18387	type 1 diabetes mellitus with retinopathy	C10E700	1
18390	type 2 diabetes mellitus with persistent microalbuminuria	C10FM00	0
18425	type 2 diabetes mellitus with polyneuropathy	C10FB00	1
18496	type 2 diabetes mellitus with retinopathy	C10F600	1
18505	iddm-insulin dependent diabetes mellitus	C108.11	0
18642	type 1 diabetes mellitus with arthropathy	C10EH00	1
18662	diabetic retinopathy 6 month review	8HBH.00	1
18683	type 1 diabetes mellitus with ulcer	C10E500	1
18777	type 2 diabetes mellitus with renal complications	C10F000	1
20696	injection sites - diabetic	66AA.11	0
21482	diabetes mellitus with hyperosmolar coma	C102.00	0
21983	type 1 diabetes mellitus with renal complications	C108012	1
22023	diabetic - poor control nos	66AJz00	0
22487	secondary diabetes mellitus	C10N.00	0
22573	diabetes mellitus nos with neurological manifestation	C106z00	1
22823	diabetic foot examination	66Ab.00	1
22871	type 1 diabetes mellitus with exudative maculopathy	C10EP00	1
22884	type ii diabetes mellitus	C10F.11	0
22967	retinal abnormality - diabetes related	2BBF.00	1
23479	bronzed diabetes	C350011	1
24327	ischaemic ulcer diabetic foot	M271000	1
24363	diabetic stabilisation	8A13.00	0
24423	type i diabetes mellitus	C108.13	0
24458	type ii diabetes mellitus - poor control	C109711	0
24490	diabetes mellitus, juvenile type, no mention of complication	C100000	0
24571	asymptomatic diabetic neuropathy	F372200	1
24693	non-insulin dependent diabetes mellitus with arthropathy	C109G00	1
24694	insulin dependent diabetes mellitus with mononeuropathy	C108B00	1
24836	type 2 diabetes mellitus with nephropathy	C109C12	1
25041	dietary advice for type ii diabetes	ZC2CA00	0
25591	type 2 diabetes mellitus with exudative maculopathy	C10FQ00	1
25627	type 2 diabetes mellitus - poor control	C10F700	0
26054	type 2 diabetes mellitus with persistent proteinuria	C10FL00	1
26108	steroid induced diabetes mellitus without complication	C10B000	0
26664	o/e - left diabetic foot at risk	2G5B.00	1
26666	o/e - right diabetic foot at low risk	2G5E.00	1
26667	o/e - left diabetic foot at low risk	2G5I.00	1
26855	unstable insulin dependent diabetes mellitus	C108400	0
27891	diabetic charcot arthropathy	N030100	1
27921	foot abnormality - diabetes related	2G51000	1
28769	diabetic on insulin and oral treatment	66AV.00	0
28873	diabetic 6 month review	66Ai.00	0
29041	date diabetic treatment start	66AN.00	0
29979	non-insulin-dependent diabetes mellitus without complication	C109900	0
30294	type 1 diabetes mellitus with persistent microalbuminuria	C10EL00	1
30323	type 1 diabetes mellitus with persistent proteinuria	C10EK00	1
30477	high risk proliferative diabetic retinopathy	F420700	1
31053	[d]widespread diabetic foot gangrene	R054300	1
31156	o/e - left diabetic foot at moderate risk	2G5J.00	1
31157	o/e - right diabetic foot at moderate risk	2G5F.00	1
31171	o/e - right diabetic foot at high risk	2G5G.00	1
31172	o/e - left diabetic foot at high risk	2G5K.00	1
31310	insulin dependent diabetes maturity onset	C108900	0
31790	polyneuropathy in diabetes	F372.00	1
32193	steroid induced diabetes	C11y000	0
32359	perceived control of insulin-dependent diabetes	ZRbH.00	0
32403	diabetes mellitus with gangrene	C107.11	1
32556	diabetes with gangrene	C107.12	1
32627	type 2 diabetes mellitus with ketoacidosis	C10FN00	0
33254	diabetes mellitus with ophthalmic manifestation	C105.00	1
33343	diabetes mellitus with other specified manifestation	C10y.00	1
33807	diabetes mellitus, adult with gangrene	C107200	1
33969	malnutrition-related diabetes mellitus with ketoacidosis	C10A100	0
34152	diabetic peripheral angiopathy	G73y000	1
34268	type 2 diabetes mellitus with neurological complications	C10F200	1
34283	diabetes mellitus nos with ophthalmic manifestation	C105z00	1
34450	hyperosmolar non-ketotic state in type 2 diabetes mellitus	C10FK00	0
34912	non-insulin dependent diabetes mellitus with ulcer	C109400	1
35105	diabetes mellitus, adult onset, with renal manifestation	C104100	1
35107	diabetes mellitus with nephropathy nos	C104z00	1
35116	o/e - left diabetic foot - ulcerated	2G5L.00	1
35288	type 1 diabetes mellitus - poor control	C10E800	0
35316	o/e - right diabetic foot - ulcerated	2G5H.00	1
35321	non-urgent diabetic admission	8H3O.00	0
35385	type 2 diabetes mellitus with neuropathic arthropathy	C10FH00	1
35399	diabetes mellitus with peripheral circulatory disorder	C107.00	1
35785	chronic painful diabetic neuropathy	F372100	1
