medcode	readterm	readcode
100292	[x]unspecified diabetes mellitus with renal complications	Cyu2300
100347	malnutritn-relat diabetes melitus wth periph circul complctn	C10A500
100770	insulin dependent diabetes mellitus with diabetic cataract	C10EF12
100964	type ii diabetes mellitus with ophthalmic complications	C10F111
10098	other specified diabetes mellitus with other spec comps	C10yy00
10099	advanced diabetic maculopathy	F420300
101311	insulin dependent diabetes mellitus with polyneuropathy	C10EC12
101735	insulin-dependent diabetes mellitus with neurological comps	C10E212
101801	type ii diabetic dietary review	66At100
102112	type i diabetes mellitus with gangrene	C10E611
102163	insulin dependent diabetes mellitus with nephropathy	C10ED12
102201	type ii diabetes mellitus with nephropathy	C10FC11
102434	diabetic erectile dysfunction review	66Au.00
102490	diabetic assessment of erectile dysfunction	66Av.00
102611	type 2 diabetic dietary review	66At111
102620	type i diabetes mellitus with persistent microalbuminuria	C10EL11
102704	type i diabetic dietary review	66At000
102740	type 1 diabetes mellitus with ophthalmic complications	C108112
102946	insulin-dependent diabetes mellitus with renal complications	C10E012
1038	insulin dependent diabetes mellitus	C100011
103902	type ii diabetes mellitus with arthropathy	C10FG11
10418	type 1 diabetes mellitus with nephropathy	C10ED00
104254	subcutaneous infusion with insulin pump	7L10011
104323	type ii diabetes mellitus with gangrene	C10F511
104453	type 1 diabetic dietary review	66At011
104639	type ii diabetes mellitus with peripheral angiopathy	C10FF11
105302	proteinuric diabetic nephropathy	K08yA00
105337	type i diabetes mellitus - poor control	C10E811
105740	o/e - left diabetic foot at increased risk	2G5d.00
105741	o/e - right diabetic foot at increased risk	2G5e.00
105784	type 2 diabetes mellitus without complication	C109912
106061	type ii diabetes mellitus with ketoacidotic coma	C10FP11
106360	erectile dysfunction due to diabetes mellitus	K27y700
10642	dietary advice for diabetes mellitus	ZC2C800
106528	type ii diabetes mellitus with ketoacidosis	C10FN11
10659	diabetic cataract	F464000
10692	type 1 diabetes mellitus with ketoacidosis	C10EM00
107331	conversion to insulin in secondary care	66AH100
107423	diabetes self-management plan review	661N400
107464	diabetes year of care annual review	66AS000
107508	conversion to insulin by diabetes specialist nurse	66AH200
10755	non proliferative diabetic retinopathy	F420600
107603	diabetes mellitus in remission	C10P.00
107701	hyperosmolar non-ketotic state in type ii diabetes mellitus	C10FK11
107824	type ii diabetes mellitus in remission	C10P100
107881	clinical diabetic nephropathy	K08yA11
108005	type 2 diabetes mellitus with multiple complications	C109312
108007	type i diabetes mellitus with multiple complications	C108311
108360	type i diabetes mellitus in remission	C10P000
108724	type i diabetes mellitus with gastroparesis	C10EQ11
108993	diabetes self-management plan agreed	661M400
109051	insulin dependent diabetes mellitus with gangrene	C10E612
109103	type ii diabetes mellitus without complication	C109911
109133	pre-existing malnutrition-related diabetes mellitus	L180700
109197	type ii diabetes mellitus with neuropathic arthropathy	C10FH11
109628	type 1 diabetes mellitus in remission	C10P011
109700	conversion to non-insulin injectable medication	66AH300
109760	diabetic peripheral neuropathic pain	1M8..00
109837	type i diabetes mellitus with renal complications	C10E011
109865	type 2 diabetes mellitus with polyneuropathy	C109B12
109878	diet advice for insulin-dependent diabetes	ZC2C911
11018	diabetic retinopathy 12 month review	8HBG.00
110344	diabetic on non-insulin injectable medication	66o2.00
110379	diabetic on oral treatment and glucagon-like peptide 1	66o5.00
110393	diabetic carbohydrate counting diet	13B1000
110400	type 1 diabetes mellitus with diabetic cataract	C108F12
11047	conversion to insulin	66AH000
110611	type 2 diabetes mellitus in remission	C10P111
110997	diabetes mellitus, juvenile, + other specified manifestation	C10y000
111106	type 1 diabetes mellitus without complication	C108A12
11129	o/e - left eye background diabetic retinopathy	2BBQ.00
111483	diabetic on insulin and glucagon-like peptide 1	66o6.00
111798	type ii diabetes mellitus with exudative maculopathy	C10FQ11
112365	[x]pre-existing diabetes mellitus, unspecified	Lyu2900
112402	other specified diabetes mellitus with periph circ comps	C107y00
113115	maturity onset diabetes of the young type 5	C10Q.00
113197	type 1 diabetes mellitus with nephropathy	C108D12
113495	type ii diabetes mellitus with multiple complications	C109311
113609	type ii diabetes mellitus with gastroparesis	C10FR11
113863	type i diabetes mellitus with nephropathy	C10ED11
113975	type i diabetes mellitus with polyneuropathy	C108C11
11433	o/e - right eye background diabetic retinopathy	2BBP.00
11471	diabetes medication review	8B3l.00
11551	diabetes mellitus induced by steroids	C10B.00
11599	pan retinal photocoagulation for diabetes	7276
11626	diabetic retinopathy nos	F420z00
11663	neuropathic diabetic ulcer - foot	M271100
12213	patient on maximal tolerated therapy for diabetes	8BL2.00
12307	diabetes care by hospital only	66AU.00
12455	type i diabetes mellitus	C10E.11
