medcode	readterm	readcode	subtype	dvt	pe	art_pvd	ven_pvd	pvd
14796	[D]Failure of peripheral circulation	R055000	pad			1		1
105621	[X]Aneurysm of aorta in diseases classified elsewhere	Gyu7800	pad			1		1
95381	[X]Aneurysm of other specified arteries	Gyu7300	pad			1		1
102719	[X]Aortic aneurysm of unspecified site, nonruptured	Gyu7200	pad			1		1
102725	[X]Aortic aneurysm of unspecified site, ruptured	Gyu7100	pad			1		1
100579	[X]Atherosclerosis of other arteries	Gyu7000	pad			1		1
109425	[X]Embolism and thrombosis of other arteries	Gyu7500	pad			1		1
62855	[X]Embolism and thrombosis of other specified veins	Gyu8200	vte				1	1
73961	[X]Other specified peripheral vascular diseases	Gyu7400	other					1
116085	[X]Peripheral angiopathy in diseases classified elsewhere	Gyu7A00	other					1
97853	[X]Phlebitis+thrombophlebitis/oth deep vessls/low extremites	Gyu8000	vte	1			1	1
93973	[X]Varicose veins of other specified sites	Gyu8600	vte				1	1
17345	AAA - Abdominal aortic aneurysm without mention of rupture	G714.11	pad			1		1
17767	Abdominal aortic aneurysm which has ruptured	G713.00	pad			1		1
1867	Abdominal aortic aneurysm without mention of rupture	G714.00	pad			1		1
113501	Acquired renal artery aneurysm	G721000	pad			1		1
12888	Acquired renal artery stenosis	G703.00	pad			1		1
4317	Acrocyanosis	G73y200	other					1
3715	Acroparaesthesia - unspecified	G73y600	other					1
67026	Aneurysm of anterior tibial artery	G723200	pad			1		1
59492	Aneurysm of artery of arm	G720.00	pad			1		1
52549	Aneurysm of axillary artery	G72y600	pad			1		1
33613	Aneurysm of brachial artery	G720000	pad			1		1
66823	Aneurysm of coeliac artery	G72y700	pad			1		1
16395	Aneurysm of common iliac artery	G722000	pad			1		1
69847	Aneurysm of dorsalis pedis artery	G723300	pad			1		1
60879	Aneurysm of external iliac artery	G722100	pad			1		1
6684	Aneurysm of femoral artery	G723000	pad			1		1
27389	Aneurysm of hepatic artery	G72yA00	pad			1		1
17560	Aneurysm of iliac artery	G722.00	pad			1		1
59671	Aneurysm of iliac artery NOS	G722z00	pad			1		1
57135	Aneurysm of inferior mesenteric artery	G72y900	pad			1		1
58794	Aneurysm of internal iliac artery	G722200	pad			1		1
45000	Aneurysm of leg artery	G723.00	pad			1		1
63059	Aneurysm of leg artery NOS	G723z00	pad			1		1
58698	Aneurysm of neck artery NOS	G72y300	pad			1		1
41171	Aneurysm of other artery	G72y.00	pad			1		1
59536	Aneurysm of other visceral artery	G72yB00	pad			1		1
16366	Aneurysm of popliteal artery	G723100	pad			1		1
22781	Aneurysm of pulmonary artery	G421.00	pad			1		1
25438	Aneurysm of radial artery	G720100	pad			1		1
18478	Aneurysm of renal artery	G721.00	pad			1		1
49474	Aneurysm of sinus of Valsalva	P72z000	pad			1		1
38732	Aneurysm of splenic artery	G72y500	pad			1		1
35529	Aneurysm of subclavian artery	G72y400	pad			1		1
101195	Aneurysm of suprarenal aorta	G714300	pad			1		1
30248	Aneurysm of ulnar artery	G720200	pad			1		1
61203	Antenatal deep vein thrombosis NOS	L413z00	vte	1			1	1
33535	Anterior spinal artery thrombosis	F161500	pad			1		1
1735	Aortic aneurysm	G71..00	pad			1		1
70260	Aortic aneurysm - syphilitic	G717.00	pad			1		1
6872	Aortic aneurysm NOS	G71z.00	pad			1		1
1736	Aortic aneurysm repair	7A14.11	pad			1		1
16034	Aortic aneurysm without mention of rupture NOS	G716.00	pad			1		1
1318	Aortic atherosclerosis	G700.00	pad			1		1
19155	Aorto-iliac disease	G700.11	pad			1		1
107071	ARAS - Atherosclerotic renal artery stenosis	G701011	pad			1		1
4289	Arterial embolism and thrombosis	G74..00	pad			1		1
3714	Arterial embolism and thrombosis NOS	G74z.00	pad			1		1
8998	Arterial embolus and thrombosis	G74..11	pad			1		1
28573	Arterial false aneurysm	G724.00	pad			1		1
11624	Arterial leg ulcer	M271300	pad			1		1
107217	Arteriovenous fistula thrombosis	SP07N00	vte				1	1
34455	Atheroscleritic retinopathy	F421112	pad			1		1
5640	Atherosclerosis	G70..00	pad			1		1
36609	Atherosclerotic cardiovascular disease	G342.00	pad			1		1
20416	Atherosclerotic heart disease	G3...12	pad			1		1
114579	Atherosclerotic renal artery stenosis	G701000	pad			1		1
41229	Atherosclerotic retinopathy	F421100	pad			1		1
30454	Atrial thrombosis	G5yy600	other					1
6461	Avulsion of varicose vein of leg	7A69300	vte				1	1
100103	Axillary vein thrombosis	G824.00	vte				1	1
20676	Budd - Chiari syndrome (hepatic vein thrombosis)	G820.00	vte				1	1
23497	Buerger's disease	G731000	other					1
32017	Capillary thrombosis	G77z200	other					1
6314	Chronic venous insufficiency NOS	G8yy000	vte				1	1
6853	Claudication	G73z011	pad			1		1
7975	Claudication distance	16I..00	pad			1		1
35294	Corpus cavernosum thrombosis	K275300	vte				1	1
3576	Deep vein phlebitis and thrombophlebitis of the leg	G801.00	vte	1			1	1
27284	Deep vein phlebitis and thrombophlebitis of the leg NOS	G801z00	vte	1			1	1
42158	Deep vein phlebitis of the leg unspecified	G801500	vte	1			1	1
32002	Deep vein thrombophlebitis of the leg unspecified	G801B00	vte	1			1	1
824	Deep vein thrombosis	G801.11	vte	1			1	1
101655	Deep vein thrombosis - enhanced services administration	9kg..00	vte	1			1	1
42506	Deep vein thrombosis of leg related to air travel	G801C00	other	1				1
48920	Deep vein thrombosis of leg related to intravenous drug use	G801E00	vte	1			1	1
22038	Deep vein thrombosis of lower limb	G801D00	vte	1			1	1
98526	Deep vein thrombosis of peroneal vein	G801F00	vte	1			1	1
25478	Deep vein thrombosis, leg	G801.12	vte	1			1	1
65025	Diabetes mellitus NOS with peripheral circulatory disorder	C107z00	pad			1		1
35399	Diabetes mellitus with peripheral circulatory disorder	C107.00	pad			1		1
63357	Diabetes mellitus, adult, + peripheral circulatory disorder	C107100	pad			1		1
70448	Diabetes mellitus, juvenile +peripheral circulatory disorder	C107000	other					1
34152	Diabetic peripheral angiopathy	G73y000	pad			1		1
16521	Dissecting aortic aneurysm	G710.00	pad			1		1
104311	Dissection of artery	G72B.00	pad			1		1
105117	Dissection of artery of lower extremity	G728.00	pad			1		1
