medcode	readterm	readcode	mv	av	tv	pv	other	multiple	vhd
3169	Heart valve and adjacent structures operations NOS	791z.00					1		1
36768	Rheumatic pulmonary valve disease NOS	G141z00				1			1
19957	Pulmonary valve disorders NOS	G543z00				1			1
19019	Aortic valve disorders NOS	G541z00		1					1
1267	Mitral valve diseases	G11..00							1
15133	Replacement of aortic valve NEC	7911300		1					1
49272	[X]Other aortic valve disorders	Gyu5600		1					1
89936	Xenograft replacement of pulmonary valve	7913100				1			1
61108	Plastic repair of unspecified valve of heart	7914.00					1		1
4900	Other open operations on valve of heart	7918.00					1		1
111997	Syphilitic endocarditis of pulmonary valve	A932400				1			1
40582	Disorders of both aortic and tricuspid valves	G544000		1	1			1	1
92226	Tricuspid valvectomy	791D000			1				1
19390	Prosthetic replacement of mitral valve	7910200							1
12312	Pulmonary valve disorders	G543.00				1			1
72761	Allograft replacement of valve of heart NEC	7914000					1		1
4548	Aortic valve disorders	G541.00		1					1
85856	Mitral valve repair NEC	7910411							1
48333	Heart valve or adjacent structures operations OS	791y.00					1		1
53756	[X]Other mitral valve diseases	Gyu1000							1
60957	Other specified plastic repair of mitral valve	7910y00							1
43855	Tricuspid valve disorders NOS	G542z00			1				1
105159	Revision of plastic repair of valve of heart NOS	7915z00					1		1
40949	Mitral valve insufficiency	G540.12							1
9450	Mitral valve regurgitation	G540.14							1
1294	Mitral valve prolapse	G540.15							1
44690	Other specified other open operation on valve of heart	7918y00					1		1
49338	Implant of heart valve prosthesis + complication, no blame	TB01200					1		1
97087	Therapeutic transluminal operation on heart valve NOS	7919z00					1		1
30173	Valves of heart and adjacent structures operations	791..00					1		1
30610	Aortic valve sclerosis	G541600		1					1
92070	Aortic valve repair NEC	7911411		1					1
16545	Rheumatic mitral valve disease	G11..11							1
40264	[V]Presence of prosthetic heart valve	ZV45H00					1		1
61436	Syphilitic endocarditis of tricuspid valve	A932300			1				1
19699	Disorders of both mitral and tricuspid valves	G544100			1			1	1
102236	Other specified closed incision of valve of heart	7917y00					1		1
61427	Revision of plastic repair of tricuspid valve	7915200			1				1
94521	[X]Other rheumatic aortic valve diseases	Gyu1100		1					1
62633	Mechanical complication of heart valve prosthesis	SP00200					1		1
49592	Carpentier prosthetic replacement of mitral valve	7910213							1
57318	Bjork-Shiley prosthetic replacement of mitral valve	7910212							1
30567	Bjork-Shiley prosthetic replacement of mitral valve	7910211							1
73904	Edwards prosthetic replacement of mitral valve	7910214							1
939	Endocarditis, valve unspecified, NOS	G54zz00					1		1
44167	Rheumatic pulmonary valve disease	G141.00				1			1
39977	Therapeutic transluminal operations on valve of heart	7919.00					1		1
57338	Multiple valve disease, unspecified	G544X00						1	1
94345	Plastic repair of pulmonary valve NOS	7913z00				1			1
40239	Multiple valve diseases	G544.00						1	1
41169	Revision of plastic repair of valve of heart	7915.00					1		1
1756	Replacement of aortic valve	7911.12		1					1
2817	Tricuspid valve disorders, non-rheumatic	G542.00			1				1
2977	Mitral valve incompetence	G540.00							1
68807	Syphilitic valve disease	A932.11					1		1
16373	Tricuspid valve disease NEC	G140.00			1				1
40086	Other specified plastic repair of aortic valve	7911y00		1					1
10078	Diseases of mitral and aortic valves	G13..00		1				1	1
29158	Mitral and aortic valve disease NOS	G13z.00		1				1	1
92297	Syphilitic endocarditis of aortic valve	A932200		1					1
26153	Annuloplasty of tricuspid valve	7918100			1				1
39916	Mitral valve leaf prolapse	G540300							1
52271	Nonrheumatic tricuspid valve stenosis with insufficiency	G542200			1				1
89579	Insufficiency of unspecified heart valve	G54z014					1		1
18475	Combined disorders of mitral, aortic and tricuspid valves	G544200		1	1			1	1
7276	Prosthetic replacement of valve of heart NEC	7914200					1		1
39972	Revision of plastic repair of pulmonary valve	7915300				1			1
32930	Replacement of tricuspid valve NEC	7912300			1				1
18100	Rheumatic aortic valve disease	G12..00		1					1
51472	Endocarditis, valve unspecified, OS	G54z300					1		1
