medcode	desc	readcode	clinicalevents	immunisationevents	testevents	databaserelease
23913	Nephrotic syndrome, minor glomerular abnormality	K014.00	81	0	0	February 2009
22852	Nephrotic syndrome, focal and segmental glomerular lesions	K015.00	315	0	0	February 2009
19316	Nephrotic syndrome, diffuse membranous glomerulonephritis	K016.00	193	0	0	February 2009
50472	Nephrotic syn,difus endocapilary proliftv glomerulonephritis	K018.00	6	0	0	February 2009
21989	Nephrotic syn,diffuse mesangiocapillary glomerulonephritis	K019.00	100	0	0	February 2009
56987	Nephrotic syndrome, dense deposit disease	K01A.00	16	0	0	February 2009
17365	Nephrotic syndrome, diffuse crescentic glomerulonephritis	K01B.00	68	0	0	February 2009
50200	Rapid progressive nephritic syndrome, dense deposit disease	K0A1600	12	0	0	February 2009
96184	Accid cut,puncture,perf,h'ge - kidney dialysis	TA02000	2	0	0	April 2009
69427	Accid cut,puncture,perf,h'ge - perfusion NOS	TA02z00	2	0	0	February 2009
28158	Kidney dialysis with complication, without blame	TB11.00	24	0	0	February 2009
66714	Renal dialysis with complication, without blame	TB11.11	7	0	0	February 2009
49028	h/o: kidney recipient	14S2.00	107	0	0	February 2009
29013	chronic kidney disease stage 1	1Z10.00	29744	0	0	February 2009
12586	chronic kidney disease stage 2	1Z11.00	123616	0	4	February 2009
12566	chronic kidney disease stage 3	1Z12.00	656649	0	0	February 2009
12479	chronic kidney disease stage 4	1Z13.00	73344	0	0	February 2009
12585	chronic kidney disease stage 5	1Z14.00	15542	0	0	February 2009
94965	chronic kidney disease stage 3a	1Z15.00	35745	0	1	February 2009
95179	chronic kidney disease stage 3b	1Z16.00	13399	0	0	February 2009
94789	chronic kidney disease stage 1 with proteinuria	1Z17.00	244	0	0	February 2009
97980	ckd stage 1 with proteinuria	1Z17.11	14	0	0	November 2009
95572	chronic kidney disease stage 1 without proteinuria	1Z18.00	368	0	0	February 2009
111022	ckd stage 1 without proteinuria	1Z18.11	6	0	0	July 2016
95146	chronic kidney disease stage 2 with proteinuria	1Z19.00	869	0	0	February 2009
97979	ckd stage 2 with proteinuria	1Z19.11	29	0	0	November 2009
95121	chronic kidney disease stage 2 without proteinuria	1Z1A.00	3380	0	0	February 2009
97978	ckd stage 2 without proteinuria	1Z1A.11	70	0	0	November 2009
94793	chronic kidney disease stage 3 with proteinuria	1Z1B.00	4384	0	0	February 2009
95145	ckd stage 3 with proteinuria	1Z1B.11	152	0	0	February 2009
95123	chronic kidney disease stage 3 without proteinuria	1Z1C.00	15861	0	0	February 2009
95188	ckd stage 3 without proteinuria	1Z1C.11	336	0	0	February 2009
95408	chronic kidney disease stage 3a with proteinuria	1Z1D.00	2915	0	0	February 2009
95571	ckd stage 3a with proteinuria	1Z1D.11	63	0	0	February 2009
95175	chronic kidney disease stage 3a without proteinuria	1Z1E.00	17437	0	0	February 2009
95176	ckd stage 3a without proteinuria	1Z1E.11	290	0	0	February 2009
95178	chronic kidney disease stage 3b with proteinuria	1Z1F.00	2207	0	0	February 2009
95180	ckd stage 3b with proteinuria	1Z1F.11	63	0	0	February 2009
95177	chronic kidney disease stage 3b without proteinuria	1Z1G.00	6324	0	0	February 2009
100633	ckd stage 3b without proteinuria	1Z1G.11	85	0	0	September 2010
95122	chronic kidney disease stage 4 with proteinuria	1Z1H.00	1945	0	0	February 2009
99312	ckd stage 4 with proteinuria	1Z1H.11	161	0	0	May 2010
95406	chronic kidney disease stage 4 without proteinuria	1Z1J.00	2140	0	0	February 2009
97587	ckd stage 4 without proteinuria	1Z1J.11	105	0	0	September 2009
95508	chronic kidney disease stage 5 with proteinuria	1Z1K.00	542	0	0	February 2009
99160	ckd stage 5 with proteinuria	1Z1K.11	36	0	0	April 2010
95405	chronic kidney disease stage 5 without proteinuria	1Z1L.00	212	0	0	February 2009
97683	ckd stage 5 without proteinuria	1Z1L.11	38	0	0	September 2009
110033	ckd with gfr category g1 & albuminuria category a1	1Z1M.00	66	0	0	August 2015
110003	ckd with gfr category g1 & albuminuria category a2	1Z1N.00	132	0	0	August 2015
110484	ckd with gfr category g1 & albuminuria category a3	1Z1P.00	37	0	0	January 2016
110269	ckd with gfr category g2 & albuminuria category a1	1Z1Q.00	273	0	0	November 2015
110108	ckd with gfr category g2 & albuminuria category a2	1Z1R.00	668	0	0	September 2015
110251	ckd with gfr category g2 & albuminuria category a3	1Z1S.00	100	0	0	November 2015
109804	ckd with gfr category g3a & albuminuria category a1	1Z1T.00	2348	0	0	June 2015
109805	ckd with gfr category g3a & albuminuria category a2	1Z1V.00	849	0	0	June 2015
109905	ckd with gfr category g3a & albuminuria category a3	1Z1W.00	204	0	0	July 2015
109963	ckd with gfr category g3b & albuminuria category a1	1Z1X.00	800	0	0	July 2015
109657	ckd with gfr category g3b & albuminuria category a2	1Z1Y.00	534	0	0	May 2015
109990	ckd with gfr category g3b & albuminuria category a3	1Z1Z.00	196	0	0	August 2015
109980	ckd with gfr category g4 & albuminuria category a1	1Z1a.00	175	0	0	August 2015
