medcode	readcode	desc	copd
794	H32..00	Emphysema	1
1001	H3...00	Chronic obstructive pulmonary disease	1
2680	23E5.00	O/E - fibrosis of lung present	1
3243	H31..00	Chronic bronchitis	1
6051	H563100	Diffuse pulmonary fibrosis	1
7791	H55..00	Postinflammatory pulmonary fibrosis	1
7994	23E5.11	O/E - fibrosis of lung	1
9520	66YB.00	Chronic obstructive pulmonary disease monitoring	1
9876	H38..00	Severe chronic obstructive pulmonary disease	1
10403	14OJ.00	At risk of chronic obstructive pulmonary disease	1
10802	H37..00	Moderate chronic obstructive pulmonary disease	1
10863	H36..00	Mild chronic obstructive pulmonary disease	1
10980	H322.00	Centrilobular emphysema	1
11019	8H2R.00	Admit COPD emergency	1
11150	H311.00	Mucopurulent chronic bronchitis	1
11287	66YM.00	Chronic obstructive pulmonary disease annual review	1
14798	H312100	Emphysematous bronchitis	1
15157	H31z.00	Chronic bronchitis NOS	1
15782	G41z.00	Chronic pulmonary heart disease NOS	1
16410	H32yz00	Other emphysema NOS	1
16741	A114.00	Tuberculous fibrosis of lung	1
18476	66YL.11	COPD follow-up	1
18501	66YI.00	COPD self-management plan given	1
18621	66YL.00	Chronic obstructive pulmonary disease follow-up	1
18792	9Oi..00	Chronic obstructive pulmonary disease monitoring admin	1
18914	C370200	Cystic fibrosis with pulmonary manifestations	1
19003	66Ye.00	Emergency COPD admission since last appointment	1
19106	66Yd.00	COPD accident and emergency attendance since last visit	1
19428	1I70.00	Chronic obstructive pulmonary disease excluded by spirometry	1
19434	1J71.00	Suspected chronic obstructive pulmonary disease	1
19721	8CE6.00	Chronic obstructive pulmonary disease leaflet given	1
20113	SK07.00	Subcutaneous emphysema	1
22536	H4y1000	Chronic pulmonary fibrosis following radiation	1
22905	H581.00	Interstitial emphysema	1
23492	H320z00	Chronic bullous emphysema NOS	1
24248	H313.00	Mixed simple and mucopurulent chronic bronchitis	1
25603	H310.00	Simple chronic bronchitis	1
26018	66YS.00	Chronic obstructive pulmonary disease monitoring by nurse	1
26082	H541000	Chronic pulmonary oedema	1
26306	H320.00	Chronic bullous emphysema	1
27819	H312.00	Obstructive chronic bronchitis	1
28743	66Yf.00	Number of COPD exacerbations in past year	1
28755	9Oi0.00	Chronic obstructive pulmonary disease monitoring 1st letter	1
33450	H32z.00	Emphysema NOS	1
34202	9Oi1.00	Chronic obstructive pulmonary disease monitoring 2nd letter	1
34215	9Oi2.00	Chronic obstructive pulmonary disease monitoring 3rd letter	1
37247	H3z..11	Chronic obstructive pulmonary disease NOS	1
37371	66YD.00	Chronic obstructive pulmonary disease monitoring due	1
37959	H311100	Fetid chronic bronchitis	1
38074	9Oi4.00	Chronic obstructive pulmonary disease monitor phone invite	1
40159	H311000	Purulent chronic bronchitis	1
40788	H32y.00	Other emphysema	1
42258	9Oi3.00	Chronic obstructive pulmonary disease monitoring verb invite	1
42624	66YL.12	COAD follow-up	1
44525	H312z00	Obstructive chronic bronchitis NOS	1
45089	H31y100	Chronic tracheobronchitis	1
45770	66Yg.00	Chronic obstructive pulmonary disease disturbs sleep	1
45771	66Yh.00	Chronic obstructive pulmonary disease does not disturb sleep	1
45777	8CR1.00	Chronic obstructive pulmonary disease clini management plan	1
45998	66YT.00	Chronic obstructive pulmonary disease monitoring by doctor	1
46036	66Yi.00	Multiple COPD emergency hospital admissions	1
46248	J650200	Acute emphysematous cholecystitis	1
46294	G41..00	Chronic pulmonary heart disease	1
46578	H321.00	Panlobular emphysema	1
