medcode	readcode	desc	liver_mild	liver_severe
107896	AyuB200	[X]Chronic viral hepatitis, unspecified	1	
53861	Jyu7700	[X]Granulomatous hepatitis, not elsewhere classified	1	
105611	Gyu9400	[X]Oesophageal varices in diseases classified elsewhere		1
6015	Jyu7100	[X]Other and unspecified cirrhosis of liver		1
108343	AyuB100	[X]Other chronic viral hepatitis	1	
106025	Jyu7600	[X]Toxic liver disease, unspecified	1	
112028	AyuB300	[X]Unspecified viral hepatitis with coma	1	
68967	AyuB.00	[X]Viral hepatitis	1	
3216	J611.00	Acute alcoholic hepatitis	1	
44163	A702000	Acute hep B with delta-agent (coinfection) with hep coma		1
40029	PB63500	Alagille syndrome		1
4743	J612.00	Alcoholic cirrhosis of liver		1
21713	J612000	Alcoholic fibrosis and sclerosis of liver		1
17330	J613000	Alcoholic hepatic failure		1
7943	J617.00	Alcoholic hepatitis	1	
48211	F10y000	Alper's disease		1
25589	C376100	Alpha-1-antitrypsin hepatitis	1	
38389	PB61400	Atresia of bile duct		1
50400	PB61600	Atresia of hepatic ducts		1
7957	J614111	Autoimmune chronic active hepatitis	1	
18652	J63B.00	Autoimmune hepatitis	1	
73482	J615D00	Bacterial portal cirrhosis		1
116143	PB61.11	Bile duct atresia		1
25597	PB61.00	Biliary atresia		1
50444	PB61z00	Biliary atresia NOS		1
9494	J616.00	Biliary cirrhosis		1
58630	J616z00	Biliary cirrhosis NOS		1
91591	J616200	Biliary cirrhosis of children		1
113538	760J311	Blakemore intubation of oesophagus		1
40567	J615600	Capsular portal cirrhosis		1
27438	J615700	Cardiac portal cirrhosis		1
116448	J615E00	Cardituberculous cirrhosis		1
112867	J615811	Childhood function cirrhosis		1
9029	J614100	Chronic active hepatitis	1	
1755	J614200	Chronic aggressive hepatitis	1	
7602	J617000	Chronic alcoholic hepatitis	1	
1754	J614.00	Chronic hepatitis	1	
111969	9kR..11	Chronic hepatitis annual review	1	
99898	9kR..00	Chronic hepatitis annual review - enhanced services admin	1	
15489	J614z00	Chronic hepatitis NOS	1	
53877	J614y00	Chronic hepatitis unspecified	1	
10539	J61z.00	Chronic liver disease NOS	1	
66534	J614400	Chronic lobular hepatitis	1	
23578	J614000	Chronic persistent hepatitis	1	
26367	A707.00	Chronic viral hepatitis	1	
106642	A707300	Chronic viral hepatitis B	1	
24813	A707000	Chronic viral hepatitis B with delta-agent	1	
41096	A707100	Chronic viral hepatitis B without delta-agent	1	
30586	A707200	Chronic viral hepatitis C	1	
32277	A707X00	Chronic viral hepatitis, unspecified	1	
16725	J615.00	Cirrhosis - non alcoholic		1
