opcs	desc	procd_type	procd_subtype	coding_sys	coronaryinterv	pci	cabg
K40	Saphenous vein graft replacement of coronary artery	revascularization	cabg	OPCS-4.10	1		1
K401	Saphenous vein graft replacement of one coronary artery	revascularization	cabg	OPCS-4.10	1		1
K402	Saphenous vein graft replacement of two coronary arteries	revascularization	cabg	OPCS-4.10	1		1
K403	Saphenous vein graft replacement of three coronary arteries	revascularization	cabg	OPCS-4.10	1		1
K404	Saphenous vein graft replacement of four or more coronary arteries	revascularization	cabg	OPCS-4.10	1		1
K408	Other specified	revascularization	cabg	OPCS-4.10	1		1
K409	Unspecified	revascularization	cabg	OPCS-4.10	1		1
K41	Other autograft replacement of coronary artery	revascularization	cabg	OPCS-4.10	1		1
K411	Autograft replacement of one coronary artery NEC	revascularization	cabg	OPCS-4.10	1		1
K412	Autograft replacement of two coronary arteries NEC	revascularization	cabg	OPCS-4.10	1		1
K413	Autograft replacement of three coronary arteries NEC	revascularization	cabg	OPCS-4.10	1		1
K414	Autograft replacement of four or more coronary arteries NEC	revascularization	cabg	OPCS-4.10	1		1
K418	Other specified	revascularization	cabg	OPCS-4.10	1		1
K419	Unspecified	revascularization	cabg	OPCS-4.10	1		1
K42	Allograft replacement of coronary artery	revascularization	cabg	OPCS-4.10	1		1
K421	Allograft replacement of one coronary artery	revascularization	cabg	OPCS-4.10	1		1
K422	Allograft replacement of two coronary arteries	revascularization	cabg	OPCS-4.10	1		1
K423	Allograft replacement of three coronary arteries	revascularization	cabg	OPCS-4.10	1		1
K424	Allograft replacement of four or more coronary arteries	revascularization	cabg	OPCS-4.10	1		1
K428	Other specified	revascularization	cabg	OPCS-4.10	1		1
K429	Unspecified	revascularization	cabg	OPCS-4.10	1		1
K43	Prosthetic replacement of coronary artery	revascularization	cabg	OPCS-4.10	1		1
K431	Prosthetic replacement of one coronary artery	revascularization	cabg	OPCS-4.10	1		1
K432	Prosthetic replacement of two coronary arteries	revascularization	cabg	OPCS-4.10	1		1
K433	Prosthetic replacement of three coronary arteries	revascularization	cabg	OPCS-4.10	1		1
K434	Prosthetic replacement of four or more coronary arteries	revascularization	cabg	OPCS-4.10	1		1
K438	Other specified	revascularization	cabg	OPCS-4.10	1		1
K439	Unspecified	revascularization	cabg	OPCS-4.10	1		1
K44	Other replacement of coronary artery	revascularization	cabg	OPCS-4.10	1		1
K441	Replacement of coronary arteries using multiple methods	revascularization	cabg	OPCS-4.10	1		1
K442	Revision of replacement of coronary artery	revascularization	cabg	OPCS-4.10	1		1
K448	Other specified	revascularization	cabg	OPCS-4.10	1		1
K449	Unspecified	revascularization	cabg	OPCS-4.10	1		1
K45	Connection of thoracic artery to coronary artery	revascularization	cabg	OPCS-4.10	1		1
K451	Double anastomosis of mammary arteries to coronary arteries	revascularization	cabg	OPCS-4.10	1		1
K452	Double anastomosis of thoracic arteries to coronary arteries NEC	revascularization	cabg	OPCS-4.10	1		1
K453	Anastomosis of mammary artery to left anterior descending coronary artery	revascularization	cabg	OPCS-4.10	1		1
K454	Anastomosis of mammary artery to coronary artery NEC	revascularization	cabg	OPCS-4.10	1		1
K455	Anastomosis of thoracic artery to coronary artery NEC	revascularization	cabg	OPCS-4.10	1		1
K456	Revision of connection of thoracic artery to coronary artery	revascularization	cabg	OPCS-4.10	1		1
K458	Other specified	revascularization	cabg	OPCS-4.10	1		1
K459	Unspecified	revascularization	cabg	OPCS-4.10	1		1
K46	Other bypass of coronary artery	revascularization	cabg	OPCS-4.10	1		1
K461	Double implantation of mammary arteries into heart	revascularization	cabg	OPCS-4.10	1		1
K462	Double implantation of thoracic arteries into heart NEC	revascularization	cabg	OPCS-4.10	1		1
K463	Implantation of mammary artery into heart NEC	revascularization	cabg	OPCS-4.10	1		1
K464	Implantation of thoracic artery into heart NEC	revascularization	cabg	OPCS-4.10	1		1
K465	Revision of implantation of thoracic artery into heart	revascularization	cabg	OPCS-4.10	1		1
K468	Other specified	revascularization	cabg	OPCS-4.10	1		1
K469	Unspecified	revascularization	cabg	OPCS-4.10	1		1
K47	Repair of coronary artery	revascularization	surgical repair	OPCS-4.10	1		
K471	Endarterectomy of coronary artery	revascularization	surgical repair	OPCS-4.10	1		
K472	Repair of arteriovenous fistula of coronary artery [incl Percutaneous]	revascularization	surgical repair	OPCS-4.10	1		
K473	Repair of aneurysm of coronary artery	revascularization	surgical repair	OPCS-4.10	1		
K474	Repair of rupture of coronary artery	revascularization	surgical repair	OPCS-4.10	1		
K475	Repair of arteriovenous malformation of coronary artery	revascularization	surgical repair	OPCS-4.10	1		
K478	Other specified	revascularization	surgical repair	OPCS-4.10	1		
K479	Unspecified	revascularization	surgical repair	OPCS-4.10	1		
K48	Other open operations on coronary artery	revascularization	surgical repair	OPCS-4.10	1		
K481	Transection of muscle bridge of coronary artery, Incl repair of anomalous origin	revascularization	surgical repair	OPCS-4.10	1		
K482	Transposition of coronary artery NEC 	revascularization	surgical repair	OPCS-4.10	1		
K483	Open angioplasty of coronary artery	revascularization	surgical repair	OPCS-4.10	1		
K484	Exploration of coronary artery	revascularization	surgical repair	OPCS-4.10	1		
K488	Other specified	revascularization	surgical repair	OPCS-4.10	1		
K489	Unspecified	revascularization	surgical repair	OPCS-4.10	1		
K49	Transluminal balloon angioplasty of coronary artery	revascularization	pci	OPCS-4.10	1	1	
K491	Percutaneous transluminal balloon angioplasty of one coronary artery	revascularization	pci	OPCS-4.10	1	1	
K492	Percutaneous transluminal balloon angioplasty of multiple coronary arteries	revascularization	pci	OPCS-4.10	1	1	
K493	Percutaneous transluminal balloon angioplasty of bypass graft of coronary artery	revascularization	pci	OPCS-4.10	1	1	
K494	Percutaneous transluminal cutting balloon angioplasty of coronary artery	revascularization	pci	OPCS-4.10	1	1	
K498	Other specified	revascularization	pci	OPCS-4.10	1	1	
K499	Unspecified	revascularization	pci	OPCS-4.10	1	1	
K50	Other therapeutic transluminal operations on coronary artery	revascularization	pci	OPCS-4.10	1	1	
K501	Percutaneous transluminal laser coronary angioplasty	revascularization	pci	OPCS-4.10	1	1	
K502	Percutaneous transluminal coronary thrombolysis using streptokinase	revascularization	pci	OPCS-4.10	1	1	
K503	Percutaneous transluminal injection of therapeutic substance into coronary artery NEC	revascularization	pci	OPCS-4.10	1	1	
K504	Percutaneous transluminal atherectomy of coronary artery	revascularization	pci	OPCS-4.10	1	1	
K508	Other specified	revascularization	pci	OPCS-4.10	1	1	
K509	Unspecified	revascularization	pci	OPCS-4.10	1	1	
K51	Diagnostic transluminal operations on coronary artery	diagnositic 	invasive	OPCS-4.10			
K511	Percutaneous transluminal angioscopy	diagnositic 	invasive	OPCS-4.10			
K512	Intravascular ultrasound of coronary artery	diagnositic 	invasive	OPCS-4.10			
K518	Other specified	diagnositic 	invasive	OPCS-4.10			
K519	Unspecified	diagnositic 	invasive	OPCS-4.10			
K75	Percutaneous transluminal balloon angioplasty and insertion of stent into coronary artery	revascularization	pci	OPCS-4.10	1	1	
K751	Percutaneous transluminal balloon angioplasty and insertion of 1–2 drug-eluting stents into coronary artery	revascularization	pci	OPCS-4.10	1	1	
K752	Percutaneous transluminal balloon angioplasty and insertion of 3 or more drug-eluting stents into coronary artery	revascularization	pci	OPCS-4.10	1	1	
K753	Percutaneous transluminal balloon angioplasty and insertion of 1–2 stents into coronary artery	revascularization	pci	OPCS-4.10	1	1	
K754	Percutaneous transluminal balloon angioplasty and insertion of 3 or more stents into coronary artery NEC	revascularization	pci	OPCS-4.10	1	1	
K758	Other specified	revascularization	pci	OPCS-4.10	1	1	
K759	Unspecified	revascularization	pci	OPCS-4.10	1	1	
U10	Diagnostic imaging of heart	diagnositic 	Non-invasive	OPCS-4.10			
K651	Catheterisation of combination of right and left side of heart NEC	diagnositic 	invasive	OPCS-4.10			
K653	Catheterisation of left side of heart NEC	diagnositic 	invasive	OPCS-4.10			
