icd	term	class	secondary_ca	history_ca	coding_sys
C00	Malignant neoplasm of lip	head and neck cancer			icd10
C00.0	External upper lip	head and neck cancer			icd10
C00.1	External lower lip	head and neck cancer			icd10
C00.2	External lip, unspecified	head and neck cancer			icd10
C00.3	Upper lip, inner aspect	head and neck cancer			icd10
C00.4	Lower lip, inner aspect	head and neck cancer			icd10
C00.5	Lip, unspecified, inner aspect	head and neck cancer			icd10
C00.6	Commissure of lip	head and neck cancer			icd10
C00.8	Overlapping lesion of lip	head and neck cancer			icd10
C00.9	Lip, unspecified	head and neck cancer			icd10
C01	Malignant neoplasm of base of tongue	head and neck cancer			icd10
C02	Malignant neoplasm of other and unspecified parts of tongue	head and neck cancer			icd10
C02.0	Dorsal surface of tongue	head and neck cancer			icd10
C02.1	Border of tongue	head and neck cancer			icd10
C02.2	Ventral surface of tongue	head and neck cancer			icd10
C02.3	Anterior two-thirds of tongue, part unspecified	head and neck cancer			icd10
C02.4	Lingual tonsil	head and neck cancer			icd10
C02.8	Overlapping lesion of tongue	head and neck cancer			icd10
C02.9	Tongue, unspecified	head and neck cancer			icd10
C03	Malignant neoplasm of gum	head and neck cancer			icd10
C03.0	Upper gum	head and neck cancer			icd10
C03.1	Lower gum	head and neck cancer			icd10
C03.9	Gum, unspecified	head and neck cancer			icd10
C04	Malignant neoplasm of floor of mouth	head and neck cancer			icd10
C04.0	Anterior floor of mouth	head and neck cancer			icd10
C04.1	Lateral floor of mouth	head and neck cancer			icd10
C04.8	Overlapping lesion of floor of mouth	head and neck cancer			icd10
C04.9	Floor of mouth, unspecified	head and neck cancer			icd10
C05	Malignant neoplasm of palate	head and neck cancer			icd10
C05.0	Hard palate	head and neck cancer			icd10
C05.1	Soft palate	head and neck cancer			icd10
C05.2	Uvula	head and neck cancer			icd10
C05.8	Overlapping lesion of palate	head and neck cancer			icd10
C05.9	Palate, unspecified	head and neck cancer			icd10
C06	Malignant neoplasm of other and unspecified parts of mouth	head and neck cancer			icd10
C06.0	Cheek mucosa	head and neck cancer			icd10
C06.1	Vestibule of mouth	head and neck cancer			icd10
C06.2	Retromolar area	head and neck cancer			icd10
C06.8	Overlapping lesion of other and unspecified parts of mouth	head and neck cancer			icd10
C06.9	Mouth, unspecified	head and neck cancer			icd10
C07	Malignant neoplasm of parotid gland	head and neck cancer			icd10
C08	Malignant neoplasm of other and unspecified major salivary glands	head and neck cancer			icd10
C08.0	Submandibular gland	head and neck cancer			icd10
C08.1	Sublingual gland	head and neck cancer			icd10
C08.8	Overlapping lesion of major salivary glands	head and neck cancer			icd10
C08.9	Major salivary gland, unspecified	head and neck cancer			icd10
C09	Malignant neoplasm of tonsil	head and neck cancer			icd10
C09.0	Tonsillar fossa	head and neck cancer			icd10
C09.1	Tonsillar pillar (anterior)(posterior)	head and neck cancer			icd10
C09.8	Overlapping lesion of tonsil	head and neck cancer			icd10
C09.9	Tonsil, unspecified	head and neck cancer			icd10
C10	Malignant neoplasm of oropharynx	head and neck cancer			icd10
C10.0	Vallecula	head and neck cancer			icd10
C10.1	Anterior surface of epiglottis	head and neck cancer			icd10
C10.2	Lateral wall of oropharynx	head and neck cancer			icd10
C10.3	Posterior wall of oropharynx	head and neck cancer			icd10
C10.4	Branchial cleft	head and neck cancer			icd10
C10.8	Overlapping lesion of oropharynx	head and neck cancer			icd10
C10.9	Oropharynx, unspecified	head and neck cancer			icd10
C11	Malignant neoplasm of nasopharynx	head and neck cancer			icd10
C11.0	Superior wall of nasopharynx	head and neck cancer			icd10
C11.1	Posterior wall of nasopharynx	head and neck cancer			icd10
C11.2	Lateral wall of nasopharynx	head and neck cancer			icd10
C11.3	Anterior wall of nasopharynx	head and neck cancer			icd10
C11.8	Overlapping lesion of nasopharynx	head and neck cancer			icd10
C11.9	Nasopharynx, unspecified	head and neck cancer			icd10
C12	Malignant neoplasm of piriform sinus	head and neck cancer			icd10
C13	Malignant neoplasm of hypopharynx	head and neck cancer			icd10
C13.0	Postcricoid region	head and neck cancer			icd10
C13.1	Aryepiglottic fold, hypopharyngeal aspect	head and neck cancer			icd10
C13.2	Posterior wall of hypopharynx	head and neck cancer			icd10
C13.8	Overlapping lesion of hypopharynx	head and neck cancer			icd10
C13.9	Hypopharynx, unspecified	head and neck cancer			icd10
C14	Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx	head and neck cancer			icd10
C14.0	Pharynx, unspecified	head and neck cancer			icd10
C14.2	Waldeyer ring	head and neck cancer			icd10
C14.8	Overlapping lesion of lip, oral cavity and pharynx	head and neck cancer			icd10
C15	Malignant neoplasm of oesophagus	GI cancer			icd10
C15.0	Cervical part of oesophagus	GI cancer			icd10
C15.1	Thoracic part of oesophagus	GI cancer			icd10
C15.2	Abdominal part of oesophagus	GI cancer			icd10
C15.3	Upper third of oesophagus	GI cancer			icd10
C15.4	Middle third of oesophagus	GI cancer			icd10
C15.5	Lower third of oesophagus	GI cancer			icd10
C15.8	Overlapping lesion of oesophagus	GI cancer			icd10
C15.9	Oesophagus, unspecified	GI cancer			icd10
C16	Malignant neoplasm of stomach	GI cancer			icd10
C16.0	Cardia	GI cancer			icd10
C16.1	Fundus of stomach	GI cancer			icd10
C16.2	Body of stomach	GI cancer			icd10
C16.3	Pyloric antrum	GI cancer			icd10
C16.4	Pylorus	GI cancer			icd10
C16.5	Lesser curvature of stomach, unspecified	GI cancer			icd10
C16.6	Greater curvature of stomach, unspecified	GI cancer			icd10
C16.8	Overlapping lesion of stomach	GI cancer			icd10
C16.9	Stomach, unspecified	GI cancer			icd10
C17	Malignant neoplasm of small intestine	GI cancer			icd10
C17.0	Duodenum	GI cancer			icd10
C17.1	Jejunum	GI cancer			icd10
C17.2	Ileum	GI cancer			icd10
C17.3	Meckel diverticulum	GI cancer			icd10
C17.8	Overlapping lesion of small intestine	GI cancer			icd10
C17.9	Small intestine, unspecified	GI cancer			icd10
C21	Malignant neoplasm of anus and anal canal	GI cancer			icd10
C21.0	Anus, unspecified	GI cancer			icd10
C21.1	Anal canal	GI cancer			icd10
C21.2	Cloacogenic zone	GI cancer			icd10
C21.8	Overlapping lesion of rectum, anus and anal canal	GI cancer			icd10
C22	Malignant neoplasm of liver and intrahepatic bile ducts	GI cancer			icd10
C22.0	Liver cell carcinoma	GI cancer			icd10
C22.1	Intrahepatic bile duct carcinoma	GI cancer			icd10
C22.2	Hepatoblastoma	GI cancer			icd10
C22.3	Angiosarcoma of liver	GI cancer			icd10
C22.4	Other sarcomas of liver	GI cancer			icd10
C22.7	Other specified carcinomas of liver	GI cancer			icd10
C22.9	Liver, unspecified	GI cancer			icd10
C23	Malignant neoplasm of gallbladder	GI cancer			icd10
C24	Malignant neoplasm of other and unspecified parts of biliary tract	GI cancer			icd10
C24.0	Extrahepatic bile duct	GI cancer			icd10
C24.1	Ampulla of Vater	GI cancer			icd10
C24.8	Overlapping lesion of biliary tract	GI cancer			icd10
C24.9	Biliary tract, unspecified	GI cancer			icd10
C25	Malignant neoplasm of pancreas	GI cancer			icd10
C25.0	Head of pancreas	GI cancer			icd10
C25.1	Body of pancreas	GI cancer			icd10
C25.2	Tail of pancreas	GI cancer			icd10
C25.3	Pancreatic duct	GI cancer			icd10
C25.4	Endocrine pancreas	GI cancer			icd10
C25.7	Other parts of pancreas	GI cancer			icd10
C25.8	Overlapping lesion of pancreas	GI cancer			icd10
C25.9	Pancreas, unspecified	GI cancer			icd10
C26	Malignant neoplasm of other and ill-defined digestive organs	GI cancer			icd10
C26.0	Intestinal tract, part unspecified	GI cancer			icd10
C26.1	Spleen	GI cancer			icd10
C26.8	Overlapping lesion of digestive system	GI cancer			icd10
C26.9	Ill-defined sites within the digestive system	GI cancer			icd10
C30	Malignant neoplasm of nasal cavity and middle ear	respiratory and intrathoracic cancer			icd10
C30.0	Nasal cavity	respiratory and intrathoracic cancer			icd10
C30.1	Middle ear	respiratory and intrathoracic cancer			icd10
C31	Malignant neoplasm of accessory sinuses	respiratory and intrathoracic cancer			icd10
C31.0	Maxillary sinus	respiratory and intrathoracic cancer			icd10
C31.1	Ethmoidal sinus	respiratory and intrathoracic cancer			icd10
C31.2	Frontal sinus	respiratory and intrathoracic cancer			icd10
C31.3	Sphenoidal sinus	respiratory and intrathoracic cancer			icd10
C31.8	Overlapping lesion of accessory sinuses	respiratory and intrathoracic cancer			icd10
C31.9	Accessory sinus, unspecified	respiratory and intrathoracic cancer			icd10
C32	Malignant neoplasm of larynx	respiratory and intrathoracic cancer			icd10
C32.0	Glottis	respiratory and intrathoracic cancer			icd10
C32.1	Supraglottis	respiratory and intrathoracic cancer			icd10
C32.2	Subglottis	respiratory and intrathoracic cancer			icd10
C32.3	Laryngeal cartilage	respiratory and intrathoracic cancer			icd10
C32.8	Overlapping lesion of larynx	respiratory and intrathoracic cancer			icd10
C32.9	Larynx, unspecified	respiratory and intrathoracic cancer			icd10
C37	Malignant neoplasm of thymus	respiratory and intrathoracic cancer			icd10
C38	Malignant neoplasm of heart, mediastinum and pleura	respiratory and intrathoracic cancer			icd10
C38.0	Heart	respiratory and intrathoracic cancer			icd10
C38.1	Anterior mediastinum	respiratory and intrathoracic cancer			icd10
C38.2	Posterior mediastinum	respiratory and intrathoracic cancer			icd10
C38.3	Mediastinum, part unspecified	respiratory and intrathoracic cancer			icd10
C38.8	Overlapping lesion of heart, mediastinum and pleura	respiratory and intrathoracic cancer			icd10
