icd	term	cvd_type	stroke_class	stroke	tia	stroke_tia	cerebro
G45	transient cerebral ischaemic attacks and related syndromes	tia	ischemic		1	1	1
G45.0	vertebro-basilar artery syndrome	stroke	ischemic	1		1	1
G45.1	carotid artery syndrome (hemispheric)	cerebrovascular disease					1
G45.2	multiple and bilateral precerebral artery syndromes	stroke	ischemic	1		1	1
G45.3	amaurosis fugax	tia	ischemic		1	1	1
G45.8	other transient cerebral ischaemic attacks and related syndromes	tia	ischemic		1	1	1
G45.9	transient cerebral ischaemic attack, unspecified	tia	ischemic		1	1	1
G46	vascular syndromes of brain in cerebrovascular diseases	cerebrovascular disease					1
G46.0	middle cerebral artery syndrome	stroke	ischemic	1		1	1
G46.1	anterior cerebral artery syndrome	stroke	ischemic	1		1	1
G46.2	posterior cerebral artery syndrome	stroke	ischemic	1		1	1
G46.3	brain stem stroke syndrome	stroke	ischemic	1		1	1
G46.4	cerebellar stroke syndrome	stroke	ischemic	1		1	1
G46.5	pure motor lacunar syndrome	stroke	ischemic	1		1	1
G46.6	pure sensory lacunar syndrome	stroke	ischemic	1		1	1
G46.7	other lacunar syndromes	stroke	ischemic	1		1	1
G46.8	other vascular syndromes of brain in cerebrovascular diseases	cerebrovascular disease					1
H340	Transient retinal artery occlusion	tia	ischemic		1	1	1
I60	subarachnoid haemorrhage	stroke	hemorrhagic	1		1	1
I60.0	subarachnoid haemorrhage from carotid siphon and bifurcation	stroke	hemorrhagic	1		1	1
I60.1	subarachnoid haemorrhage from middle cerebral artery	stroke	hemorrhagic	1		1	1
I60.2	subarachnoid haemorrhage from anterior communicating artery	stroke	hemorrhagic	1		1	1
I60.3	subarachnoid haemorrhage from posterior communicating artery	stroke	hemorrhagic	1		1	1
I60.4	subarachnoid haemorrhage from basilar artery	stroke	hemorrhagic	1		1	1
I60.5	subarachnoid haemorrhage from vertebral artery	stroke	hemorrhagic	1		1	1
I60.6	subarachnoid haemorrhage from other intracranial arteries	stroke	hemorrhagic	1		1	1
I60.7	subarachnoid haemorrhage from intracranial artery, unspecified	stroke	hemorrhagic	1		1	1
I60.8	other subarachnoid haemorrhage	stroke	hemorrhagic	1		1	1
I60.9	subarachnoid haemorrhage, unspecified	stroke	hemorrhagic	1		1	1
I61	intracerebral haemorrhage	stroke	hemorrhagic	1		1	1
