icd	desc
I27.8	Other specified pulmonary heart diseases, Eisenmenger 
I27.9	Pulmonary heart disease, unspecified, chronic cor pulmonale
J40	Bronchitis, not specified as acute or chronic
J41	Simple and mucopurulent chronic bronchitis
J41.0	Simple chronic bronchitis
J41.1	Mucopurulent chronic bronchitis
J41.8	Mixed simple and mucopurulent chronic bronchitis
J42	Unspecified chronic bronchitis
J43	Emphysema
J43.0	MacLeod syndrome
J43.1	Panlobular emphysema
J43.2	Centrilobular emphysema
J43.8	Other emphysema
J43.9	Emphysema, unspecified
J44	Other chronic obstructive pulmonary disease
J44.0	Chronic obstructive pulmonary disease with acute lower respiratory infection
J44.1	Chronic obstructive pulmonary disease with acute exacerbation, unspecified
J44.8	Other specified chronic obstructive pulmonary disease
J44.9	Chronic obstructive pulmonary disease, unspecified
J45	Asthma
J45.0	Predominantly allergic asthma
J45.1	Nonallergic asthma
J45.8	Mixed asthma
J45.9	Asthma, unspecified
J46	Status asthmaticus
J47	Bronchiectasis
J60	Coalworker pneumoconiosis
J61	Pneumoconiosis due to asbestos and other mineral fibres
J62	Pneumoconiosis due to dust containing silica
J62.0	Pneumoconiosis due to talc dust
J62.8	Pneumoconiosis due to other dust containing silica
J63	Pneumoconiosis due to other inorganic dusts
J63.0	Aluminosis (of lung)
J63.1	Bauxite fibrosis (of lung)
J63.2	Berylliosis
J63.3	Graphite fibrosis (of lung)
J63.4	Siderosis
J63.5	Stannosis
J63.8	Pneumoconiosis due to other specified inorganic dusts
J64	Unspecified pneumoconiosis
J65	Pneumoconiosis associated with tuberculosis
J66	Airway disease due to specific organic dust
J66.0	Byssinosis
J66.1	Flax-dresser disease
J66.2	Cannabinosis
J66.8	Airway disease due to other specific organic dusts
J67	Hypersensitivity pneumonitis due to organic dust
J67.0	Farmer lung
J67.1	Bagassosis
J67.2	Bird fancier lung
J67.3	Suberosis
J67.4	Maltworker lung
J67.5	Mushroom-worker lung
J67.6	Maple-bark-stripper lung
J67.7	Air-conditioner and humidifier lung
J67.8	Hypersensitivity pneumonitis due to other organic dusts
J67.9	Hypersensitivity pneumonitis due to unspecified organic dust
J68.4	Chronic respiratory conditions due to chemicals, gases, fumes and vapours
J70.1	Chronic and other pulmonary manifestations due to radiation
J70.3	Chronic drug-induced interstitial lung disorders
