icd	term	hemiplegia	coding_sys
G04.1	Tropical spastic paraplegia	1	icd10
G11.4	Hereditary spastic paraplegia	1	icd10
G80.0	Spastic quadriplegic cerebral palsy	1	icd10
G80.1	Spastic diplegic cerebral palsy	1	icd10
G802	Spastic hemiplegic cerebral palsy	1	icd10
G81	Hemiplegia	1	icd10
G81.0	Flaccid hemiplegia	1	icd10
G81.1	Spastic hemiplegia	1	icd10
G81.9	Hemiplegia, unspecified	1	icd10
G82	Paraplegia and tetraplegia	1	icd10
G82.0	Flaccid paraplegia	1	icd10
G82.1	Spastic paraplegia	1	icd10
G82.2	Paraplegia, unspecified	1	icd10
G82.3	Flaccid tetraplegia	1	icd10
G82.4	Spastic tetraplegia	1	icd10
G82.5	Tetraplegia, unspecified	1	icd10
G83	Other paralytic syndromes	1	icd10
G83.0	Diplegia of upper limbs	1	icd10
G83.1	Monoplegia of lower limb	1	icd10
G83.2	Monoplegia of upper limb	1	icd10
G83.3	Monoplegia, unspecified	1	icd10
G83.4	Cauda equina syndrome	1	icd10
G83.5	Locked-in syndrome	1	icd10
G83.6	Upper motor neuron facial paralysis	1	icd10
G83.8	Other specified paralytic syndromes	1	icd10
G83.9	Paralytic syndrome, unspecified	1	icd10
