icd	term	class	secondary_ca	history_ca	coding_sys
140	Malignant neoplasm of lip	head and neck cancer			icd9
1400	Upper lip, vermilion border	head and neck cancer			icd9
1401	Lower lip, vermilion border	head and neck cancer			icd9
1403	Upper lip, inner aspect	head and neck cancer			icd9
1404	Lower lip, inner aspect	head and neck cancer			icd9
1405	Lip, unspecified, inner aspect	head and neck cancer			icd9
1406	Commissure of lip	head and neck cancer			icd9
1408	Other	head and neck cancer			icd9
1409	Lip, unspecified, vermilion border	head and neck cancer			icd9
141	Malignant neoplasm of tongue	head and neck cancer			icd9
1410	Base of tongue	head and neck cancer			icd9
1411	Dorsal surface of tongue	head and neck cancer			icd9
1412	Tip and lateral border of tongue	head and neck cancer			icd9
1413	Ventral surface of tongue	head and neck cancer			icd9
1414	Anterior two-thirds of tongue, part unspecified	head and neck cancer			icd9
1415	Junctional zone	head and neck cancer			icd9
1416	Lingual tonsil	head and neck cancer			icd9
1418	Other	head and neck cancer			icd9
1419	Tongue, unspecified	head and neck cancer			icd9
142	Malignant neoplasm of major salivary glands	head and neck cancer			icd9
1420	Parotid gland	head and neck cancer			icd9
1421	Submandibular gland	head and neck cancer			icd9
1422	Sublingual gland	head and neck cancer			icd9
1428	Other	head and neck cancer			icd9
1429	Site unspecified	head and neck cancer			icd9
143	Malignant neoplasm of gum	head and neck cancer			icd9
1430	Upper gum	head and neck cancer			icd9
1431	Lower gum	head and neck cancer			icd9
1438	Other	head and neck cancer			icd9
1439	Gum, unspecified	head and neck cancer			icd9
144	Malignant neoplasm of floor of mouth	head and neck cancer			icd9
1440	Anterior portion	head and neck cancer			icd9
1441	Lateral portion	head and neck cancer			icd9
1448	Other	head and neck cancer			icd9
1449	Part unspecified	head and neck cancer			icd9
145	Malignant neoplasm of other and unspecified parts of mouth	head and neck cancer			icd9
1450	Cheek mucosa	head and neck cancer			icd9
1451	Vestibule of mouth	head and neck cancer			icd9
1452	Hard palate	head and neck cancer			icd9
1453	Soft palate	head and neck cancer			icd9
1454	Uvula	head and neck cancer			icd9
1455	Palate, unspecified	head and neck cancer			icd9
1456	Retromolar area	head and neck cancer			icd9
1458	Other	head and neck cancer			icd9
1459	Mouth, unspecified	head and neck cancer			icd9
146	Malignant neoplasm of oropharynx	head and neck cancer			icd9
1460	Tonsil	head and neck cancer			icd9
1461	Tonsillar fossa	head and neck cancer			icd9
1462	Tonsillar pillars (anterior) (posterior)	head and neck cancer			icd9
1463	Vallecula	head and neck cancer			icd9
1464	Anterior aspect of epiglottis	head and neck cancer			icd9
1465	Junctional region	head and neck cancer			icd9
1466	Lateral wall of oropharynx	head and neck cancer			icd9
1467	Posterior wall of oropharynx	head and neck cancer			icd9
1468	Other	head and neck cancer			icd9
1469	Oropharynx, unspecified	head and neck cancer			icd9
147	Malignant neoplasm of nasopharynx	head and neck cancer			icd9
1470	Superior wall	head and neck cancer			icd9
1471	Posterior wall	head and neck cancer			icd9
1472	Lateral wall	head and neck cancer			icd9
1473	Anterior wall	head and neck cancer			icd9
1478	Other	head and neck cancer			icd9
1479	Nasopharynx, unspecified	head and neck cancer			icd9
148	Malignant neoplasm of hypopharynx	head and neck cancer			icd9
1480	Postcricoid region	head and neck cancer			icd9
1481	Pyriform sinus	head and neck cancer			icd9
1482	Aryepiglottic fold, hypopharyngeal aspect	head and neck cancer			icd9
1483	Posterior hypopharyngeal wall	head and neck cancer			icd9
1488	Other	head and neck cancer			icd9
1489	Hypopharynx, unspecified	head and neck cancer			icd9
149	Malignant neoplasm of other and ill-defined sites within the lip, oral cavity and pharynx	head and neck cancer			icd9
1490	Pharynx, unspecified	head and neck cancer			icd9
1491	Waldeyer's ring	head and neck cancer			icd9
1498	Other	head and neck cancer			icd9
1499	Ill-defined	head and neck cancer			icd9
150	Malignant neoplasm of oesophagus	GI cancer			icd9
1500	Cervical part	GI cancer			icd9
1501	Thoracic part	GI cancer			icd9
1502	Abdominal part	GI cancer			icd9
1503	Upper third	GI cancer			icd9
1504	Middle third	GI cancer			icd9
1505	Lower third	GI cancer			icd9
1508	Other	GI cancer			icd9
1509	Oesophagus, unspecified	GI cancer			icd9
151	Malignant neoplasm of stomach	GI cancer			icd9
1510	Cardia	GI cancer			icd9
1511	Pylorus	GI cancer			icd9
1512	Pyloric antrum	GI cancer			icd9
1513	Fundus of stomach	GI cancer			icd9
1514	Body of stomach	GI cancer			icd9
1515	Lesser curvature, unspecified	GI cancer			icd9
1516	Greater curvature, unspecified	GI cancer			icd9
1518	Other	GI cancer			icd9
1519	Stomach, unspecified	GI cancer			icd9
152	Malignant neoplasm of small intestine, including duodenum	GI cancer			icd9
1520	Duodenum	GI cancer			icd9
1521	Jejunum	GI cancer			icd9
1522	Ileum	GI cancer			icd9
1523	Meckel's diverticulum	GI cancer			icd9
1528	Other	GI cancer			icd9
1529	Small intestine, unspecified	GI cancer			icd9
155	Malignant neoplasm of liver and intrahepatic bile ducts	GI cancer			icd9
1550	Liver, primary	GI cancer			icd9
1551	Intrahepatic bile ducts	GI cancer			icd9
1552	Liver, not specified as primary or secondary	GI cancer			icd9
156	Malignant neoplasm of gallbladder and extrahepatic bile ducts	GI cancer			icd9
1560	Gallbladder	GI cancer			icd9
1561	Extrahepatic bile ducts	GI cancer			icd9
1562	Ampulla of vater	GI cancer			icd9
1568	Other	GI cancer			icd9
1569	Biliary tract,part unspecified	GI cancer			icd9
