icd	desc	class_str	subclass_str	ca_of_interest	secondary_ca	history_ca
174	Malignant neoplasm of female breast	breast		1		
1740	Malignant neoplasm of nipple and areola of female breast	breast		1		
1741	Malignant neoplasm of central portion of female breast	breast		1		
1742	Malignant neoplasm of upper-inner quadrant of female breast	breast		1		
1743	Malignant neoplasm of lower-inner quadrant of female breast	breast		1		
1744	Malignant neoplasm of upper-outer quadrant of female breast	breast		1		
1745	Malignant neoplasm of lower-outer quadrant of female breast	breast		1		
1746	Malignant neoplasm of axillary tail of female breast	breast		1		
1748	Malignant neoplasm of other specified sites of female breast	breast		1		
1749	Malignant neoplasm of breast (female), unspecified	breast		1		
175	MALIGNANT NEOPLASM OF MALE BREAST	breast		1		
2330	Carcinoma in situ of breast and genitourinary system, Breast	breast		1		
2383	Neoplasm of uncertain behaviour of other and unspecified sites and tissues, Breast	breast		1		
2393	Neoplasm of unspecified nature, Breast	breast		1		
185	MALIGNANT NEOPLASM OF PROSTATE	prostate		1		
2334	Carcinoma in situ of breast and genitourinary system, Prostate	prostate		1		
2365	Neoplasm of uncertain behaviour of genitourinary organs, Prostate	prostate		1		
162	Malignant neoplasm of trachea bronchus and lung	lung		1		
1620	Malignant neoplasm of trachea	lung		1		
1622	Malignant neoplasm of main bronchus	lung		1		
1623	Malignant neoplasm of upper lobe, bronchus or lung	lung		1		
1624	Malignant neoplasm of middle lobe, bronchus or lung 	lung		1		
1625	Malignant neoplasm of lower lobe, bronchus or lung	lung		1		
1628	Malignant neoplasm of other parts of bronchus or lung	lung		1		
1629	Malignant neoplasm of bronchus and lung, unspecified	lung		1		
1970	Secondary malignant neoplasm of lung	lung		1	1	
2357	Neoplasm of uncertain behaviour of digestive and respiratory system, Trachea, bronchus and lung	lung		1		
C450	Mesothelioma of pleura	lung		1		
C782	Secondary malignant neoplasm of pleura	lung		1	1	
153	Malignant neoplasm of colon	colorectal		1		
1530	Malignant neoplasm of hepatic flexure	colorectal		1		
1531	Malignant neoplasm of transverse colon	colorectal		1		
1532	Malignant neoplasm of descending colon	colorectal		1		
1533	Malignant neoplasm of sigmoid colon	colorectal		1		
1534	Malignant neoplasm of cecum	colorectal		1		
1535	Malignant neoplasm of appendix vermiformis	colorectal		1		
1536	Malignant neoplasm of ascending colon	colorectal		1		
